카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년03월_계_총인구수,"106,451","4,488","7,475","7,688","13,749","8,627","7,862","7,786","6,852","4,503","9,953","4,958","9,408","13,102"
2021년03월_계_연령구간인구수,"106,451","4,488","7,475","7,688","13,749","8,627","7,862","7,786","6,852","4,503","9,953","4,958","9,408","13,102"
2021년03월_계_0~9세,"5,534",214,325,425,"1,122",599,624,438,96,111,489,133,329,629
2021년03월_계_10~19세,"7,233",277,497,528,"1,103",830,775,583,295,177,522,191,498,957
2021년03월_계_20~29세,"13,417",567,752,"1,194","1,718","1,016",919,"1,588",774,415,"1,406",459,873,"1,736"
2021년03월_계_30~39세,"10,904",474,623,860,"1,846",898,848,940,512,355,"1,168",442,742,"1,196"
2021년03월_계_40~49세,"14,448",569,980,"1,050","2,155","1,333","1,232","1,030",791,582,"1,306",586,"1,184","1,650"
2021년03월_계_50~59세,"17,517",752,"1,283","1,112","2,097","1,416","1,282","1,106","1,184",807,"1,708",906,"1,638","2,226"
2021년03월_계_60~69세,"19,053",796,"1,440","1,300","1,854","1,352","1,167","1,142","1,531",961,"1,728","1,120","2,067","2,595"
2021년03월_계_70~79세,"12,212",521,"1,023",788,"1,234",763,655,612,"1,073",709,"1,129",774,"1,463","1,468"
2021년03월_계_80~89세,"5,441",281,492,372,545,369,313,294,535,346,453,308,552,581
2021년03월_계_90~99세,663,34,59,56,75,49,42,49,57,40,43,39,59,61
2021년03월_계_100세 이상,29,3,1,3,0,2,5,4,4,0,1,0,3,3
2021년03월_남_총인구수,"51,583","2,150","3,650","3,622","6,487","3,973","3,802","3,698","3,486","2,282","4,759","2,526","4,715","6,433"
2021년03월_남_연령구간인구수,"51,583","2,150","3,650","3,622","6,487","3,973","3,802","3,698","3,486","2,282","4,759","2,526","4,715","6,433"
2021년03월_남_0~9세,"2,898",111,175,221,576,318,342,223,49,58,254,70,173,328
2021년03월_남_10~19세,"3,644",128,237,255,562,388,394,294,159,88,266,99,272,502
2021년03월_남_20~29세,"6,587",290,402,544,821,474,482,706,403,225,617,253,479,891
2021년03월_남_30~39세,"5,630",256,330,454,878,427,399,464,289,207,603,255,412,656
2021년03월_남_40~49세,"7,491",305,514,523,"1,061",619,587,519,462,347,666,354,652,882
2021년03월_남_50~59세,"8,959",383,635,549,"1,023",654,623,559,672,456,890,498,908,"1,109"
2021년03월_남_60~69세,"8,905",350,686,590,832,625,558,539,770,471,799,526,986,"1,173"
2021년03월_남_70~79세,"5,330",222,452,340,530,334,286,273,472,316,473,343,632,657
2021년03월_남_80~89세,"1,994",97,209,131,188,122,122,113,195,105,179,120,191,222
2021년03월_남_90~99세,139,8,10,15,16,12,8,7,12,9,12,8,10,12
2021년03월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년03월_여_총인구수,"54,868","2,338","3,825","4,066","7,262","4,654","4,060","4,088","3,366","2,221","5,194","2,432","4,693","6,669"
2021년03월_여_연령구간인구수,"54,868","2,338","3,825","4,066","7,262","4,654","4,060","4,088","3,366","2,221","5,194","2,432","4,693","6,669"
2021년03월_여_0~9세,"2,636",103,150,204,546,281,282,215,47,53,235,63,156,301
2021년03월_여_10~19세,"3,589",149,260,273,541,442,381,289,136,89,256,92,226,455
2021년03월_여_20~29세,"6,830",277,350,650,897,542,437,882,371,190,789,206,394,845
2021년03월_여_30~39세,"5,274",218,293,406,968,471,449,476,223,148,565,187,330,540
2021년03월_여_40~49세,"6,957",264,466,527,"1,094",714,645,511,329,235,640,232,532,768
2021년03월_여_50~59세,"8,558",369,648,563,"1,074",762,659,547,512,351,818,408,730,"1,117"
2021년03월_여_60~69세,"10,148",446,754,710,"1,022",727,609,603,761,490,929,594,"1,081","1,422"
2021년03월_여_70~79세,"6,882",299,571,448,704,429,369,339,601,393,656,431,831,811
2021년03월_여_80~89세,"3,447",184,283,241,357,247,191,181,340,241,274,188,361,359
2021년03월_여_90~99세,524,26,49,41,59,37,34,42,45,31,31,31,49,49
2021년03월_여_100세 이상,23,3,1,3,0,2,4,3,1,0,1,0,3,2
