카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년08월_계_총인구수,"41,050","8,451","1,640",867,"1,681","5,187","5,732","3,050","8,543","5,899"
2021년08월_계_연령구간인구수,"41,050","8,451","1,640",867,"1,681","5,187","5,732","3,050","8,543","5,899"
2021년08월_계_0~9세,"1,764",393,32,20,54,204,271,104,404,282
2021년08월_계_10~19세,"2,791",698,69,42,70,311,435,190,618,358
2021년08월_계_20~29세,"3,251",743,104,50,90,383,386,213,707,575
2021년08월_계_30~39세,"2,885",639,60,42,86,301,431,146,569,611
2021년08월_계_40~49세,"5,132","1,053",168,70,154,601,783,355,"1,076",872
2021년08월_계_50~59세,"7,811","1,555",351,160,335,968,"1,125",660,"1,572","1,085"
2021년08월_계_60~69세,"9,274","1,784",449,250,501,"1,252","1,315",735,"1,863","1,125"
2021년08월_계_70~79세,"4,917",920,248,138,244,669,617,363,"1,083",635
2021년08월_계_80~89세,"2,835",574,132,85,122,436,337,260,566,323
2021년08월_계_90~99세,371,87,26,9,24,60,29,24,81,31
2021년08월_계_100세 이상,19,5,1,1,1,2,3,0,4,2
2021년08월_남_총인구수,"21,057","4,293",864,454,876,"2,648","3,006","1,527","4,294","3,095"
2021년08월_남_연령구간인구수,"21,057","4,293",864,454,876,"2,648","3,006","1,527","4,294","3,095"
2021년08월_남_0~9세,876,200,14,14,25,91,127,49,216,140
2021년08월_남_10~19세,"1,458",349,37,22,35,161,236,99,312,207
2021년08월_남_20~29세,"1,915",436,64,34,47,221,232,125,409,347
2021년08월_남_30~39세,"1,558",338,37,23,45,164,237,67,291,356
2021년08월_남_40~49세,"2,804",558,102,37,84,340,423,197,564,499
2021년08월_남_50~59세,"4,205",827,201,83,181,521,607,354,844,587
2021년08월_남_60~69세,"4,845",924,247,140,282,671,698,374,952,557
2021년08월_남_70~79세,"2,295",441,119,59,129,301,311,165,498,272
2021년08월_남_80~89세,"1,028",205,41,41,45,165,129,89,193,120
2021년08월_남_90~99세,69,14,2,0,3,13,6,8,13,10
2021년08월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년08월_여_총인구수,"19,993","4,158",776,413,805,"2,539","2,726","1,523","4,249","2,804"
2021년08월_여_연령구간인구수,"19,993","4,158",776,413,805,"2,539","2,726","1,523","4,249","2,804"
2021년08월_여_0~9세,888,193,18,6,29,113,144,55,188,142
2021년08월_여_10~19세,"1,333",349,32,20,35,150,199,91,306,151
2021년08월_여_20~29세,"1,336",307,40,16,43,162,154,88,298,228
2021년08월_여_30~39세,"1,327",301,23,19,41,137,194,79,278,255
2021년08월_여_40~49세,"2,328",495,66,33,70,261,360,158,512,373
2021년08월_여_50~59세,"3,606",728,150,77,154,447,518,306,728,498
2021년08월_여_60~69세,"4,429",860,202,110,219,581,617,361,911,568
2021년08월_여_70~79세,"2,622",479,129,79,115,368,306,198,585,363
2021년08월_여_80~89세,"1,807",369,91,44,77,271,208,171,373,203
2021년08월_여_90~99세,302,73,24,9,21,47,23,16,68,21
2021년08월_여_100세 이상,15,4,1,0,1,2,3,0,2,2
