카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년12월_계_총인구수,"483,245","48,437","13,718","10,443","29,746","9,438","13,450","11,230","3,872","7,425",733,"22,193","32,786","27,632","51,269","51,756","62,676","86,441"
2021년12월_계_연령구간인구수,"483,245","48,437","13,718","10,443","29,746","9,438","13,450","11,230","3,872","7,425",733,"22,193","32,786","27,632","51,269","51,756","62,676","86,441"
2021년12월_계_0~9세,"43,432","4,584",605,303,"1,606",157,614,431,85,541,27,"1,006","3,006","2,121","5,274","5,027","8,502","9,543"
2021년12월_계_10~19세,"50,266","4,871",854,650,"2,687",254,967,596,180,499,46,"1,441","4,174","2,691","6,069","6,279","7,830","10,178"
2021년12월_계_20~29세,"59,462","5,609","1,564","1,306","3,592","2,502","1,525","1,213",437,967,56,"3,433","4,130","3,853","6,044","6,497","6,288","10,446"
2021년12월_계_30~39세,"68,443","7,464","1,404",874,"2,873","1,881","1,476",983,239,886,59,"2,907","4,258","3,520","7,760","7,567","10,922","13,370"
2021년12월_계_40~49세,"82,974","7,567","1,765","1,097","4,363","1,042","2,053","1,270",337,779,80,"3,163","5,838","4,319","9,492","9,831","12,708","17,270"
2021년12월_계_50~59세,"77,146","7,097","2,614","2,028","5,863","1,361","2,647","2,281",735,"1,120",143,"4,160","5,377","4,943","8,033","7,990","7,975","12,779"
2021년12월_계_60~69세,"54,958","5,707","2,528","2,159","4,836","1,244","2,205","2,356",854,"1,296",136,"3,332","3,186","3,414","4,848","4,944","4,604","7,309"
2021년12월_계_70~79세,"28,837","3,376","1,366","1,225","2,418",588,"1,122","1,228",563,848,114,"1,741","1,763","1,733","2,347","2,331","2,511","3,563"
2021년12월_계_80~89세,"15,420","1,919",876,696,"1,329",347,720,723,365,414,63,876,927,900,"1,202","1,125","1,168","1,770"
2021년12월_계_90~99세,"2,244",235,138,104,170,62,113,145,75,70,9,133,126,137,197,159,164,207
2021년12월_계_100세 이상,63,8,4,1,9,0,8,4,2,5,0,1,1,1,3,6,4,6
2021년12월_남_총인구수,"245,085","24,852","7,290","5,585","15,126","6,324","7,288","6,143","2,060","4,044",380,"11,873","15,988","14,155","25,882","25,361","30,556","42,178"
2021년12월_남_연령구간인구수,"245,085","24,852","7,290","5,585","15,126","6,324","7,288","6,143","2,060","4,044",380,"11,873","15,988","14,155","25,882","25,361","30,556","42,178"
2021년12월_남_0~9세,"22,142","2,309",323,159,821,73,322,223,49,272,13,521,"1,532","1,063","2,691","2,563","4,339","4,869"
2021년12월_남_10~19세,"25,733","2,508",422,348,"1,348",141,500,320,99,289,19,761,"2,155","1,427","3,158","3,110","3,938","5,190"
2021년12월_남_20~29세,"31,937","3,156",951,820,"1,957","1,828",897,764,288,636,30,"1,961","2,075","2,117","3,154","3,179","3,004","5,120"
2021년12월_남_30~39세,"36,042","4,116",797,502,"1,559","1,523",884,599,146,512,29,"1,736","2,136","1,890","3,983","3,760","5,350","6,520"
2021년12월_남_40~49세,"42,536","4,055","1,012",631,"2,257",778,"1,153",750,192,443,48,"1,757","2,786","2,234","4,729","4,856","6,348","8,507"
2021년12월_남_50~59세,"40,292","3,725","1,479","1,112","3,065",862,"1,503","1,287",432,613,80,"2,319","2,741","2,545","4,231","3,973","4,006","6,319"
2021년12월_남_60~69세,"27,464","2,781","1,347","1,158","2,457",703,"1,201","1,313",436,703,77,"1,716","1,475","1,703","2,454","2,423","2,079","3,438"
2021년12월_남_70~79세,"12,743","1,463",620,574,"1,104",284,533,603,272,395,50,758,735,795,"1,024","1,027","1,010","1,496"
2021년12월_남_80~89세,"5,627",659,301,246,512,116,273,252,134,163,29,309,330,350,426,434,434,659
2021년12월_남_90~99세,555,77,36,35,43,16,22,31,11,18,5,35,23,30,32,36,46,59
