카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년07월_계_총인구수,"52,407","21,631","4,613","6,799","1,749","1,741","1,366","2,312","2,377","3,999","5,247",381,192
2021년07월_계_연령구간인구수,"52,407","21,631","4,613","6,799","1,749","1,741","1,366","2,312","2,377","3,999","5,247",381,192
2021년07월_계_0~9세,"3,690","2,014",188,635,82,85,66,82,80,155,278,14,11
2021년07월_계_10~19세,"4,100","2,358",230,523,100,74,57,161,95,157,332,9,4
2021년07월_계_20~29세,"4,819","2,350",327,814,146,119,85,176,115,217,436,26,8
2021년07월_계_30~39세,"4,699","2,237",268,879,146,106,114,117,123,248,434,18,9
2021년07월_계_40~49세,"6,327","3,271",424,847,148,141,106,232,184,349,539,57,29
2021년07월_계_50~59세,"8,415","3,439",782,"1,105",281,283,217,377,327,644,851,79,30
2021년07월_계_60~69세,"8,577","2,912",853,890,327,344,301,418,461,931,977,109,54
2021년07월_계_70~79세,"7,031","1,938",873,703,287,303,249,415,524,832,826,46,35
2021년07월_계_80~89세,"4,178",972,590,361,194,253,150,291,418,412,505,21,11
2021년07월_계_90~99세,547,132,75,40,36,32,21,39,50,54,65,2,1
2021년07월_계_100세 이상,24,8,3,2,2,1,0,4,0,0,4,0,0
2021년07월_남_총인구수,"26,195","10,642","2,301","3,589",924,858,680,"1,160","1,140","1,955","2,595",236,115
2021년07월_남_연령구간인구수,"26,195","10,642","2,301","3,589",924,858,680,"1,160","1,140","1,955","2,595",236,115
2021년07월_남_0~9세,"1,869","1,022",96,336,39,46,29,36,42,70,140,6,7
2021년07월_남_10~19세,"2,148","1,222",126,253,72,38,23,90,60,81,175,5,3
2021년07월_남_20~29세,"2,721","1,257",197,497,80,61,50,102,65,131,259,17,5
2021년07월_남_30~39세,"2,429","1,091",158,487,85,47,59,70,63,134,219,12,4
2021년07월_남_40~49세,"3,550","1,638",274,482,98,97,70,146,111,240,329,44,21
2021년07월_남_50~59세,"4,672","1,779",466,636,167,155,126,244,206,356,461,56,20
2021년07월_남_60~69세,"4,367","1,399",435,471,193,190,154,212,240,462,514,65,32
2021년07월_남_70~79세,"3,030",884,351,306,126,136,116,162,204,366,335,25,19
2021년07월_남_80~89세,"1,300",323,183,116,55,78,48,90,139,104,154,6,4
2021년07월_남_90~99세,109,27,15,5,9,10,5,8,10,11,9,0,0
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"26,212","10,989","2,312","3,210",825,883,686,"1,152","1,237","2,044","2,652",145,77
2021년07월_여_연령구간인구수,"26,212","10,989","2,312","3,210",825,883,686,"1,152","1,237","2,044","2,652",145,77
2021년07월_여_0~9세,"1,821",992,92,299,43,39,37,46,38,85,138,8,4
2021년07월_여_10~19세,"1,952","1,136",104,270,28,36,34,71,35,76,157,4,1
2021년07월_여_20~29세,"2,098","1,093",130,317,66,58,35,74,50,86,177,9,3
2021년07월_여_30~39세,"2,270","1,146",110,392,61,59,55,47,60,114,215,6,5
2021년07월_여_40~49세,"2,777","1,633",150,365,50,44,36,86,73,109,210,13,8
2021년07월_여_50~59세,"3,743","1,660",316,469,114,128,91,133,121,288,390,23,10
2021년07월_여_60~69세,"4,210","1,513",418,419,134,154,147,206,221,469,463,44,22
2021년07월_여_70~79세,"4,001","1,054",522,397,161,167,133,253,320,466,491,21,16
2021년07월_여_80~89세,"2,878",649,407,245,139,175,102,201,279,308,351,15,7
2021년07월_여_90~99세,438,105,60,35,27,22,16,31,40,43,56,2,1
2021년07월_여_100세 이상,24,8,3,2,2,1,0,4,0,0,4,0,0
