,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년10월_계_총인구수,"85,051","30,148","29,508",0,"3,104","3,454","2,090","6,187","10,560"
2021년10월_계_연령구간인구수,"85,051","30,148","29,508",0,"3,104","3,454","2,090","6,187","10,560"
2021년10월_계_0~9세,"7,484","2,047","4,334",0,70,113,47,186,687
2021년10월_계_10~19세,"8,369","3,304","3,150",0,163,138,77,388,"1,149"
2021년10월_계_20~29세,"9,271","3,929","3,079",0,193,238,93,532,"1,207"
2021년10월_계_30~39세,"11,427","3,055","6,132",0,172,249,118,491,"1,210"
2021년10월_계_40~49세,"13,749","4,916","5,600",0,274,326,160,712,"1,761"
2021년10월_계_50~59세,"13,857","5,367","3,513",0,575,717,375,"1,200","2,110"
2021년10월_계_60~69세,"11,279","4,067","2,222",0,775,831,581,"1,411","1,392"
2021년10월_계_70~79세,"5,515","2,082",858,0,446,464,330,701,634
2021년10월_계_80~89세,"3,606","1,219",549,0,382,335,268,497,356
2021년10월_계_90~99세,480,159,69,0,51,42,37,68,54
2021년10월_계_100세 이상,14,3,2,0,3,1,4,1,0
2021년10월_남_총인구수,"44,628","15,503","15,581",0,"1,606","1,809","1,070","3,283","5,776"
2021년10월_남_연령구간인구수,"44,628","15,503","15,581",0,"1,606","1,809","1,070","3,283","5,776"
2021년10월_남_0~9세,"3,855","1,073","2,223",0,34,49,27,99,350
2021년10월_남_10~19세,"4,348","1,713","1,607",0,83,68,39,208,630
2021년10월_남_20~29세,"5,385","2,249","1,721",0,121,150,60,323,761
2021년10월_남_30~39세,"6,296","1,641","3,305",0,111,154,64,310,711
2021년10월_남_40~49세,"7,469","2,560","3,084",0,168,199,98,404,956
2021년10월_남_50~59세,"7,590","2,893","1,907",0,338,388,217,668,"1,179"
2021년10월_남_60~69세,"5,804","1,978","1,135",0,415,459,301,766,750
2021년10월_남_70~79세,"2,555",937,389,0,213,225,162,331,298
2021년10월_남_80~89세,"1,225",422,192,0,113,109,94,165,130
2021년10월_남_90~99세,96,35,18,0,10,7,7,8,11
2021년10월_남_100세 이상,5,2,0,0,0,1,1,1,0
2021년10월_여_총인구수,"40,423","14,645","13,927",0,"1,498","1,645","1,020","2,904","4,784"
2021년10월_여_연령구간인구수,"40,423","14,645","13,927",0,"1,498","1,645","1,020","2,904","4,784"
2021년10월_여_0~9세,"3,629",974,"2,111",0,36,64,20,87,337
2021년10월_여_10~19세,"4,021","1,591","1,543",0,80,70,38,180,519
2021년10월_여_20~29세,"3,886","1,680","1,358",0,72,88,33,209,446
2021년10월_여_30~39세,"5,131","1,414","2,827",0,61,95,54,181,499
2021년10월_여_40~49세,"6,280","2,356","2,516",0,106,127,62,308,805
2021년10월_여_50~59세,"6,267","2,474","1,606",0,237,329,158,532,931
2021년10월_여_60~69세,"5,475","2,089","1,087",0,360,372,280,645,642
2021년10월_여_70~79세,"2,960","1,145",469,0,233,239,168,370,336
2021년10월_여_80~89세,"2,381",797,357,0,269,226,174,332,226
2021년10월_여_90~99세,384,124,51,0,41,35,30,60,43
2021년10월_여_100세 이상,9,1,2,0,3,0,3,0,0
