,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년12월_계_총인구수,"65,243","10,044","3,333","1,747","5,209","1,338",725,"1,862",702,673,"7,719","14,644","9,092","8,155"
2020년12월_계_연령구간인구수,"65,243","10,044","3,333","1,747","5,209","1,338",725,"1,862",702,673,"7,719","14,644","9,092","8,155"
2020년12월_계_0~9세,"3,861",326,95,41,107,28,9,43,13,18,292,"1,685",655,549
2020년12월_계_10~19세,"5,134",760,144,64,231,37,8,64,28,11,497,"1,688",838,764
2020년12월_계_20~29세,"7,236","1,857",244,136,347,70,37,93,29,24,749,"1,889","1,008",753
2020년12월_계_30~39세,"5,795",565,223,93,288,75,23,97,23,41,594,"2,067",947,759
2020년12월_계_40~49세,"8,923","1,096",391,193,480,149,60,197,79,73,957,"2,547","1,501","1,200"
2020년12월_계_50~59세,"11,331","1,674",631,362,"1,000",295,148,350,140,125,"1,452","2,275","1,536","1,343"
2020년12월_계_60~69세,"11,167","1,858",694,371,"1,178",370,186,428,171,165,"1,584","1,428","1,312","1,422"
2020년12월_계_70~79세,"7,187","1,230",516,299,858,180,138,334,130,121,"1,036",678,827,840
2020년12월_계_80~89세,"3,976",593,338,159,612,119,93,220,76,85,499,324,397,461
2020년12월_계_90~99세,582,69,49,29,101,15,23,35,12,9,57,57,64,62
2020년12월_계_100세 이상,51,16,8,0,7,0,0,1,1,1,2,6,7,2
2020년12월_남_총인구수,"33,011","4,978","1,740",874,"2,684",729,398,972,359,367,"3,784","7,450","4,638","4,038"
2020년12월_남_연령구간인구수,"33,011","4,978","1,740",874,"2,684",729,398,972,359,367,"3,784","7,450","4,638","4,038"
2020년12월_남_0~9세,"1,962",152,52,20,59,15,4,23,11,9,154,859,332,272
2020년12월_남_10~19세,"2,665",356,71,37,146,21,4,42,14,5,256,855,462,396
2020년12월_남_20~29세,"4,042",973,163,74,223,37,26,64,18,13,428,"1,057",551,415
2020년12월_남_30~39세,"3,143",292,137,63,174,51,14,57,11,23,331,"1,075",505,410
2020년12월_남_40~49세,"4,910",620,260,114,311,109,42,141,51,56,513,"1,257",802,634
2020년12월_남_50~59세,"6,081",900,373,194,592,152,98,199,83,78,704,"1,186",851,671
2020년12월_남_60~69세,"5,577",943,362,195,601,208,108,225,81,94,731,713,636,680
2020년12월_남_70~79세,"3,179",537,214,113,364,82,62,153,59,56,482,306,365,386
2020년12월_남_80~89세,"1,328",180,98,57,201,50,35,64,30,32,174,126,121,160
2020년12월_남_90~99세,112,20,7,7,12,4,5,4,1,1,11,15,12,13
2020년12월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년12월_여_총인구수,"32,232","5,066","1,593",873,"2,525",609,327,890,343,306,"3,935","7,194","4,454","4,117"
2020년12월_여_연령구간인구수,"32,232","5,066","1,593",873,"2,525",609,327,890,343,306,"3,935","7,194","4,454","4,117"
2020년12월_여_0~9세,"1,899",174,43,21,48,13,5,20,2,9,138,826,323,277
2020년12월_여_10~19세,"2,469",404,73,27,85,16,4,22,14,6,241,833,376,368
2020년12월_여_20~29세,"3,194",884,81,62,124,33,11,29,11,11,321,832,457,338
2020년12월_여_30~39세,"2,652",273,86,30,114,24,9,40,12,18,263,992,442,349
2020년12월_여_40~49세,"4,013",476,131,79,169,40,18,56,28,17,444,"1,290",699,566
2020년12월_여_50~59세,"5,250",774,258,168,408,143,50,151,57,47,748,"1,089",685,672
2020년12월_여_60~69세,"5,590",915,332,176,577,162,78,203,90,71,853,715,676,742
2020년12월_여_70~79세,"4,008",693,302,186,494,98,76,181,71,65,554,372,462,454
2020년12월_여_80~89세,"2,648",413,240,102,411,69,58,156,46,53,325,198,276,301
2020년12월_여_90~99세,470,49,42,22,89,11,18,31,11,8,46,42,52,49
2020년12월_여_100세 이상,39,11,5,0,6,0,0,1,1,1,2,5,6,1
