,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년08월_계_총인구수,"43,542","7,895","19,300","3,235","3,942","2,650","1,795","1,029","2,782",194,720
2020년08월_계_연령구간인구수,"43,542","7,895","19,300","3,235","3,942","2,650","1,795","1,029","2,782",194,720
2020년08월_계_0~9세,"2,819",723,"1,624",91,125,83,51,24,62,9,27
2020년08월_계_10~19세,"3,204",457,"1,937",181,191,152,73,49,119,9,36
2020년08월_계_20~29세,"5,363","1,224","2,459",335,458,233,146,84,328,43,53
2020년08월_계_30~39세,"4,257","1,028","2,191",203,276,182,119,60,147,9,42
2020년08월_계_40~49세,"5,017",812,"2,697",289,411,257,144,89,241,18,59
2020년08월_계_50~59세,"7,200","1,077","3,175",592,717,520,352,153,439,33,142
2020년08월_계_60~69세,"7,406","1,102","2,670",697,846,545,462,237,658,32,157
2020년08월_계_70~79세,"5,054",875,"1,526",497,576,433,275,226,498,25,123
2020년08월_계_80~89세,"2,772",513,847,316,288,227,147,96,254,14,70
2020년08월_계_90~99세,404,79,153,30,46,16,24,10,34,1,11
2020년08월_계_100세 이상,46,5,21,4,8,2,2,1,2,1,0
2020년08월_남_총인구수,"22,813","4,281","9,828","1,715","2,096","1,429",951,550,"1,491",112,360
2020년08월_남_연령구간인구수,"22,813","4,281","9,828","1,715","2,096","1,429",951,550,"1,491",112,360
2020년08월_남_0~9세,"1,441",366,837,46,56,41,28,15,31,4,17
2020년08월_남_10~19세,"1,714",259,"1,010",98,116,86,40,31,53,3,18
2020년08월_남_20~29세,"3,389",846,"1,374",229,319,148,89,52,261,38,33
2020년08월_남_30~39세,"2,423",616,"1,180",117,167,116,70,36,92,5,24
2020년08월_남_40~49세,"2,743",457,"1,378",176,249,147,86,56,148,8,38
2020년08월_남_50~59세,"3,858",606,"1,652",319,384,289,183,92,245,20,68
2020년08월_남_60~69세,"3,820",548,"1,360",381,434,293,266,119,325,16,78
2020년08월_남_70~79세,"2,291",376,705,221,249,206,122,106,235,13,58
2020년08월_남_80~89세,"1,004",183,283,116,106,97,58,40,90,5,26
2020년08월_남_90~99세,115,24,41,10,15,5,8,2,10,0,0
2020년08월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년08월_여_총인구수,"20,729","3,614","9,472","1,520","1,846","1,221",844,479,"1,291",82,360
2020년08월_여_연령구간인구수,"20,729","3,614","9,472","1,520","1,846","1,221",844,479,"1,291",82,360
2020년08월_여_0~9세,"1,378",357,787,45,69,42,23,9,31,5,10
2020년08월_여_10~19세,"1,490",198,927,83,75,66,33,18,66,6,18
2020년08월_여_20~29세,"1,974",378,"1,085",106,139,85,57,32,67,5,20
2020년08월_여_30~39세,"1,834",412,"1,011",86,109,66,49,24,55,4,18
2020년08월_여_40~49세,"2,274",355,"1,319",113,162,110,58,33,93,10,21
2020년08월_여_50~59세,"3,342",471,"1,523",273,333,231,169,61,194,13,74
2020년08월_여_60~69세,"3,586",554,"1,310",316,412,252,196,118,333,16,79
2020년08월_여_70~79세,"2,763",499,821,276,327,227,153,120,263,12,65
2020년08월_여_80~89세,"1,768",330,564,200,182,130,89,56,164,9,44
2020년08월_여_90~99세,289,55,112,20,31,11,16,8,24,1,11
2020년08월_여_100세 이상,31,5,13,2,7,1,1,0,1,1,0
