,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년01월_계_총인구수,"34,568","13,667","4,381","2,311","1,154","2,503","1,796","2,797","1,849","1,664",644,"1,802"
2021년01월_계_연령구간인구수,"34,568","13,667","4,381","2,311","1,154","2,503","1,796","2,797","1,849","1,664",644,"1,802"
2021년01월_계_0~9세,"1,739",997,241,64,28,50,74,106,43,48,14,74
2021년01월_계_10~19세,"2,512","1,352",353,118,40,138,95,126,71,85,48,86
2021년01월_계_20~29세,"2,883","1,536",365,142,69,123,79,182,114,100,37,136
2021년01월_계_30~39세,"2,431","1,297",328,106,51,107,85,158,90,71,24,114
2021년01월_계_40~49세,"3,755","1,865",479,193,100,197,163,252,128,147,51,180
2021년01월_계_50~59세,"5,634","2,241",702,392,184,369,293,427,322,273,104,327
2021년01월_계_60~69세,"6,238","2,029",752,474,263,563,399,601,360,330,108,359
2021년01월_계_70~79세,"5,222","1,421",606,452,247,513,322,516,376,313,131,325
2021년01월_계_80~89세,"3,582",805,486,319,142,373,256,366,299,248,107,181
2021년01월_계_90~99세,541,114,67,49,29,62,29,60,44,47,20,20
2021년01월_계_100세 이상,31,10,2,2,1,8,1,3,2,2,0,0
2021년01월_남_총인구수,"16,693","6,586","2,126","1,116",548,"1,213",848,"1,372",888,786,316,894
2021년01월_남_연령구간인구수,"16,693","6,586","2,126","1,116",548,"1,213",848,"1,372",888,786,316,894
2021년01월_남_0~9세,857,503,117,38,10,24,26,52,24,20,7,36
2021년01월_남_10~19세,"1,298",682,194,55,21,74,48,61,35,50,27,51
2021년01월_남_20~29세,"1,615",829,220,80,41,78,43,114,63,57,21,69
2021년01월_남_30~39세,"1,252",642,180,57,28,63,37,81,50,40,9,65
2021년01월_남_40~49세,"2,084",938,251,116,62,122,105,152,89,94,38,117
2021년01월_남_50~59세,"3,035","1,131",369,214,107,215,162,244,193,152,62,186
2021년01월_남_60~69세,"3,111",981,405,247,121,287,193,305,179,163,60,170
2021년01월_남_70~79세,"2,242",615,240,197,115,226,148,228,152,122,61,138
2021년01월_남_80~89세,"1,092",242,136,104,39,109,84,122,95,77,25,59
2021년01월_남_90~99세,103,22,14,8,4,14,2,12,7,11,6,3
2021년01월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2021년01월_여_총인구수,"17,875","7,081","2,255","1,195",606,"1,290",948,"1,425",961,878,328,908
2021년01월_여_연령구간인구수,"17,875","7,081","2,255","1,195",606,"1,290",948,"1,425",961,878,328,908
2021년01월_여_0~9세,882,494,124,26,18,26,48,54,19,28,7,38
2021년01월_여_10~19세,"1,214",670,159,63,19,64,47,65,36,35,21,35
2021년01월_여_20~29세,"1,268",707,145,62,28,45,36,68,51,43,16,67
2021년01월_여_30~39세,"1,179",655,148,49,23,44,48,77,40,31,15,49
2021년01월_여_40~49세,"1,671",927,228,77,38,75,58,100,39,53,13,63
2021년01월_여_50~59세,"2,599","1,110",333,178,77,154,131,183,129,121,42,141
2021년01월_여_60~69세,"3,127","1,048",347,227,142,276,206,296,181,167,48,189
2021년01월_여_70~79세,"2,980",806,366,255,132,287,174,288,224,191,70,187
2021년01월_여_80~89세,"2,490",563,350,215,103,264,172,244,204,171,82,122
2021년01월_여_90~99세,438,92,53,41,25,48,27,48,37,36,14,17
2021년01월_여_100세 이상,27,9,2,2,1,7,1,2,1,2,0,0
