,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년02월_계_총인구수,"71,030","5,794","1,114","3,180",842,"2,422","3,056","2,358","2,759","1,950","3,567","2,603","5,810","7,099","9,026","3,137","16,313"
2021년02월_계_연령구간인구수,"71,030","5,794","1,114","3,180",842,"2,422","3,056","2,358","2,759","1,950","3,567","2,603","5,810","7,099","9,026","3,137","16,313"
2021년02월_계_0~9세,"3,974",204,43,105,12,56,88,45,54,82,89,75,366,431,637,126,"1,561"
2021년02월_계_10~19세,"5,487",331,60,144,39,235,128,144,101,79,125,89,404,563,859,154,"2,032"
2021년02월_계_20~29세,"6,121",379,74,158,36,139,188,302,149,91,214,118,528,615,832,208,"2,090"
2021년02월_계_30~39세,"5,630",366,49,148,45,101,165,103,124,99,219,131,578,633,782,242,"1,845"
2021년02월_계_40~49세,"8,689",596,105,255,76,181,254,181,223,174,298,180,698,861,"1,345",316,"2,946"
2021년02월_계_50~59세,"11,934","1,021",218,531,184,344,473,384,477,351,612,491,990,"1,149","1,533",523,"2,653"
2021년02월_계_60~69세,"13,521","1,280",260,719,201,572,721,529,645,510,761,660,"1,142","1,407","1,568",680,"1,866"
2021년02월_계_70~79세,"9,206",989,172,591,146,388,540,353,511,313,696,467,715,946,930,532,917
2021년02월_계_80~89세,"5,584",537,115,445,89,351,420,274,412,221,484,322,354,435,473,311,341
2021년02월_계_90~99세,824,80,18,80,13,55,76,43,58,30,63,63,31,50,62,42,60
2021년02월_계_100세 이상,60,11,0,4,1,0,3,0,5,0,6,7,4,9,5,3,2
2021년02월_남_총인구수,"34,809","2,809",568,"1,549",438,"1,255","1,534","1,124","1,377","1,000","1,682","1,194","2,846","3,445","4,484","1,569","7,935"
2021년02월_남_연령구간인구수,"34,809","2,809",568,"1,549",438,"1,255","1,534","1,124","1,377","1,000","1,682","1,194","2,846","3,445","4,484","1,569","7,935"
2021년02월_남_0~9세,"2,058",97,22,51,6,25,46,22,32,43,40,38,205,232,344,56,799
2021년02월_남_10~19세,"2,969",177,32,87,23,149,63,76,56,42,71,48,230,289,494,90,"1,042"
2021년02월_남_20~29세,"3,470",234,46,99,19,80,131,129,93,55,118,68,309,367,500,127,"1,095"
2021년02월_남_30~39세,"2,966",205,27,79,19,63,89,58,77,57,126,73,307,344,398,135,909
2021년02월_남_40~49세,"4,668",330,63,141,44,112,167,101,141,110,193,113,384,462,713,195,"1,399"
2021년02월_남_50~59세,"6,171",539,125,288,109,204,269,218,275,178,341,243,471,563,744,300,"1,304"
2021년02월_남_60~69세,"6,549",611,135,380,121,295,358,277,344,298,368,318,495,629,715,331,874
2021년02월_남_70~79세,"3,981",410,79,260,64,190,251,143,226,133,282,196,305,409,394,239,400
2021년02월_남_80~89세,"1,794",186,37,143,33,125,147,92,120,77,127,81,132,141,163,91,99
2021년02월_남_90~99세,168,16,2,21,0,12,13,8,11,7,13,14,8,7,18,5,13
2021년02월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021년02월_여_총인구수,"36,221","2,985",546,"1,631",404,"1,167","1,522","1,234","1,382",950,"1,885","1,409","2,964","3,654","4,542","1,568","8,378"
2021년02월_여_연령구간인구수,"36,221","2,985",546,"1,631",404,"1,167","1,522","1,234","1,382",950,"1,885","1,409","2,964","3,654","4,542","1,568","8,378"
2021년02월_여_0~9세,"1,916",107,21,54,6,31,42,23,22,39,49,37,161,199,293,70,762
2021년02월_여_10~19세,"2,518",154,28,57,16,86,65,68,45,37,54,41,174,274,365,64,990
2021년02월_여_20~29세,"2,651",145,28,59,17,59,57,173,56,36,96,50,219,248,332,81,995
2021년02월_여_30~39세,"2,664",161,22,69,26,38,76,45,47,42,93,58,271,289,384,107,936
2021년02월_여_40~49세,"4,021",266,42,114,32,69,87,80,82,64,105,67,314,399,632,121,"1,547"
2021년02월_여_50~59세,"5,763",482,93,243,75,140,204,166,202,173,271,248,519,586,789,223,"1,349"
2021년02월_여_60~69세,"6,972",669,125,339,80,277,363,252,301,212,393,342,647,778,853,349,992
2021년02월_여_70~79세,"5,225",579,93,331,82,198,289,210,285,180,414,271,410,537,536,293,517
2021년02월_여_80~89세,"3,790",351,78,302,56,226,273,182,292,144,357,241,222,294,310,220,242
2021년02월_여_90~99세,656,64,16,59,13,43,63,35,47,23,50,49,23,43,44,37,47
2021년02월_여_100세 이상,45,7,0,4,1,0,3,0,3,0,3,5,4,7,4,3,1
