,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년11월_계_총인구수,"67,328","24,501","2,900","3,142","2,762","6,020","2,766","1,944","2,929","2,100","2,342","4,733","3,695","3,957","3,537"
2021년11월_계_연령구간인구수,"67,328","24,501","2,900","3,142","2,762","6,020","2,766","1,944","2,929","2,100","2,342","4,733","3,695","3,957","3,537"
2021년11월_계_0~9세,"3,617","2,157",78,115,61,265,81,36,81,65,61,168,163,170,116
2021년11월_계_10~19세,"4,991","2,849",141,110,124,345,162,76,152,82,128,231,185,221,185
2021년11월_계_20~29세,"5,380","2,715",203,193,151,438,176,122,189,79,131,265,217,255,246
2021년11월_계_30~39세,"4,623","2,399",159,180,120,357,112,64,122,92,92,258,232,227,209
2021년11월_계_40~49세,"7,631","3,718",251,273,219,607,236,150,292,195,219,384,372,352,363
2021년11월_계_50~59세,"11,378","4,110",548,514,479,"1,053",452,321,504,297,411,800,606,672,611
2021년11월_계_60~69세,"12,704","3,378",627,680,635,"1,258",592,416,563,473,467,"1,173",765,883,794
2021년11월_계_70~79세,"9,860","2,023",524,632,559,965,553,410,539,391,458,835,679,712,580
2021년11월_계_80~89세,"6,216","1,003",311,405,361,661,356,308,413,374,315,534,407,401,367
2021년11월_계_90~99세,897,147,56,39,51,68,46,41,71,50,59,80,67,62,60
2021년11월_계_100세 이상,31,2,2,1,2,3,0,0,3,2,1,5,2,2,6
2021년11월_남_총인구수,"33,346","12,031","1,463","1,559","1,376","2,951","1,345",928,"1,468",996,"1,193","2,330","1,885","1,987","1,834"
2021년11월_남_연령구간인구수,"33,346","12,031","1,463","1,559","1,376","2,951","1,345",928,"1,468",996,"1,193","2,330","1,885","1,987","1,834"
2021년11월_남_0~9세,"1,832","1,092",38,59,33,128,38,20,45,29,36,82,82,90,60
2021년11월_남_10~19세,"2,559","1,435",80,54,66,176,82,38,84,46,75,124,91,116,92
2021년11월_남_20~29세,"3,058","1,490",113,99,100,269,100,66,102,48,80,168,125,160,138
2021년11월_남_30~39세,"2,469","1,180",99,115,74,208,58,37,69,44,54,152,131,117,131
2021년11월_남_40~49세,"4,239","1,783",154,177,131,352,145,96,180,123,149,231,262,210,246
2021년11월_남_50~59세,"6,350","2,147",302,306,275,566,257,191,294,172,263,447,365,391,374
2021년11월_남_60~69세,"6,396","1,651",331,333,327,603,291,214,304,237,238,582,411,446,428
2021년11월_남_70~79세,"4,329",905,227,281,248,434,242,161,240,171,191,369,287,325,248
2021년11월_남_80~89세,"1,954",319,106,128,113,207,115,101,138,114,96,161,126,123,107
2021년11월_남_90~99세,160,29,13,7,9,8,17,4,12,12,11,14,5,9,10
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"33,982","12,470","1,437","1,583","1,386","3,069","1,421","1,016","1,461","1,104","1,149","2,403","1,810","1,970","1,703"
2021년11월_여_연령구간인구수,"33,982","12,470","1,437","1,583","1,386","3,069","1,421","1,016","1,461","1,104","1,149","2,403","1,810","1,970","1,703"
2021년11월_여_0~9세,"1,785","1,065",40,56,28,137,43,16,36,36,25,86,81,80,56
2021년11월_여_10~19세,"2,432","1,414",61,56,58,169,80,38,68,36,53,107,94,105,93
2021년11월_여_20~29세,"2,322","1,225",90,94,51,169,76,56,87,31,51,97,92,95,108
2021년11월_여_30~39세,"2,154","1,219",60,65,46,149,54,27,53,48,38,106,101,110,78
2021년11월_여_40~49세,"3,392","1,935",97,96,88,255,91,54,112,72,70,153,110,142,117
2021년11월_여_50~59세,"5,028","1,963",246,208,204,487,195,130,210,125,148,353,241,281,237
2021년11월_여_60~69세,"6,308","1,727",296,347,308,655,301,202,259,236,229,591,354,437,366
2021년11월_여_70~79세,"5,531","1,118",297,351,311,531,311,249,299,220,267,466,392,387,332
2021년11월_여_80~89세,"4,262",684,205,277,248,454,241,207,275,260,219,373,281,278,260
2021년11월_여_90~99세,737,118,43,32,42,60,29,37,59,38,48,66,62,53,50
2021년11월_여_100세 이상,31,2,2,1,2,3,0,0,3,2,1,5,2,2,6
