,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년04월_계_총인구수,"461,077","32,291","31,320","36,185","34,940","20,507","43,428","48,026","40,368","33,660","46,832","27,033","25,956","18,616","21,915"
2021년04월_계_연령구간인구수,"461,077","32,291","31,320","36,185","34,940","20,507","43,428","48,026","40,368","33,660","46,832","27,033","25,956","18,616","21,915"
2021년04월_계_0~9세,"33,807","1,111","1,771","2,252","2,378","1,456","2,720","3,429","3,419","2,764","6,565","1,904","1,491","1,078","1,469"
2021년04월_계_10~19세,"41,978","1,645","2,088","2,802","3,375","2,043","3,905","5,072","3,569","4,209","5,189","2,445","2,015","1,531","2,090"
2021년04월_계_20~29세,"64,810","6,586","5,367","4,732","4,534","2,419","6,085","6,929","5,533","4,587","5,208","3,773","3,579","2,484","2,994"
2021년04월_계_30~39세,"59,618","4,881","4,592","4,512","3,955","2,234","5,090","5,466","5,717","3,776","8,159","3,201","3,263","2,207","2,565"
2021년04월_계_40~49세,"74,164","4,421","4,768","5,732","5,537","3,413","6,639","7,624","6,513","6,230","9,171","4,150","3,830","2,661","3,475"
2021년04월_계_50~59세,"80,276","5,500","5,513","5,904","5,968","3,421","8,518","8,907","6,986","6,014","6,121","5,059","4,918","3,502","3,945"
2021년04월_계_60~69세,"58,778","4,585","4,077","5,300","4,632","2,880","6,011","6,132","4,985","3,103","3,869","3,563","3,811","2,869","2,961"
2021년04월_계_70~79세,"31,165","2,290","2,110","3,463","2,993","1,708","2,945","2,872","2,257","1,894","1,721","1,872","2,024","1,472","1,544"
2021년04월_계_80~89세,"14,451","1,056",917,"1,345","1,407",806,"1,341","1,376","1,216",943,724,944,911,717,748
2021년04월_계_90~99세,"1,902",154,112,141,156,118,168,215,166,137,102,117,109,85,122
2021년04월_계_100세 이상,128,62,5,2,5,9,6,4,7,3,3,5,5,10,2
2021년04월_남_총인구수,"227,112","16,424","15,521","17,645","16,941","9,797","21,331","23,335","20,043","16,682","22,763","13,227","12,981","9,476","10,946"
2021년04월_남_연령구간인구수,"227,112","16,424","15,521","17,645","16,941","9,797","21,331","23,335","20,043","16,682","22,763","13,227","12,981","9,476","10,946"
2021년04월_남_0~9세,"17,460",588,936,"1,171","1,224",730,"1,442","1,794","1,732","1,431","3,362",945,760,561,784
2021년04월_남_10~19세,"21,673",831,"1,124","1,428","1,702","1,047","1,999","2,652","1,854","2,155","2,589","1,284","1,070",807,"1,131"
2021년04월_남_20~29세,"32,789","3,055","2,597","2,284","2,322","1,211","3,148","3,516","2,859","2,432","2,589","1,962","1,867","1,355","1,592"
2021년04월_남_30~39세,"30,458","2,685","2,415","2,294","2,001","1,117","2,627","2,768","2,958","1,871","3,859","1,613","1,751","1,192","1,307"
2021년04월_남_40~49세,"37,248","2,475","2,459","2,992","2,662","1,688","3,247","3,673","3,263","3,003","4,603","2,044","1,958","1,425","1,756"
2021년04월_남_50~59세,"39,477","2,989","2,741","2,858","2,930","1,620","4,092","4,188","3,407","3,090","2,946","2,450","2,433","1,778","1,955"
2021년04월_남_60~69세,"28,437","2,342","1,942","2,414","2,161","1,376","2,939","2,956","2,499","1,503","1,798","1,750","1,893","1,438","1,426"
2021년04월_남_70~79세,"13,737","1,008",915,"1,583","1,295",715,"1,332","1,253","1,039",806,770,816,890,637,678
2021년04월_남_80~89세,"5,370",402,358,578,588,274,474,488,404,363,220,330,340,267,284
2021년04월_남_90~99세,436,37,31,42,55,18,30,47,26,27,26,32,18,14,33
2021년04월_남_100세 이상,27,12,3,1,1,1,1,0,2,1,1,1,1,2,0
2021년04월_여_총인구수,"233,965","15,867","15,799","18,540","17,999","10,710","22,097","24,691","20,325","16,978","24,069","13,806","12,975","9,140","10,969"
2021년04월_여_연령구간인구수,"233,965","15,867","15,799","18,540","17,999","10,710","22,097","24,691","20,325","16,978","24,069","13,806","12,975","9,140","10,969"
2021년04월_여_0~9세,"16,347",523,835,"1,081","1,154",726,"1,278","1,635","1,687","1,333","3,203",959,731,517,685
2021년04월_여_10~19세,"20,305",814,964,"1,374","1,673",996,"1,906","2,420","1,715","2,054","2,600","1,161",945,724,959
2021년04월_여_20~29세,"32,021","3,531","2,770","2,448","2,212","1,208","2,937","3,413","2,674","2,155","2,619","1,811","1,712","1,129","1,402"
2021년04월_여_30~39세,"29,160","2,196","2,177","2,218","1,954","1,117","2,463","2,698","2,759","1,905","4,300","1,588","1,512","1,015","1,258"
2021년04월_여_40~49세,"36,916","1,946","2,309","2,740","2,875","1,725","3,392","3,951","3,250","3,227","4,568","2,106","1,872","1,236","1,719"
2021년04월_여_50~59세,"40,799","2,511","2,772","3,046","3,038","1,801","4,426","4,719","3,579","2,924","3,175","2,609","2,485","1,724","1,990"
2021년04월_여_60~69세,"30,341","2,243","2,135","2,886","2,471","1,504","3,072","3,176","2,486","1,600","2,071","1,813","1,918","1,431","1,535"
2021년04월_여_70~79세,"17,428","1,282","1,195","1,880","1,698",993,"1,613","1,619","1,218","1,088",951,"1,056","1,134",835,866
2021년04월_여_80~89세,"9,081",654,559,767,819,532,867,888,812,580,504,614,571,450,464
2021년04월_여_90~99세,"1,466",117,81,99,101,100,138,168,140,110,76,85,91,71,89
2021년04월_여_100세 이상,101,50,2,1,4,8,5,4,5,2,2,4,4,8,2
