,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년10월_계_총인구수,"42,372","13,104","3,655","1,639","3,880","2,278","3,448","2,581","3,505","2,785","5,497"
2021년10월_계_연령구간인구수,"42,372","13,104","3,655","1,639","3,880","2,278","3,448","2,581","3,505","2,785","5,497"
2021년10월_계_0~9세,"1,506",810,68,49,120,77,52,54,109,48,119
2021년10월_계_10~19세,"2,834","1,370",233,108,180,163,171,88,165,100,256
2021년10월_계_20~29세,"3,072","1,521",192,90,194,164,189,105,189,148,280
2021년10월_계_30~39세,"2,325","1,082",126,83,176,124,124,96,174,101,239
2021년10월_계_40~49세,"4,379","1,872",315,135,376,228,301,212,306,179,455
2021년10월_계_50~59세,"7,119","2,215",624,300,635,446,572,402,560,439,926
2021년10월_계_60~69세,"8,597","2,056",793,342,889,527,708,563,705,678,"1,336"
2021년10월_계_70~79세,"6,660","1,236",686,266,699,336,715,499,640,533,"1,050"
2021년10월_계_80~89세,"4,955",807,520,225,509,177,516,484,531,458,728
2021년10월_계_90~99세,909,132,96,41,101,36,95,76,125,100,107
2021년10월_계_100세 이상,16,3,2,0,1,0,5,2,1,1,1
2021년10월_남_총인구수,"20,491","6,411","1,762",803,"1,885","1,171","1,659","1,231","1,640","1,317","2,612"
2021년10월_남_연령구간인구수,"20,491","6,411","1,762",803,"1,885","1,171","1,659","1,231","1,640","1,317","2,612"
2021년10월_남_0~9세,777,395,33,30,70,36,28,32,59,25,69
2021년10월_남_10~19세,"1,558",732,148,53,107,83,92,54,99,48,142
2021년10월_남_20~29세,"1,896",918,115,64,118,112,119,77,100,96,177
2021년10월_남_30~39세,"1,212",534,69,36,98,66,75,56,94,55,129
2021년10월_남_40~49세,"2,334",888,174,74,209,125,181,130,180,100,273
2021년10월_남_50~59세,"3,861","1,140",358,174,357,245,324,237,297,234,495
2021년10월_남_60~69세,"4,218",971,388,176,434,274,343,272,337,350,673
2021년10월_남_70~79세,"2,944",549,291,113,319,163,330,211,286,245,437
2021년10월_남_80~89세,"1,530",266,164,77,155,61,146,152,160,146,203
2021년10월_남_90~99세,159,17,21,6,18,6,21,10,28,18,14
2021년10월_남_100세 이상,2,1,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"21,881","6,693","1,893",836,"1,995","1,107","1,789","1,350","1,865","1,468","2,885"
2021년10월_여_연령구간인구수,"21,881","6,693","1,893",836,"1,995","1,107","1,789","1,350","1,865","1,468","2,885"
2021년10월_여_0~9세,729,415,35,19,50,41,24,22,50,23,50
2021년10월_여_10~19세,"1,276",638,85,55,73,80,79,34,66,52,114
2021년10월_여_20~29세,"1,176",603,77,26,76,52,70,28,89,52,103
2021년10월_여_30~39세,"1,113",548,57,47,78,58,49,40,80,46,110
2021년10월_여_40~49세,"2,045",984,141,61,167,103,120,82,126,79,182
2021년10월_여_50~59세,"3,258","1,075",266,126,278,201,248,165,263,205,431
2021년10월_여_60~69세,"4,379","1,085",405,166,455,253,365,291,368,328,663
2021년10월_여_70~79세,"3,716",687,395,153,380,173,385,288,354,288,613
2021년10월_여_80~89세,"3,425",541,356,148,354,116,370,332,371,312,525
2021년10월_여_90~99세,750,115,75,35,83,30,74,66,97,82,93
2021년10월_여_100세 이상,14,2,1,0,1,0,5,2,1,1,1
