카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년09월_계_총인구수,"84,433","10,659","10,662","5,603","33,194","3,114","6,416","4,737","2,033","5,031","2,984"
2020년09월_계_연령구간인구수,"84,433","10,659","10,662","5,603","33,194","3,114","6,416","4,737","2,033","5,031","2,984"
2020년09월_계_0~9세,"7,583",726,"1,269",184,"4,755",46,206,120,60,128,89
2020년09월_계_10~19세,"9,101","1,127",892,318,"5,401",147,455,220,89,273,179
2020년09월_계_20~29세,"8,575","1,301",827,506,"3,906",231,708,326,158,370,242
2020년09월_계_30~39세,"9,904",972,"1,474",357,"5,705",150,456,256,133,238,163
2020년09월_계_40~49세,"13,258","1,532","1,527",603,"7,163",266,715,449,208,508,287
2020년09월_계_50~59세,"12,688","1,846","1,464","1,166","3,745",600,"1,150",907,352,868,590
2020년09월_계_60~69세,"10,651","1,551","1,387","1,148","1,573",595,"1,231",997,482,"1,045",642
2020년09월_계_70~79세,"7,885","1,066","1,120",816,646,587,885,907,364,985,509
2020년09월_계_80~89세,"4,159",484,610,426,263,435,515,478,148,545,255
2020년09월_계_90~99세,593,54,90,73,35,56,79,76,36,69,25
2020년09월_계_100세 이상,36,0,2,6,2,1,16,1,3,2,3
2020년09월_남_총인구수,"42,377","5,305","5,388","2,932","16,383","1,543","3,298","2,385","1,052","2,543","1,548"
2020년09월_남_연령구간인구수,"42,377","5,305","5,388","2,932","16,383","1,543","3,298","2,385","1,052","2,543","1,548"
2020년09월_남_0~9세,"3,897",376,675,91,"2,415",18,110,67,35,71,39
2020년09월_남_10~19세,"4,646",593,451,152,"2,771",81,226,97,46,141,88
2020년09월_남_20~29세,"4,601",736,449,287,"1,925",134,418,186,89,243,134
2020년09월_남_30~39세,"5,061",509,760,211,"2,713",106,261,166,85,141,109
2020년09월_남_40~49세,"7,026",774,871,360,"3,498",164,425,304,132,317,181
2020년09월_남_50~59세,"6,957",972,814,681,"1,971",349,639,511,190,478,352
2020년09월_남_60~69세,"5,328",743,671,620,740,300,652,498,250,518,336
2020년09월_남_70~79세,"3,510",444,508,394,275,260,395,392,162,453,227
2020년09월_남_80~89세,"1,251",149,171,126,71,119,162,150,57,172,74
2020년09월_남_90~99세,96,9,18,9,3,12,10,14,6,9,6
2020년09월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년09월_여_총인구수,"42,056","5,354","5,274","2,671","16,811","1,571","3,118","2,352",981,"2,488","1,436"
2020년09월_여_연령구간인구수,"42,056","5,354","5,274","2,671","16,811","1,571","3,118","2,352",981,"2,488","1,436"
2020년09월_여_0~9세,"3,686",350,594,93,"2,340",28,96,53,25,57,50
2020년09월_여_10~19세,"4,455",534,441,166,"2,630",66,229,123,43,132,91
2020년09월_여_20~29세,"3,974",565,378,219,"1,981",97,290,140,69,127,108
2020년09월_여_30~39세,"4,843",463,714,146,"2,992",44,195,90,48,97,54
2020년09월_여_40~49세,"6,232",758,656,243,"3,665",102,290,145,76,191,106
2020년09월_여_50~59세,"5,731",874,650,485,"1,774",251,511,396,162,390,238
2020년09월_여_60~69세,"5,323",808,716,528,833,295,579,499,232,527,306
2020년09월_여_70~79세,"4,375",622,612,422,371,327,490,515,202,532,282
2020년09월_여_80~89세,"2,908",335,439,300,192,316,353,328,91,373,181
2020년09월_여_90~99세,497,45,72,64,32,44,69,62,30,60,19
2020년09월_여_100세 이상,32,0,2,5,1,1,16,1,3,2,1
