카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년10월_계_총인구수,"42,781","13,516","6,106","3,638","3,115","2,002","1,189","2,420","3,043","4,443","3,309"
2021년10월_계_연령구간인구수,"42,781","13,516","6,106","3,638","3,115","2,002","1,189","2,420","3,043","4,443","3,309"
2021년10월_계_0~9세,"1,848",890,200,107,88,58,25,69,98,191,122
2021년10월_계_10~19세,"2,191","1,254",196,104,103,36,33,86,83,189,107
2021년10월_계_20~29세,"3,182","1,396",414,200,139,105,60,175,185,286,222
2021년10월_계_30~39세,"3,148","1,314",450,225,172,116,55,126,176,295,219
2021년10월_계_40~49세,"4,533","1,991",572,324,226,158,98,215,252,418,279
2021년10월_계_50~59세,"8,084","2,379","1,282",756,567,392,232,427,544,849,656
2021년10월_계_60~69세,"9,811","2,193","1,583","1,005",850,548,295,592,843,"1,069",833
2021년10월_계_70~79세,"5,892","1,297",899,525,506,308,217,426,521,670,523
2021년10월_계_80~89세,"3,567",701,432,338,401,244,153,268,293,422,315
2021년10월_계_90~99세,516,101,73,54,63,35,21,36,47,54,32
2021년10월_계_100세 이상,9,0,5,0,0,2,0,0,1,0,1
2021년10월_남_총인구수,"22,174","6,855","3,339","2,002","1,547",991,624,"1,228","1,575","2,259","1,754"
2021년10월_남_연령구간인구수,"22,174","6,855","3,339","2,002","1,547",991,624,"1,228","1,575","2,259","1,754"
2021년10월_남_0~9세,922,414,107,59,50,26,18,35,47,103,63
2021년10월_남_10~19세,"1,206",703,105,64,44,17,21,45,41,107,59
2021년10월_남_20~29세,"1,924",805,279,128,88,62,38,105,115,174,130
2021년10월_남_30~39세,"1,702",663,269,145,94,71,37,68,88,152,115
2021년10월_남_40~49세,"2,693","1,061",398,210,129,107,61,136,176,245,170
2021년10월_남_50~59세,"4,475","1,272",709,451,305,203,129,251,300,477,378
2021년10월_남_60~69세,"5,187","1,108",863,569,459,278,161,295,444,544,466
2021년10월_남_70~79세,"2,767",571,448,263,238,141,104,190,256,306,250
2021년10월_남_80~89세,"1,187",236,147,105,123,79,51,95,94,143,114
2021년10월_남_90~99세,110,22,13,8,17,7,4,8,14,8,9
2021년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"20,607","6,661","2,767","1,636","1,568","1,011",565,"1,192","1,468","2,184","1,555"
2021년10월_여_연령구간인구수,"20,607","6,661","2,767","1,636","1,568","1,011",565,"1,192","1,468","2,184","1,555"
2021년10월_여_0~9세,926,476,93,48,38,32,7,34,51,88,59
2021년10월_여_10~19세,985,551,91,40,59,19,12,41,42,82,48
2021년10월_여_20~29세,"1,258",591,135,72,51,43,22,70,70,112,92
2021년10월_여_30~39세,"1,446",651,181,80,78,45,18,58,88,143,104
2021년10월_여_40~49세,"1,840",930,174,114,97,51,37,79,76,173,109
2021년10월_여_50~59세,"3,609","1,107",573,305,262,189,103,176,244,372,278
2021년10월_여_60~69세,"4,624","1,085",720,436,391,270,134,297,399,525,367
2021년10월_여_70~79세,"3,125",726,451,262,268,167,113,236,265,364,273
2021년10월_여_80~89세,"2,380",465,285,233,278,165,102,173,199,279,201
2021년10월_여_90~99세,406,79,60,46,46,28,17,28,33,46,23
2021년10월_여_100세 이상,8,0,4,0,0,2,0,0,1,0,1
