,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년11월_계_총인구수,"533,557","16,024","22,187","21,118","26,350","25,719","12,932","30,370","24,256","36,470","19,914","35,627","36,008","21,480","33,189","6,349","27,694","23,719","43,367","23,293","15,089","17,566","14,836"
2021년11월_계_연령구간인구수,"533,557","16,024","22,187","21,118","26,350","25,719","12,932","30,370","24,256","36,470","19,914","35,627","36,008","21,480","33,189","6,349","27,694","23,719","43,367","23,293","15,089","17,566","14,836"
2021년11월_계_0~9세,"34,748",902,653,"1,033","2,015","1,964",810,"2,270","1,739","2,004",676,949,"2,635","1,656","2,700",337,"2,336","1,663","3,894","2,016",679,"1,210",607
2021년11월_계_10~19세,"59,332","1,588",853,"1,290","2,749","2,204","1,228","3,597","5,432","6,075","2,491","1,458","5,518","2,371","4,771",579,"3,461","2,270","4,717","3,328","1,109","1,695",548
2021년11월_계_20~29세,"71,079","2,103","4,377","3,420","2,965","3,562","1,739","3,861","2,384","4,476","3,336","7,449","4,382","2,797","3,790",691,"3,516","3,220","5,220","2,483","2,076","1,803","1,429"
2021년11월_계_30~39세,"77,808","2,184","5,508","4,264","3,043","4,017","1,855","4,777","1,390","3,178","3,240","10,024","4,802","3,002","3,270",629,"3,227","3,632","6,237","2,709","2,196","2,492","2,132"
2021년11월_계_40~49세,"97,801","2,761","3,789","3,787","4,577","4,611","2,103","6,312","5,723","6,897","3,927","6,119","8,421","3,805","6,339",889,"4,836","3,947","7,819","4,383","2,058","3,026","1,672"
2021년11월_계_50~59세,"81,885","2,526","2,820","2,982","4,183","3,953","2,144","4,546","4,011","6,496","3,243","4,199","5,208","3,430","5,545","1,009","4,776","3,988","6,044","3,741","2,335","2,580","2,126"
2021년11월_계_60~69세,"61,506","1,838","2,252","2,235","3,229","2,995","1,704","2,604","2,022","4,430","1,580","3,107","2,629","2,601","3,658","1,197","3,471","3,139","5,207","2,975","2,594","2,624","3,415"
2021년11월_계_70~79세,"34,506","1,381","1,331","1,496","2,377","1,685",945,"1,725","1,107","2,216","1,045","1,621","1,750","1,243","2,160",718,"1,542","1,362","2,680","1,139","1,393","1,581","2,009"
2021년11월_계_80~89세,"12,540",639,518,526,"1,039",617,342,582,371,596,329,604,580,480,809,243,434,417,"1,273",402,536,472,731
2021년11월_계_90~99세,"2,230",98,80,82,163,106,59,90,71,100,46,88,76,91,145,49,90,76,267,111,105,76,161
2021년11월_계_100세 이상,122,4,6,3,10,5,3,6,6,2,1,9,7,4,2,8,5,5,9,6,8,7,6
