,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년04월_계_총인구수,"656,755","338,010","7,530","4,111","12,322","4,832","6,358","8,660","14,595","19,619","41,333","12,913","46,222","11,652","13,449","22,112","10,953","10,200","14,779","39,653","36,717","318,745","14,216","18,484","11,327","32,096","20,468","7,670","9,888","7,645","10,152","14,520","20,320","62,290","26,452","12,560","30,676","19,981",0
2021년04월_계_연령구간인구수,"656,755","338,010","7,530","4,111","12,322","4,832","6,358","8,660","14,595","19,619","41,333","12,913","46,222","11,652","13,449","22,112","10,953","10,200","14,779","39,653","36,717","318,745","14,216","18,484","11,327","32,096","20,468","7,670","9,888","7,645","10,152","14,520","20,320","62,290","26,452","12,560","30,676","19,981",0
2021년04월_계_0~9세,"53,121","24,193",321,92,618,170,300,312,925,"1,394","3,306",571,"3,932",686,671,"1,511",603,515,958,"4,368","2,940","28,928",604,"1,462",543,"2,559","2,031",205,411,292,662,834,"1,459","8,096","2,031",853,"3,772","3,114",0
2021년04월_계_10~19세,"70,926","35,530",458,172,802,349,431,643,"1,291","2,626","4,947",831,"5,329","1,084","1,211","2,432",936,894,"1,510","5,010","4,574","35,396","1,086","2,347",725,"4,060","1,595",333,639,487,826,"1,223","2,483","8,793","3,111",997,"3,070","3,621",0
2021년04월_계_20~29세,"92,833","49,187",887,386,"1,423",505,666,"1,003","2,291","3,215","6,389","1,375","5,896","1,666","1,986","3,096","1,378","1,472","2,069","6,176","7,308","43,646","1,704","2,337","1,547","4,722","3,378","2,298","1,554",871,"1,380","2,040","2,717","7,923","3,925","1,547","3,815","1,888",0
2021년04월_계_30~39세,"81,467","39,589",761,352,"1,291",423,566,747,"1,685","2,318","5,235","1,308","5,207","1,207","1,315","2,135","1,082","1,040","1,627","5,286","6,004","41,878","1,286","1,874","1,317","3,966","3,481",930,993,745,"1,368","1,930","1,971","9,373","2,943","1,745","5,220","2,736",0
2021년04월_계_40~49세,"106,459","52,752",905,502,"1,667",643,788,"1,161","1,895","3,469","6,979","1,714","7,484","1,619","1,711","3,402","1,516","1,397","2,099","6,984","6,817","53,707","1,787","3,125","1,444","6,075","3,065",835,"1,232","1,101","1,506","2,427","3,116","12,095","4,096","1,846","5,213","4,744",0
2021년04월_계_50~59세,"106,224","57,048","1,252",660,"1,960",789,"1,048","1,511","2,511","3,256","7,095","2,300","7,758","2,201","2,580","4,316","1,803","1,801","2,507","6,115","5,585","49,176","2,280","2,831","1,852","5,150","2,743","1,082","1,582","1,423","1,703","2,605","3,581","8,629","4,664","2,172","4,540","2,339",0
2021년04월_계_60~69세,"78,480","43,135","1,420",876,"2,130",858,"1,262","1,657","2,182","1,976","4,055","2,316","6,094","1,782","2,324","2,889","1,825","1,663","2,168","3,583","2,075","35,345","2,377","2,263","1,883","2,905","2,190",989,"1,642","1,391","1,509","1,918","2,865","4,535","3,179","1,785","2,925",989,0
2021년04월_계_70~79세,"44,357","24,100",979,697,"1,559",702,826,"1,103","1,192",890,"2,182","1,634","3,004",931,"1,159","1,446","1,236","1,008","1,194","1,430",928,"20,257","1,945","1,563","1,376","1,768","1,326",647,"1,266",925,793,982,"1,356","1,885","1,667",989,"1,407",362,0
