카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년03월_계_총인구수,"150,779","48,678","2,179","3,077","4,408","2,830","2,802","1,785","1,588","57,639","12,001","12,002","1,790"
2021년03월_계_연령구간인구수,"150,779","48,678","2,179","3,077","4,408","2,830","2,802","1,785","1,588","57,639","12,001","12,002","1,790"
2021년03월_계_0~9세,"13,109","4,356",66,80,218,62,77,36,30,"6,364",896,871,53
2021년03월_계_10~19세,"15,784","5,084",128,140,257,128,78,90,55,"7,273","1,145","1,275",131
2021년03월_계_20~29세,"19,947","6,122",213,262,540,204,196,112,124,"8,242","1,597","2,149",186
2021년03월_계_30~39세,"18,240","5,864",141,148,417,167,159,98,117,"8,449","1,239","1,312",129
2021년03월_계_40~49세,"23,558","7,963",205,270,502,214,254,157,156,"10,430","1,871","1,341",195
2021년03월_계_50~59세,"29,132","8,487",435,657,929,543,499,335,299,"10,941","2,751","2,865",391
2021년03월_계_60~69세,"17,288","5,985",408,618,706,575,592,416,305,"3,999","1,642","1,703",339
2021년03월_계_70~79세,"8,239","2,967",305,486,473,509,536,300,270,"1,266",571,349,207
2021년03월_계_80~89세,"4,697","1,577",231,359,316,363,337,209,196,599,256,115,139
2021년03월_계_90~99세,770,268,46,56,50,63,71,31,36,75,33,21,20
2021년03월_계_100세 이상,15,5,1,1,0,2,3,1,0,1,0,1,0
2021년03월_남_총인구수,"78,670","24,921","1,133","1,512","2,276","1,414","1,380",894,874,"30,340","6,366","6,562",998
2021년03월_남_연령구간인구수,"78,670","24,921","1,133","1,512","2,276","1,414","1,380",894,874,"30,340","6,366","6,562",998
2021년03월_남_0~9세,"6,652","2,210",42,35,113,24,33,15,13,"3,230",466,443,28
2021년03월_남_10~19세,"8,177","2,660",75,68,126,79,42,46,33,"3,732",581,660,75
2021년03월_남_20~29세,"11,620","3,377",130,158,319,127,120,72,77,"4,742",950,"1,420",128
2021년03월_남_30~39세,"9,789","2,997",81,79,239,94,94,58,72,"4,527",692,766,90
2021년03월_남_40~49세,"12,113","4,191",123,141,266,129,158,102,109,"5,212",987,562,133
2021년03월_남_50~59세,"15,918","4,520",250,377,505,314,295,187,202,"5,986","1,506","1,551",225
2021년03월_남_60~69세,"9,104","3,101",216,324,369,294,290,220,167,"2,159",853,923,188
2021년03월_남_70~79세,"3,674","1,316",130,208,215,221,227,114,125,559,263,205,91
2021년03월_남_80~89세,"1,488",498,73,110,117,121,114,74,70,182,64,27,38
2021년03월_남_90~99세,133,51,12,11,7,11,7,6,6,11,4,5,2
2021년03월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"72,109","23,757","1,046","1,565","2,132","1,416","1,422",891,714,"27,299","5,635","5,440",792
2021년03월_여_연령구간인구수,"72,109","23,757","1,046","1,565","2,132","1,416","1,422",891,714,"27,299","5,635","5,440",792
2021년03월_여_0~9세,"6,457","2,146",24,45,105,38,44,21,17,"3,134",430,428,25
2021년03월_여_10~19세,"7,607","2,424",53,72,131,49,36,44,22,"3,541",564,615,56
2021년03월_여_20~29세,"8,327","2,745",83,104,221,77,76,40,47,"3,500",647,729,58
2021년03월_여_30~39세,"8,451","2,867",60,69,178,73,65,40,45,"3,922",547,546,39
2021년03월_여_40~49세,"11,445","3,772",82,129,236,85,96,55,47,"5,218",884,779,62
2021년03월_여_50~59세,"13,214","3,967",185,280,424,229,204,148,97,"4,955","1,245","1,314",166
2021년03월_여_60~69세,"8,184","2,884",192,294,337,281,302,196,138,"1,840",789,780,151
2021년03월_여_70~79세,"4,565","1,651",175,278,258,288,309,186,145,707,308,144,116
2021년03월_여_80~89세,"3,209","1,079",158,249,199,242,223,135,126,417,192,88,101
2021년03월_여_90~99세,637,217,34,45,43,52,64,25,30,64,29,16,18
2021년03월_여_100세 이상,13,5,0,0,0,2,3,1,0,1,0,1,0
