,세종특별자치시,세종특별자치시 세종특별자치시
2020년07월_계_총인구수,"346,217","346,217"
2020년07월_계_연령구간인구수,"346,217","346,217"
2020년07월_계_0~9세,"47,066","47,066"
2020년07월_계_10~19세,"41,228","41,228"
2020년07월_계_20~29세,"36,176","36,176"
2020년07월_계_30~39세,"60,806","60,806"
2020년07월_계_40~49세,"66,688","66,688"
2020년07월_계_50~59세,"43,570","43,570"
2020년07월_계_60~69세,"28,607","28,607"
2020년07월_계_70~79세,"13,961","13,961"
2020년07월_계_80~89세,"6,915","6,915"
2020년07월_계_90~99세,"1,145","1,145"
2020년07월_계_100세 이상,55,55
2020년07월_남_총인구수,"172,660","172,660"
2020년07월_남_연령구간인구수,"172,660","172,660"
2020년07월_남_0~9세,"24,134","24,134"
2020년07월_남_10~19세,"20,667","20,667"
2020년07월_남_20~29세,"18,310","18,310"
2020년07월_남_30~39세,"29,610","29,610"
2020년07월_남_40~49세,"34,129","34,129"
2020년07월_남_50~59세,"22,639","22,639"
2020년07월_남_60~69세,"14,186","14,186"
2020년07월_남_70~79세,"6,388","6,388"
2020년07월_남_80~89세,"2,331","2,331"
2020년07월_남_90~99세,255,255
2020년07월_남_100세 이상,11,11
2020년07월_여_총인구수,"173,557","173,557"
2020년07월_여_연령구간인구수,"173,557","173,557"
2020년07월_여_0~9세,"22,932","22,932"
2020년07월_여_10~19세,"20,561","20,561"
2020년07월_여_20~29세,"17,866","17,866"
2020년07월_여_30~39세,"31,196","31,196"
2020년07월_여_40~49세,"32,559","32,559"
2020년07월_여_50~59세,"20,931","20,931"
2020년07월_여_60~69세,"14,421","14,421"
2020년07월_여_70~79세,"7,573","7,573"
2020년07월_여_80~89세,"4,584","4,584"
2020년07월_여_90~99세,890,890
2020년07월_여_100세 이상,44,44
