,세종특별자치시,세종특별자치시 세종특별자치시
2020년09월_계_총인구수,"348,014","348,014"
2020년09월_계_연령구간인구수,"348,014","348,014"
2020년09월_계_0~9세,"46,796","46,796"
2020년09월_계_10~19세,"41,550","41,550"
2020년09월_계_20~29세,"36,347","36,347"
2020년09월_계_30~39세,"60,703","60,703"
2020년09월_계_40~49세,"67,138","67,138"
2020년09월_계_50~59세,"44,105","44,105"
2020년09월_계_60~69세,"29,074","29,074"
2020년09월_계_70~79세,"14,087","14,087"
2020년09월_계_80~89세,"6,987","6,987"
2020년09월_계_90~99세,"1,172","1,172"
2020년09월_계_100세 이상,55,55
2020년09월_남_총인구수,"173,613","173,613"
2020년09월_남_연령구간인구수,"173,613","173,613"
2020년09월_남_0~9세,"23,974","23,974"
2020년09월_남_10~19세,"20,837","20,837"
2020년09월_남_20~29세,"18,445","18,445"
2020년09월_남_30~39세,"29,591","29,591"
2020년09월_남_40~49세,"34,313","34,313"
2020년09월_남_50~59세,"22,943","22,943"
2020년09월_남_60~69세,"14,424","14,424"
2020년09월_남_70~79세,"6,458","6,458"
2020년09월_남_80~89세,"2,360","2,360"
2020년09월_남_90~99세,256,256
2020년09월_남_100세 이상,12,12
2020년09월_여_총인구수,"174,401","174,401"
2020년09월_여_연령구간인구수,"174,401","174,401"
2020년09월_여_0~9세,"22,822","22,822"
2020년09월_여_10~19세,"20,713","20,713"
2020년09월_여_20~29세,"17,902","17,902"
2020년09월_여_30~39세,"31,112","31,112"
2020년09월_여_40~49세,"32,825","32,825"
2020년09월_여_50~59세,"21,162","21,162"
2020년09월_여_60~69세,"14,650","14,650"
2020년09월_여_70~79세,"7,629","7,629"
2020년09월_여_80~89세,"4,627","4,627"
2020년09월_여_90~99세,916,916
2020년09월_여_100세 이상,43,43
