,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년10월_계_총인구수,"51,879","13,521","1,957","1,599","1,822","1,561","1,482","1,473","4,312","3,951","2,564","1,818","1,777","1,797","4,587","3,852",815,"2,154",837
2020년10월_계_연령구간인구수,"51,879","13,521","1,957","1,599","1,822","1,561","1,482","1,473","4,312","3,951","2,564","1,818","1,777","1,797","4,587","3,852",815,"2,154",837
2020년10월_계_0~9세,"1,954",831,26,40,36,25,36,33,134,151,92,46,44,35,235,100,23,51,16
2020년10월_계_10~19세,"2,327","1,027",63,37,58,35,54,42,150,144,51,44,59,56,269,134,12,67,25
2020년10월_계_20~29세,"3,155","1,153",87,66,90,64,59,56,223,254,121,81,104,101,361,196,27,85,27
2020년10월_계_30~39세,"3,291","1,203",97,73,74,52,80,78,233,287,132,96,91,85,340,208,28,90,44
2020년10월_계_40~49세,"4,735","1,769",146,99,151,106,75,95,348,365,184,130,127,121,498,282,48,140,51
2020년10월_계_50~59세,"8,786","2,260",323,262,343,293,268,251,683,707,430,320,307,312,768,634,149,342,134
2020년10월_계_60~69세,"11,710","2,546",526,416,478,413,432,417,"1,015",914,649,455,375,428,842,879,171,559,195
2020년10월_계_70~79세,"8,998","1,717",380,331,351,288,259,264,871,646,490,343,349,361,729,805,194,441,179
2020년10월_계_80~89세,"6,075",868,280,251,217,244,188,208,553,418,368,268,290,270,482,547,142,333,148
2020년10월_계_90~99세,800,136,27,24,23,41,28,25,96,61,44,33,30,26,61,65,21,42,17
2020년10월_계_100세 이상,48,11,2,0,1,0,3,4,6,4,3,2,1,2,2,2,0,4,1
2020년10월_남_총인구수,"25,355","6,643",961,785,887,742,751,739,"2,129","1,912","1,238",911,871,850,"2,180","1,901",390,"1,069",396
2020년10월_남_연령구간인구수,"25,355","6,643",961,785,887,742,751,739,"2,129","1,912","1,238",911,871,850,"2,180","1,901",390,"1,069",396
2020년10월_남_0~9세,"1,020",444,18,24,24,10,14,20,77,71,38,19,23,22,117,52,11,26,10
2020년10월_남_10~19세,"1,222",553,39,18,22,20,32,18,77,76,28,26,28,28,127,72,7,35,16
2020년10월_남_20~29세,"1,817",642,54,41,48,37,39,31,130,140,76,48,68,58,204,123,17,47,14
2020년10월_남_30~39세,"1,830",620,60,49,48,28,47,46,133,155,78,58,54,49,186,128,12,53,26
2020년10월_남_40~49세,"2,782",946,101,64,93,74,42,59,213,220,119,89,80,73,266,185,27,99,32
2020년10월_남_50~59세,"4,761","1,169",182,146,185,156,138,142,372,399,234,179,168,183,411,338,88,189,82
2020년10월_남_60~69세,"5,869","1,215",264,205,241,207,245,233,526,424,328,239,187,218,407,446,94,292,98
2020년10월_남_70~79세,"3,884",746,147,150,146,130,118,109,388,283,218,157,151,135,309,353,75,200,69
2020년10월_남_80~89세,"1,988",276,94,86,74,74,69,76,183,130,112,90,106,78,145,179,52,117,47
2020년10월_남_90~99세,174,30,2,2,5,6,6,4,29,14,7,6,6,6,8,24,7,10,2
2020년10월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년10월_여_총인구수,"26,524","6,878",996,814,935,819,731,734,"2,183","2,039","1,326",907,906,947,"2,407","1,951",425,"1,085",441
2020년10월_여_연령구간인구수,"26,524","6,878",996,814,935,819,731,734,"2,183","2,039","1,326",907,906,947,"2,407","1,951",425,"1,085",441
2020년10월_여_0~9세,934,387,8,16,12,15,22,13,57,80,54,27,21,13,118,48,12,25,6
2020년10월_여_10~19세,"1,105",474,24,19,36,15,22,24,73,68,23,18,31,28,142,62,5,32,9
2020년10월_여_20~29세,"1,338",511,33,25,42,27,20,25,93,114,45,33,36,43,157,73,10,38,13
2020년10월_여_30~39세,"1,461",583,37,24,26,24,33,32,100,132,54,38,37,36,154,80,16,37,18
2020년10월_여_40~49세,"1,953",823,45,35,58,32,33,36,135,145,65,41,47,48,232,97,21,41,19
2020년10월_여_50~59세,"4,025","1,091",141,116,158,137,130,109,311,308,196,141,139,129,357,296,61,153,52
2020년10월_여_60~69세,"5,841","1,331",262,211,237,206,187,184,489,490,321,216,188,210,435,433,77,267,97
2020년10월_여_70~79세,"5,114",971,233,181,205,158,141,155,483,363,272,186,198,226,420,452,119,241,110
2020년10월_여_80~89세,"4,087",592,186,165,143,170,119,132,370,288,256,178,184,192,337,368,90,216,101
2020년10월_여_90~99세,626,106,25,22,18,35,22,21,67,47,37,27,24,20,53,41,14,32,15
2020년10월_여_100세 이상,40,9,2,0,0,0,2,3,5,4,3,2,1,2,2,1,0,3,1
