카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년11월_계_총인구수,"98,438","6,031","1,647","2,166","1,613","1,115","3,438","2,591","3,861","5,136","2,403","1,693","2,171","5,160","14,129","6,780","16,410","15,777","6,317"
2021년11월_계_연령구간인구수,"98,438","6,031","1,647","2,166","1,613","1,115","3,438","2,591","3,861","5,136","2,403","1,693","2,171","5,160","14,129","6,780","16,410","15,777","6,317"
2021년11월_계_0~9세,"5,646",124,34,40,55,27,99,57,106,137,31,35,70,154,987,424,"1,538","1,496",232
2021년11월_계_10~19세,"8,043",285,86,112,101,60,165,100,192,249,88,60,104,314,"1,394",652,"1,936","1,781",364
2021년11월_계_20~29세,"9,091",351,174,139,124,64,210,140,252,351,104,82,148,448,"1,622",690,"1,945","1,768",479
2021년11월_계_30~39세,"8,933",336,88,119,101,63,203,132,196,263,92,65,140,355,"1,549",728,"2,101","1,888",514
2021년11월_계_40~49세,"13,333",541,151,232,211,99,317,203,360,448,172,127,249,636,"2,132","1,052","2,991","2,687",725
2021년11월_계_50~59세,"16,656","1,053",271,387,300,209,556,404,646,917,362,245,383,920,"2,414","1,143","2,574","2,659","1,213"
2021년11월_계_60~69세,"17,881","1,562",410,529,388,256,838,598,927,"1,248",587,443,522,"1,119","2,140","1,027","1,892","1,935","1,460"
2021년11월_계_70~79세,"11,330","1,028",275,352,188,191,590,514,681,855,507,356,360,718,"1,256",657,936,"1,018",848
2021년11월_계_80~89세,"6,522",631,135,220,123,126,399,381,436,551,385,239,178,433,565,370,447,481,422
2021년11월_계_90~99세,972,120,23,35,21,20,60,62,60,107,74,41,16,62,69,36,47,62,57
2021년11월_계_100세 이상,31,0,0,1,1,0,1,0,5,10,1,0,1,1,1,1,3,2,3
2021년11월_남_총인구수,"49,941","3,056",861,"1,144",864,604,"1,784","1,300","1,947","2,584","1,194",867,"1,079","2,719","7,127","3,419","8,212","7,892","3,288"
2021년11월_남_연령구간인구수,"49,941","3,056",861,"1,144",864,604,"1,784","1,300","1,947","2,584","1,194",867,"1,079","2,719","7,127","3,419","8,212","7,892","3,288"
2021년11월_남_0~9세,"2,878",67,12,14,24,13,47,35,58,76,21,16,41,77,508,216,781,762,110
2021년11월_남_10~19세,"4,136",142,43,59,55,33,91,60,100,123,50,36,61,163,705,319,983,927,186
2021년11월_남_20~29세,"5,353",231,129,78,82,43,127,81,149,206,61,51,84,293,947,393,"1,089","1,007",302
2021년11월_남_30~39세,"4,861",194,42,75,59,40,135,86,113,158,56,31,77,218,839,398,"1,053",970,317
2021년11월_남_40~49세,"7,281",328,89,152,128,67,193,125,212,253,113,93,156,383,"1,074",567,"1,543","1,344",461
2021년11월_남_50~59세,"8,933",577,159,238,179,132,317,240,357,512,202,140,211,508,"1,244",599,"1,303","1,354",661
2021년11월_남_60~69세,"8,820",791,223,258,196,140,423,299,483,637,294,246,241,562,"1,022",480,896,918,711
2021년11월_남_70~79세,"5,133",474,123,175,95,88,300,235,309,397,221,156,152,341,556,287,408,448,368
2021년11월_남_80~89세,"2,316",223,37,88,42,44,141,124,156,197,153,87,53,159,214,151,145,145,157
2021년11월_남_90~99세,224,29,4,7,4,4,10,15,10,23,22,11,3,15,18,9,10,15,15
2021년11월_남_100세 이상,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0
2021년11월_여_총인구수,"48,497","2,975",786,"1,022",749,511,"1,654","1,291","1,914","2,552","1,209",826,"1,092","2,441","7,002","3,361","8,198","7,885","3,029"
2021년11월_여_연령구간인구수,"48,497","2,975",786,"1,022",749,511,"1,654","1,291","1,914","2,552","1,209",826,"1,092","2,441","7,002","3,361","8,198","7,885","3,029"
2021년11월_여_0~9세,"2,768",57,22,26,31,14,52,22,48,61,10,19,29,77,479,208,757,734,122
2021년11월_여_10~19세,"3,907",143,43,53,46,27,74,40,92,126,38,24,43,151,689,333,953,854,178
2021년11월_여_20~29세,"3,738",120,45,61,42,21,83,59,103,145,43,31,64,155,675,297,856,761,177
2021년11월_여_30~39세,"4,072",142,46,44,42,23,68,46,83,105,36,34,63,137,710,330,"1,048",918,197
2021년11월_여_40~49세,"6,052",213,62,80,83,32,124,78,148,195,59,34,93,253,"1,058",485,"1,448","1,343",264
2021년11월_여_50~59세,"7,723",476,112,149,121,77,239,164,289,405,160,105,172,412,"1,170",544,"1,271","1,305",552
2021년11월_여_60~69세,"9,061",771,187,271,192,116,415,299,444,611,293,197,281,557,"1,118",547,996,"1,017",749
2021년11월_여_70~79세,"6,197",554,152,177,93,103,290,279,372,458,286,200,208,377,700,370,528,570,480
2021년11월_여_80~89세,"4,206",408,98,132,81,82,258,257,280,354,232,152,125,274,351,219,302,336,265
2021년11월_여_90~99세,748,91,19,28,17,16,50,47,50,84,52,30,13,47,51,27,37,47,42
2021년11월_여_100세 이상,25,0,0,1,1,0,1,0,5,8,0,0,1,1,1,1,2,0,3
