카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년05월_계_총인구수,"41,164","8,466","1,648",880,"1,664","5,208","5,752","3,073","8,602","5,871"
2021년05월_계_연령구간인구수,"41,164","8,466","1,648",880,"1,664","5,208","5,752","3,073","8,602","5,871"
2021년05월_계_0~9세,"1,807",403,34,17,53,207,287,107,413,286
2021년05월_계_10~19세,"2,810",701,72,45,69,311,427,199,628,358
2021년05월_계_20~29세,"3,315",760,110,52,87,394,399,218,718,577
2021년05월_계_30~39세,"2,956",646,62,42,87,307,444,154,602,612
2021년05월_계_40~49세,"5,175","1,055",174,75,145,608,787,369,"1,085",877
2021년05월_계_50~59세,"7,896","1,580",349,173,341,974,"1,136",664,"1,604","1,075"
2021년05월_계_60~69세,"9,109","1,742",436,246,495,"1,237","1,298",722,"1,835","1,098"
2021년05월_계_70~79세,"4,919",922,251,139,242,676,612,355,"1,085",637
2021년05월_계_80~89세,"2,795",566,134,81,122,433,335,256,548,320
2021년05월_계_90~99세,364,86,25,9,23,59,24,29,80,29
2021년05월_계_100세 이상,18,5,1,1,0,2,3,0,4,2
2021년05월_남_총인구수,"21,124","4,301",864,456,867,"2,662","3,016","1,545","4,342","3,071"
2021년05월_남_연령구간인구수,"21,124","4,301",864,456,867,"2,662","3,016","1,545","4,342","3,071"
2021년05월_남_0~9세,899,202,16,13,25,93,135,49,220,146
2021년05월_남_10~19세,"1,473",348,40,24,34,160,236,104,318,209
2021년05월_남_20~29세,"1,966",454,65,34,45,231,239,127,423,348
2021년05월_남_30~39세,"1,592",344,39,21,48,169,241,72,311,347
2021년05월_남_40~49세,"2,824",549,107,41,84,341,425,205,571,501
2021년05월_남_50~59세,"4,249",850,194,85,180,525,613,363,860,579
2021년05월_남_60~69세,"4,752",897,243,140,277,662,685,368,935,545
2021년05월_남_70~79세,"2,290",444,118,60,126,300,312,161,502,267
2021년05월_남_80~89세,"1,004",198,40,37,46,166,124,87,186,120
2021년05월_남_90~99세,71,14,2,0,2,15,6,9,14,9
2021년05월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년05월_여_총인구수,"20,040","4,165",784,424,797,"2,546","2,736","1,528","4,260","2,800"
2021년05월_여_연령구간인구수,"20,040","4,165",784,424,797,"2,546","2,736","1,528","4,260","2,800"
2021년05월_여_0~9세,908,201,18,4,28,114,152,58,193,140
2021년05월_여_10~19세,"1,337",353,32,21,35,151,191,95,310,149
2021년05월_여_20~29세,"1,349",306,45,18,42,163,160,91,295,229
2021년05월_여_30~39세,"1,364",302,23,21,39,138,203,82,291,265
2021년05월_여_40~49세,"2,351",506,67,34,61,267,362,164,514,376
2021년05월_여_50~59세,"3,647",730,155,88,161,449,523,301,744,496
2021년05월_여_60~69세,"4,357",845,193,106,218,575,613,354,900,553
2021년05월_여_70~79세,"2,629",478,133,79,116,376,300,194,583,370
2021년05월_여_80~89세,"1,791",368,94,44,76,267,211,169,362,200
2021년05월_여_90~99세,293,72,23,9,21,44,18,20,66,20
2021년05월_여_100세 이상,14,4,1,0,0,2,3,0,2,2
