카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년05월_계_총인구수,"92,213","16,747","19,671","2,886","3,025","12,978","15,685","6,851","4,487","9,883"
2021년05월_계_연령구간인구수,"92,213","16,747","19,671","2,886","3,025","12,978","15,685","6,851","4,487","9,883"
2021년05월_계_0~9세,"5,690",859,"1,230",53,60,"1,543","1,058",233,164,490
2021년05월_계_10~19세,"7,475","1,356","1,926",117,130,"1,050","1,526",406,223,741
2021년05월_계_20~29세,"9,246","1,680","2,177",147,166,"1,358","1,777",619,334,988
2021년05월_계_30~39세,"9,287","1,461","1,900",162,163,"2,324","1,659",519,298,801
2021년05월_계_40~49세,"13,480","2,252","3,237",216,213,"2,214","2,806",839,457,"1,246"
2021년05월_계_50~59세,"17,427","3,148","3,905",511,514,"1,818","3,231","1,516",896,"1,888"
2021년05월_계_60~69세,"15,964","3,205","2,958",731,841,"1,552","2,134","1,478","1,072","1,993"
2021년05월_계_70~79세,"8,150","1,729","1,415",529,519,693,900,733,586,"1,046"
2021년05월_계_80~89세,"4,755",920,812,362,352,365,524,443,383,594
2021년05월_계_90~99세,717,134,106,56,65,61,70,60,71,94
2021년05월_계_100세 이상,22,3,5,2,2,0,0,5,3,2
2021년05월_남_총인구수,"48,822","8,559","10,516","1,482","1,581","6,888","8,546","3,808","2,423","5,019"
2021년05월_남_연령구간인구수,"48,822","8,559","10,516","1,482","1,581","6,888","8,546","3,808","2,423","5,019"
2021년05월_남_0~9세,"2,970",445,646,28,28,823,545,135,85,235
2021년05월_남_10~19세,"3,894",688,"1,040",63,82,531,801,215,115,359
2021년05월_남_20~29세,"5,360",955,"1,303",87,100,706,"1,062",388,219,540
2021년05월_남_30~39세,"5,218",806,"1,066",107,90,"1,248",962,320,181,438
2021년05월_남_40~49세,"7,552","1,227","1,765",139,145,"1,222","1,543",536,286,689
2021년05월_남_50~59세,"9,695","1,658","2,214",285,279,"1,006","1,852",876,520,"1,005"
2021년05월_남_60~69세,"8,489","1,641","1,535",383,468,878,"1,167",824,570,"1,023"
2021년05월_남_70~79세,"3,850",794,630,245,261,333,424,359,294,510
2021년05월_남_80~89세,"1,623",310,285,134,114,130,170,142,138,200
2021년05월_남_90~99세,165,34,31,11,14,11,20,11,14,19
2021년05월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년05월_여_총인구수,"43,391","8,188","9,155","1,404","1,444","6,090","7,139","3,043","2,064","4,864"
2021년05월_여_연령구간인구수,"43,391","8,188","9,155","1,404","1,444","6,090","7,139","3,043","2,064","4,864"
2021년05월_여_0~9세,"2,720",414,584,25,32,720,513,98,79,255
2021년05월_여_10~19세,"3,581",668,886,54,48,519,725,191,108,382
2021년05월_여_20~29세,"3,886",725,874,60,66,652,715,231,115,448
2021년05월_여_30~39세,"4,069",655,834,55,73,"1,076",697,199,117,363
2021년05월_여_40~49세,"5,928","1,025","1,472",77,68,992,"1,263",303,171,557
2021년05월_여_50~59세,"7,732","1,490","1,691",226,235,812,"1,379",640,376,883
2021년05월_여_60~69세,"7,475","1,564","1,423",348,373,674,967,654,502,970
2021년05월_여_70~79세,"4,300",935,785,284,258,360,476,374,292,536
2021년05월_여_80~89세,"3,132",610,527,228,238,235,354,301,245,394
2021년05월_여_90~99세,552,100,75,45,51,50,50,49,57,75
2021년05월_여_100세 이상,16,2,4,2,2,0,0,3,2,1
