,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년12월_계_총인구수,"49,916","18,283","3,757","4,440",780,"3,260","3,423","4,273","2,377","2,076",227,"2,531",980,"2,694",815
2020년12월_계_연령구간인구수,"49,916","18,283","3,757","4,440",780,"3,260","3,423","4,273","2,377","2,076",227,"2,531",980,"2,694",815
2020년12월_계_0~9세,"3,153","1,461",211,338,47,93,129,199,120,66,8,146,40,254,41
2020년12월_계_10~19세,"3,637","1,735",193,379,50,136,211,260,101,102,10,144,56,226,34
2020년12월_계_20~29세,"3,777","1,834",236,292,42,198,211,266,132,130,9,152,58,158,59
2020년12월_계_30~39세,"4,008","1,822",284,395,72,179,204,252,122,134,6,167,62,255,54
2020년12월_계_40~49세,"6,216","2,690",432,590,117,332,387,434,208,175,29,294,96,342,90
2020년12월_계_50~59세,"8,081","3,113",586,655,127,538,579,628,405,352,34,348,168,412,136
2020년12월_계_60~69세,"8,621","2,839",753,643,157,706,637,714,490,419,38,456,165,454,150
2020년12월_계_70~79세,"7,428","1,809",620,655,128,643,600,898,484,374,47,486,178,354,152
2020년12월_계_80~89세,"4,410",856,392,439,36,385,419,549,279,283,38,302,137,211,84
2020년12월_계_90~99세,559,114,48,53,2,48,45,70,36,40,7,35,19,28,14
2020년12월_계_100세 이상,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
2020년12월_남_총인구수,"25,099","9,233","1,899","2,221",427,"1,631","1,748","2,083","1,200","1,019",119,"1,245",490,"1,356",428
2020년12월_남_연령구간인구수,"25,099","9,233","1,899","2,221",427,"1,631","1,748","2,083","1,200","1,019",119,"1,245",490,"1,356",428
2020년12월_남_0~9세,"1,624",792,103,159,24,56,54,94,75,28,6,67,18,129,19
2020년12월_남_10~19세,"1,877",888,94,206,27,68,106,133,46,56,5,69,35,119,25
2020년12월_남_20~29세,"2,207","1,062",138,170,27,98,143,155,82,75,9,91,36,89,32
2020년12월_남_30~39세,"2,187",923,167,228,47,120,108,141,66,90,3,93,31,135,35
2020년12월_남_40~49세,"3,626","1,410",289,347,81,209,246,256,137,101,20,199,59,206,66
2020년12월_남_50~59세,"4,485","1,648",333,363,71,309,343,362,234,203,22,200,99,219,79
2020년12월_남_60~69세,"4,303","1,387",391,327,75,343,328,350,243,217,22,219,90,241,70
2020년12월_남_70~79세,"3,284",825,261,277,64,307,260,382,222,154,21,197,78,162,74
2020년12월_남_80~89세,"1,404",275,116,138,11,116,150,195,88,84,11,102,39,52,27
2020년12월_남_90~99세,99,22,7,6,0,5,10,15,7,10,0,7,5,4,1
2020년12월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년12월_여_총인구수,"24,817","9,050","1,858","2,219",353,"1,629","1,675","2,190","1,177","1,057",108,"1,286",490,"1,338",387
2020년12월_여_연령구간인구수,"24,817","9,050","1,858","2,219",353,"1,629","1,675","2,190","1,177","1,057",108,"1,286",490,"1,338",387
2020년12월_여_0~9세,"1,529",669,108,179,23,37,75,105,45,38,2,79,22,125,22
2020년12월_여_10~19세,"1,760",847,99,173,23,68,105,127,55,46,5,75,21,107,9
2020년12월_여_20~29세,"1,570",772,98,122,15,100,68,111,50,55,0,61,22,69,27
2020년12월_여_30~39세,"1,821",899,117,167,25,59,96,111,56,44,3,74,31,120,19
2020년12월_여_40~49세,"2,590","1,280",143,243,36,123,141,178,71,74,9,95,37,136,24
2020년12월_여_50~59세,"3,596","1,465",253,292,56,229,236,266,171,149,12,148,69,193,57
2020년12월_여_60~69세,"4,318","1,452",362,316,82,363,309,364,247,202,16,237,75,213,80
2020년12월_여_70~79세,"4,144",984,359,378,64,336,340,516,262,220,26,289,100,192,78
2020년12월_여_80~89세,"3,006",581,276,301,25,269,269,354,191,199,27,200,98,159,57
2020년12월_여_90~99세,460,92,41,47,2,43,35,55,29,30,7,28,14,24,13
2020년12월_여_100세 이상,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
