카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년06월_계_총인구수,"69,276","10,939","15,406","10,869","15,106","9,325","7,631"
2021년06월_계_연령구간인구수,"69,276","10,939","15,406","10,869","15,106","9,325","7,631"
2021년06월_계_0~9세,"6,003",819,"1,796",718,"1,512",622,536
2021년06월_계_10~19세,"6,752",977,"1,848","1,110","1,407",582,828
2021년06월_계_20~29세,"9,304","1,551","1,775","1,664","2,030","1,267","1,017"
2021년06월_계_30~39세,"9,757","1,417","2,077","1,338","2,408","1,576",941
2021년06월_계_40~49세,"10,410","1,439","2,777","1,429","2,187","1,371","1,207"
2021년06월_계_50~59세,"12,070","2,047","2,471","2,086","2,636","1,513","1,317"
2021년06월_계_60~69세,"8,615","1,587","1,563","1,401","1,711","1,414",939
2021년06월_계_70~79세,"3,934",648,702,623,732,667,562
2021년06월_계_80~89세,"2,037",378,345,411,392,273,238
2021년06월_계_90~99세,382,72,52,85,89,40,44
2021년06월_계_100세 이상,12,4,0,4,2,0,2
2021년06월_남_총인구수,"34,036","5,317","7,477","5,217","7,421","4,880","3,724"
2021년06월_남_연령구간인구수,"34,036","5,317","7,477","5,217","7,421","4,880","3,724"
2021년06월_남_0~9세,"3,130",422,929,379,805,315,280
2021년06월_남_10~19세,"3,475",489,912,568,735,320,451
2021년06월_남_20~29세,"4,892",832,903,846,"1,064",705,542
2021년06월_남_30~39세,"4,862",689,940,666,"1,179",896,492
2021년06월_남_40~49세,"5,047",666,"1,350",661,"1,040",752,578
2021년06월_남_50~59세,"5,832",963,"1,227",982,"1,261",746,653
2021년06월_남_60~69세,"4,187",795,766,675,849,695,407
2021년06월_남_70~79세,"1,769",305,299,268,325,333,239
2021년06월_남_80~89세,745,140,134,146,143,106,76
2021년06월_남_90~99세,94,15,17,24,20,12,6
2021년06월_남_100세 이상,3,1,0,2,0,0,0
2021년06월_여_총인구수,"35,240","5,622","7,929","5,652","7,685","4,445","3,907"
2021년06월_여_연령구간인구수,"35,240","5,622","7,929","5,652","7,685","4,445","3,907"
2021년06월_여_0~9세,"2,873",397,867,339,707,307,256
2021년06월_여_10~19세,"3,277",488,936,542,672,262,377
2021년06월_여_20~29세,"4,412",719,872,818,966,562,475
2021년06월_여_30~39세,"4,895",728,"1,137",672,"1,229",680,449
2021년06월_여_40~49세,"5,363",773,"1,427",768,"1,147",619,629
2021년06월_여_50~59세,"6,238","1,084","1,244","1,104","1,375",767,664
2021년06월_여_60~69세,"4,428",792,797,726,862,719,532
2021년06월_여_70~79세,"2,165",343,403,355,407,334,323
2021년06월_여_80~89세,"1,292",238,211,265,249,167,162
2021년06월_여_90~99세,288,57,35,61,69,28,38
2021년06월_여_100세 이상,9,3,0,2,2,0,2
