,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년05월_계_총인구수,"357,190","15,571","10,178","20,407","21,910","20,522","13,135","18,211","21,498","22,606","18,311","24,423","10,387","12,005","20,318","16,844","17,300","11,673","30,077","11,912","19,902"
2020년05월_계_연령구간인구수,"357,190","15,571","10,178","20,407","21,910","20,522","13,135","18,211","21,498","22,606","18,311","24,423","10,387","12,005","20,318","16,844","17,300","11,673","30,077","11,912","19,902"
2020년05월_계_0~9세,"21,741",630,648,"1,506","1,234","1,261",585,920,"1,080","1,998","1,197","1,301",789,756,987,"1,038","1,275",709,"2,001",530,"1,296"
2020년05월_계_10~19세,"25,535",601,513,"1,860","1,556","1,610",653,"1,027","1,249","1,791","1,997","2,106",738,"1,021","1,295","1,365","1,046",924,"2,654",500,"1,029"
2020년05월_계_20~29세,"51,763","3,199","2,010","2,059","2,300","2,874","2,922","4,024","3,434","2,428","2,117","3,015","1,242","1,326","3,296","2,101","3,339","1,626","3,778","2,338","2,335"
2020년05월_계_30~39세,"47,513","2,438","1,806","2,291","2,329","2,479","2,305","3,171","3,149","3,028","1,856","2,489","1,686","1,423","2,364","1,897","2,823","1,246","3,594","2,150","2,989"
2020년05월_계_40~49세,"51,579","1,825","1,497","3,319","3,073","3,077","1,809","2,429","3,056","3,713","2,979","3,642","1,496","1,831","2,786","2,340","2,457","1,647","4,362","1,564","2,677"
2020년05월_계_50~59세,"59,096","2,536","1,591","3,217","3,681","3,659","1,723","2,321","3,157","3,726","3,463","4,614","1,580","2,323","3,545","2,877","2,599","2,018","5,594","1,738","3,134"
2020년05월_계_60~69세,"54,219","2,376","1,269","3,251","3,981","2,965","1,635","2,143","3,279","3,161","2,668","3,983","1,554","1,825","3,322","2,898","2,084","1,871","4,806","1,660","3,488"
2020년05월_계_70~79세,"31,498","1,354",570,"2,008","2,616","1,714","1,032","1,448","2,127","1,973","1,436","2,158",910,"1,042","1,962","1,661","1,193","1,142","2,172",955,"2,025"
2020년05월_계_80~89세,"12,520",526,220,793,"1,016",785,409,624,864,672,521,970,353,405,675,575,434,450,994,418,816
2020년05월_계_90~99세,"1,499",72,47,97,111,86,54,87,91,85,65,133,32,45,77,81,48,37,113,51,87
2020년05월_계_100세 이상,227,14,7,6,13,12,8,17,12,31,12,12,7,8,9,11,2,3,9,8,26
