카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년06월_계_총인구수,"22,332","14,288","3,332","2,042","1,347","1,323"
2020년06월_계_연령구간인구수,"22,332","14,288","3,332","2,042","1,347","1,323"
2020년06월_계_0~9세,"1,787","1,505",118,71,54,39
2020년06월_계_10~19세,"2,111","1,668",191,98,67,87
2020년06월_계_20~29세,"3,064","1,835",384,451,279,115
2020년06월_계_30~39세,"2,608","2,019",250,132,114,93
2020년06월_계_40~49세,"2,576","1,875",314,165,81,141
2020년06월_계_50~59세,"3,604","2,067",668,355,217,297
2020년06월_계_60~69세,"3,254","1,735",663,340,261,255
2020년06월_계_70~79세,"2,062",968,460,279,166,189
2020년06월_계_80~89세,"1,106",542,245,127,99,93
2020년06월_계_90~99세,147,64,36,24,9,14
2020년06월_계_100세 이상,13,10,3,0,0,0
2020년06월_남_총인구수,"11,789","7,304","1,803","1,172",797,713
2020년06월_남_연령구간인구수,"11,789","7,304","1,803","1,172",797,713
2020년06월_남_0~9세,904,755,61,36,27,25
2020년06월_남_10~19세,"1,064",825,104,46,38,51
2020년06월_남_20~29세,"2,033","1,094",280,350,237,72
2020년06월_남_30~39세,"1,444","1,081",152,87,72,52
2020년06월_남_40~49세,"1,403",993,186,92,49,83
2020년06월_남_50~59세,"1,915","1,054",376,193,127,165
2020년06월_남_60~69세,"1,716",894,354,190,139,139
2020년06월_남_70~79세,897,410,199,124,72,92
2020년06월_남_80~89세,371,175,82,48,34,32
2020년06월_남_90~99세,37,19,8,6,2,2
2020년06월_남_100세 이상,5,4,1,0,0,0
2020년06월_여_총인구수,"10,543","6,984","1,529",870,550,610
2020년06월_여_연령구간인구수,"10,543","6,984","1,529",870,550,610
2020년06월_여_0~9세,883,750,57,35,27,14
2020년06월_여_10~19세,"1,047",843,87,52,29,36
2020년06월_여_20~29세,"1,031",741,104,101,42,43
2020년06월_여_30~39세,"1,164",938,98,45,42,41
2020년06월_여_40~49세,"1,173",882,128,73,32,58
2020년06월_여_50~59세,"1,689","1,013",292,162,90,132
2020년06월_여_60~69세,"1,538",841,309,150,122,116
2020년06월_여_70~79세,"1,165",558,261,155,94,97
2020년06월_여_80~89세,735,367,163,79,65,61
2020년06월_여_90~99세,110,45,28,18,7,12
2020년06월_여_100세 이상,8,6,2,0,0,0
