카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년12월_계_총인구수,"342,837","31,190","24,994","30,204","19,181","29,099","29,209","38,710","33,039","19,870","10,473","13,631","24,297","18,477","20,463"
2020년12월_계_연령구간인구수,"342,837","31,190","24,994","30,204","19,181","29,099","29,209","38,710","33,039","19,870","10,473","13,631","24,297","18,477","20,463"
2020년12월_계_0~9세,"20,788","1,288","1,034","1,890","1,251","2,743","1,823","2,543","2,889",801,453,797,"1,263",714,"1,299"
2020년12월_계_10~19세,"23,647","1,425","1,396","1,915","1,721","1,975","2,012","2,635","2,844","1,102",706,774,"2,053","1,275","1,814"
2020년12월_계_20~29세,"56,331","6,136","4,415","4,680","2,381","4,017","3,837","5,292","3,881","2,348","3,178","3,284","5,324","4,719","2,839"
2020년12월_계_30~39세,"50,175","5,359","3,268","4,390","2,301","5,277","4,486","6,346","5,166","2,232","1,473","2,170","3,018","2,170","2,519"
2020년12월_계_40~49세,"50,630","4,238","3,136","4,337","3,058","4,712","4,232","6,385","5,784","2,537","1,329","1,700","3,530","2,441","3,211"
2020년12월_계_50~59세,"53,262","4,692","3,846","4,921","3,293","4,290","4,979","6,070","4,952","3,475","1,236","1,937","3,535","2,618","3,418"
2020년12월_계_60~69세,"46,393","4,136","3,927","4,228","2,719","3,269","4,201","5,442","4,334","3,772",981,"1,529","2,930","2,189","2,736"
2020년12월_계_70~79세,"28,195","2,603","2,632","2,550","1,616","1,865","2,493","2,881","2,292","2,421",707,962,"1,828","1,525","1,820"
2020년12월_계_80~89세,"11,521","1,130","1,158","1,107",757,811,"1,001",942,770,"1,008",342,408,697,694,696
2020년12월_계_90~99세,"1,582",157,155,140,73,109,123,147,110,146,56,60,107,96,103
2020년12월_계_100세 이상,313,26,27,46,11,31,22,27,17,28,12,10,12,36,8
2020년12월_남_총인구수,"169,769","15,822","12,826","15,170","9,228","14,092","14,181","19,238","16,525","9,923","5,016","6,590","12,054","9,185","9,919"
2020년12월_남_연령구간인구수,"169,769","15,822","12,826","15,170","9,228","14,092","14,181","19,238","16,525","9,923","5,016","6,590","12,054","9,185","9,919"
2020년12월_남_0~9세,"10,662",669,541,980,634,"1,380",926,"1,311","1,496",407,238,410,652,354,664
2020년12월_남_10~19세,"11,966",751,715,948,844,"1,018",993,"1,351","1,525",579,339,385,967,652,899
2020년12월_남_20~29세,"27,978","2,901","2,407","2,381","1,200","1,867","1,920","2,518","2,013","1,258","1,494","1,457","2,839","2,352","1,371"
2020년12월_남_30~39세,"25,917","2,803","1,820","2,270","1,159","2,509","2,286","3,274","2,573","1,207",787,"1,128","1,607","1,232","1,262"
2020년12월_남_40~49세,"26,124","2,326","1,721","2,277","1,479","2,448","2,130","3,326","2,957","1,335",653,878,"1,741","1,247","1,606"
2020년12월_남_50~59세,"26,854","2,521","2,027","2,530","1,613","2,092","2,431","2,999","2,486","1,766",626,962,"1,742","1,351","1,708"
2020년12월_남_60~69세,"22,400","2,103","1,898","2,138","1,265","1,591","1,975","2,637","2,070","1,855",438,749,"1,372","1,017","1,292"
2020년12월_남_70~79세,"12,737","1,214","1,195","1,149",676,845,"1,121","1,391","1,073","1,084",291,417,830,650,801
2020년12월_남_80~89세,"4,574",472,448,441,328,301,366,381,301,383,130,182,257,298,286
2020년12월_남_90~99세,463,54,47,42,25,30,23,42,26,45,18,16,42,25,28
2020년12월_남_100세 이상,94,8,7,14,5,11,10,8,5,4,2,6,5,7,2
2020년12월_여_총인구수,"173,068","15,368","12,168","15,034","9,953","15,007","15,028","19,472","16,514","9,947","5,457","7,041","12,243","9,292","10,544"
2020년12월_여_연령구간인구수,"173,068","15,368","12,168","15,034","9,953","15,007","15,028","19,472","16,514","9,947","5,457","7,041","12,243","9,292","10,544"
2020년12월_여_0~9세,"10,126",619,493,910,617,"1,363",897,"1,232","1,393",394,215,387,611,360,635
2020년12월_여_10~19세,"11,681",674,681,967,877,957,"1,019","1,284","1,319",523,367,389,"1,086",623,915
2020년12월_여_20~29세,"28,353","3,235","2,008","2,299","1,181","2,150","1,917","2,774","1,868","1,090","1,684","1,827","2,485","2,367","1,468"
2020년12월_여_30~39세,"24,258","2,556","1,448","2,120","1,142","2,768","2,200","3,072","2,593","1,025",686,"1,042","1,411",938,"1,257"
2020년12월_여_40~49세,"24,506","1,912","1,415","2,060","1,579","2,264","2,102","3,059","2,827","1,202",676,822,"1,789","1,194","1,605"
2020년12월_여_50~59세,"26,408","2,171","1,819","2,391","1,680","2,198","2,548","3,071","2,466","1,709",610,975,"1,793","1,267","1,710"
2020년12월_여_60~69세,"23,993","2,033","2,029","2,090","1,454","1,678","2,226","2,805","2,264","1,917",543,780,"1,558","1,172","1,444"
2020년12월_여_70~79세,"15,458","1,389","1,437","1,401",940,"1,020","1,372","1,490","1,219","1,337",416,545,998,875,"1,019"
2020년12월_여_80~89세,"6,947",658,710,666,429,510,635,561,469,625,212,226,440,396,410
2020년12월_여_90~99세,"1,119",103,108,98,48,79,100,105,84,101,38,44,65,71,75
2020년12월_여_100세 이상,219,18,20,32,6,20,12,19,12,24,10,4,7,29,6
