,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년05월_계_총인구수,"96,337","6,472","1,403","3,859","2,965",997,"2,621","3,957","1,655","1,923","2,566","1,746",756,"1,962","2,772","1,218",331,"2,699","1,133",377,"2,126","2,031",811,"12,004","9,015","8,128","8,219","3,569","9,022"
2021년05월_계_연령구간인구수,"96,337","6,472","1,403","3,859","2,965",997,"2,621","3,957","1,655","1,923","2,566","1,746",756,"1,962","2,772","1,218",331,"2,699","1,133",377,"2,126","2,031",811,"12,004","9,015","8,128","8,219","3,569","9,022"
2021년05월_계_0~9세,"5,062",273,41,107,85,29,86,94,55,51,94,59,25,57,145,24,5,87,20,9,33,56,30,864,712,583,558,161,719
2021년05월_계_10~19세,"7,462",529,59,161,153,33,95,226,67,75,148,64,39,101,144,61,10,148,44,19,93,87,32,"1,285",829,836,753,337,"1,034"
2021년05월_계_20~29세,"7,872",383,67,189,160,53,137,187,77,98,154,98,29,100,136,65,13,117,39,10,93,91,46,"1,254",976,754,850,299,"1,397"
2021년05월_계_30~39세,"7,218",427,71,211,115,36,149,193,76,94,130,89,44,102,176,60,9,135,32,8,97,68,34,"1,219","1,000",823,733,251,836
2021년05월_계_40~49세,"11,201",705,103,326,237,75,195,297,135,127,247,149,58,162,249,116,24,278,79,22,166,187,65,"1,744","1,349","1,179","1,125",476,"1,326"
2021년05월_계_50~59세,"16,438","1,054",235,624,479,199,422,622,283,364,497,327,144,374,520,255,69,476,161,71,296,300,159,"2,056","1,538","1,397","1,513",610,"1,393"
2021년05월_계_60~69세,"18,770","1,365",314,912,663,238,640,989,386,519,652,446,200,467,635,285,100,611,307,77,540,437,188,"1,873","1,468","1,237","1,315",654,"1,252"
2021년05월_계_70~79세,"12,398",935,294,654,550,150,465,741,296,325,378,279,110,339,410,185,52,449,250,69,408,410,138,"1,100",706,765,841,472,627
2021년05월_계_80~89세,"8,542",693,193,580,437,165,372,521,236,243,229,202,96,211,319,144,44,346,172,81,338,326,95,527,381,493,460,268,370
2021년05월_계_90~99세,"1,337",102,26,91,83,19,58,85,44,27,34,33,11,49,38,22,5,50,27,11,61,67,24,80,56,58,68,41,67
2021년05월_계_100세 이상,37,6,0,4,3,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,3,0,1
2021년05월_남_총인구수,"47,254","3,107",688,"1,884","1,452",491,"1,281","1,952",826,979,"1,293",885,366,987,"1,352",613,171,"1,277",524,199,"1,009",981,394,"5,870","4,506","3,872","3,997","1,741","4,557"
2021년05월_남_연령구간인구수,"47,254","3,107",688,"1,884","1,452",491,"1,281","1,952",826,979,"1,293",885,366,987,"1,352",613,171,"1,277",524,199,"1,009",981,394,"5,870","4,506","3,872","3,997","1,741","4,557"
2021년05월_남_0~9세,"2,624",151,27,53,44,15,47,45,27,21,52,27,15,28,80,15,2,37,8,2,13,35,15,440,356,291,300,95,383
2021년05월_남_10~19세,"3,911",240,27,100,78,14,63,135,42,45,75,33,21,55,68,28,5,77,26,13,44,39,16,719,446,418,366,181,537
2021년05월_남_20~29세,"4,566",220,40,120,97,34,92,120,45,56,101,69,16,53,77,30,9,68,18,7,63,54,18,705,544,422,478,177,833
2021년05월_남_30~39세,"3,879",249,42,123,76,21,82,109,37,58,65,55,21,59,94,40,5,75,18,6,64,41,12,647,519,440,376,131,414
2021년05월_남_40~49세,"5,944",372,74,215,141,46,127,195,93,70,148,89,37,103,138,64,15,156,49,13,106,107,40,840,670,598,526,260,652
2021년05월_남_50~59세,"8,726",566,143,358,268,119,234,335,169,199,258,187,70,211,269,146,42,263,91,48,158,178,93,"1,009",804,681,817,317,693
2021년05월_남_60~69세,"9,242",680,156,477,357,119,317,485,200,292,333,236,110,243,324,143,56,297,154,41,274,221,102,854,718,560,601,279,613
2021년05월_남_70~79세,"5,397",390,121,270,240,71,190,333,127,151,163,115,47,155,175,83,23,196,99,34,180,179,65,481,314,315,374,204,302
2021년05월_남_80~89세,"2,714",218,55,155,136,47,118,177,78,83,91,64,29,73,116,59,14,100,58,32,97,106,29,163,129,138,142,94,113
