카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년12월_계_총인구수,"407,464","14,726","13,855","16,409","17,411","17,948","7,642","47,690","32,105","18,265","23,296","33,023","20,533","16,785","8,762","13,460","20,674","21,988","12,524","20,995","15,123","14,250"
2021년12월_계_연령구간인구수,"407,464","14,726","13,855","16,409","17,411","17,948","7,642","47,690","32,105","18,265","23,296","33,023","20,533","16,785","8,762","13,460","20,674","21,988","12,524","20,995","15,123","14,250"
2021년12월_계_0~9세,"26,104","1,070","1,055","1,016",598,"1,290",270,"3,785","2,176",981,"1,563","3,171","1,148",896,417,513,"1,072","1,829",502,"1,120",899,733
2021년12월_계_10~19세,"31,520",932,820,"1,267",941,"1,307",329,"4,923","3,501","1,636","1,525","2,592",869,"1,104",633,801,"1,298","1,830",890,"1,831","1,306","1,185"
2021년12월_계_20~29세,"56,905","1,904","2,074","2,113","4,077","2,530","1,013","6,708","4,181","2,297","3,233","3,858","4,194","2,121","1,204","1,627","2,914","2,794","1,455","2,759","1,944","1,905"
2021년12월_계_30~39세,"55,834","2,182","2,402","2,136","1,788","2,801",909,"6,271","3,378","2,028","3,508","5,686","4,270","2,066",944,"1,490","3,230","3,317","1,255","2,458","1,781","1,934"
2021년12월_계_40~49세,"63,525","2,203","2,037","2,490","2,041","2,645",973,"8,312","5,526","2,741","3,546","5,445","3,159","2,403","1,296","1,795","3,073","3,789","1,841","3,150","2,229","2,831"
2021년12월_계_50~59세,"67,377","2,378","2,183","2,669","2,621","2,707","1,300","7,829","5,799","3,325","3,868","4,831","3,136","2,832","1,455","2,266","3,506","3,248","2,247","3,858","2,634","2,685"
2021년12월_계_60~69세,"59,014","2,130","1,763","2,523","2,696","2,477","1,427","5,732","4,387","2,808","3,322","4,410","2,351","2,870","1,474","2,551","3,135","2,961","2,350","3,343","2,544","1,760"
2021년12월_계_70~79세,"31,167","1,247",937,"1,438","1,764","1,497",907,"2,728","2,128","1,583","1,810","2,012",906,"1,640",916,"1,621","1,613","1,455","1,300","1,644","1,199",822
2021년12월_계_80~89세,"13,915",583,505,656,763,596,453,"1,232",899,750,813,883,435,748,365,686,718,655,600,735,500,340
2021년12월_계_90~99세,"2,042",92,76,99,120,96,58,169,127,112,106,131,64,104,53,108,109,107,80,94,83,54
2021년12월_계_100세 이상,61,5,3,2,2,2,3,1,3,4,2,4,1,1,5,2,6,3,4,3,4,1
2021년12월_남_총인구수,"205,283","7,424","6,900","8,237","9,471","9,006","4,051","23,646","15,995","8,956","11,636","16,792","10,784","8,460","4,459","6,752","10,358","10,978","6,094","10,240","7,387","7,657"
2021년12월_남_연령구간인구수,"205,283","7,424","6,900","8,237","9,471","9,006","4,051","23,646","15,995","8,956","11,636","16,792","10,784","8,460","4,459","6,752","10,358","10,978","6,094","10,240","7,387","7,657"
2021년12월_남_0~9세,"13,331",545,555,521,308,677,141,"1,916","1,082",476,824,"1,604",600,449,219,254,541,954,255,561,474,375
2021년12월_남_10~19세,"16,291",474,414,676,512,697,176,"2,556","1,846",849,749,"1,353",441,585,337,387,632,936,480,918,669,604
2021년12월_남_20~29세,"29,929","1,006","1,003","1,111","2,595","1,259",602,"3,381","2,215","1,249","1,633","1,981","2,090","1,144",651,884,"1,491","1,423",780,"1,452",976,"1,003"
2021년12월_남_30~39세,"30,089","1,187","1,271","1,149","1,085","1,486",545,"3,210","1,721","1,066","1,871","3,042","2,402","1,102",530,841,"1,849","1,708",688,"1,317",910,"1,109"
2021년12월_남_40~49세,"33,688","1,206","1,121","1,283","1,178","1,385",590,"4,199","2,733","1,381","1,900","2,952","1,825","1,303",703,"1,016","1,659","2,013",939,"1,591","1,110","1,601"
2021년12월_남_50~59세,"34,022","1,231","1,075","1,371","1,374","1,365",721,"3,875","2,935","1,623","1,926","2,409","1,635","1,472",747,"1,176","1,732","1,649","1,081","1,837","1,243","1,545"
2021년12월_남_60~69세,"28,194","1,021",862,"1,203","1,288","1,194",672,"2,796","2,129","1,309","1,576","2,186","1,167","1,337",724,"1,155","1,485","1,345","1,074","1,543","1,211",917
2021년12월_남_70~79세,"14,161",540,417,659,791,699,410,"1,219",969,708,822,924,438,769,406,753,709,674,556,729,595,374
2021년12월_남_80~89세,"5,106",187,171,231,310,224,176,458,341,266,300,322,175,277,122,267,242,256,221,264,175,121
2021년12월_남_90~99세,458,26,10,32,29,18,18,36,24,29,35,18,11,22,18,18,17,20,18,28,23,8
2021년12월_남_100세 이상,14,1,1,1,1,2,0,0,0,0,0,1,0,0,2,1,1,0,2,0,1,0
2021년12월_여_총인구수,"202,181","7,302","6,955","8,172","7,940","8,942","3,591","24,044","16,110","9,309","11,660","16,231","9,749","8,325","4,303","6,708","10,316","11,010","6,430","10,755","7,736","6,593"
2021년12월_여_연령구간인구수,"202,181","7,302","6,955","8,172","7,940","8,942","3,591","24,044","16,110","9,309","11,660","16,231","9,749","8,325","4,303","6,708","10,316","11,010","6,430","10,755","7,736","6,593"
2021년12월_여_0~9세,"12,773",525,500,495,290,613,129,"1,869","1,094",505,739,"1,567",548,447,198,259,531,875,247,559,425,358
2021년12월_여_10~19세,"15,229",458,406,591,429,610,153,"2,367","1,655",787,776,"1,239",428,519,296,414,666,894,410,913,637,581
2021년12월_여_20~29세,"26,976",898,"1,071","1,002","1,482","1,271",411,"3,327","1,966","1,048","1,600","1,877","2,104",977,553,743,"1,423","1,371",675,"1,307",968,902
2021년12월_여_30~39세,"25,745",995,"1,131",987,703,"1,315",364,"3,061","1,657",962,"1,637","2,644","1,868",964,414,649,"1,381","1,609",567,"1,141",871,825
2021년12월_여_40~49세,"29,837",997,916,"1,207",863,"1,260",383,"4,113","2,793","1,360","1,646","2,493","1,334","1,100",593,779,"1,414","1,776",902,"1,559","1,119","1,230"
2021년12월_여_50~59세,"33,355","1,147","1,108","1,298","1,247","1,342",579,"3,954","2,864","1,702","1,942","2,422","1,501","1,360",708,"1,090","1,774","1,599","1,166","2,021","1,391","1,140"
2021년12월_여_60~69세,"30,820","1,109",901,"1,320","1,408","1,283",755,"2,936","2,258","1,499","1,746","2,224","1,184","1,533",750,"1,396","1,650","1,616","1,276","1,800","1,333",843
2021년12월_여_70~79세,"17,006",707,520,779,973,798,497,"1,509","1,159",875,988,"1,088",468,871,510,868,904,781,744,915,604,448
2021년12월_여_80~89세,"8,809",396,334,425,453,372,277,774,558,484,513,561,260,471,243,419,476,399,379,471,325,219
2021년12월_여_90~99세,"1,584",66,66,67,91,78,40,133,103,83,71,113,53,82,35,90,92,87,62,66,60,46
2021년12월_여_100세 이상,47,4,2,1,1,0,3,1,3,4,2,3,1,1,3,1,5,3,2,3,3,1
