,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년08월_계_총인구수,"281,999","2,739","4,685","18,427","31,825","12,164","2,981","1,830","3,219","1,527",905,"3,279","5,580","2,835","3,788","5,775","25,156","6,376","44,781","7,802","8,991","2,904","2,452","3,163","18,444","40,547","19,824"
2020년08월_계_연령구간인구수,"281,999","2,739","4,685","18,427","31,825","12,164","2,981","1,830","3,219","1,527",905,"3,279","5,580","2,835","3,788","5,775","25,156","6,376","44,781","7,802","8,991","2,904","2,452","3,163","18,444","40,547","19,824"
2020년08월_계_0~9세,"23,778",54,129,"1,563","5,826",829,58,36,65,17,27,76,143,58,151,283,"1,921",339,"3,518",402,380,114,61,107,"2,165","3,593","1,863"
2020년08월_계_10~19세,"30,641",131,227,"2,625","4,800","1,026",101,71,146,38,42,154,285,169,265,497,"2,734",572,"5,509",609,702,199,111,201,"1,727","4,986","2,714"
2020년08월_계_20~29세,"37,350",190,430,"3,182","3,095","1,337",164,126,196,81,55,241,428,262,372,953,"3,879",776,"6,696",930,"1,142",348,275,380,"2,166","6,355","3,291"
2020년08월_계_30~39세,"33,405",122,264,"2,230","6,607","1,154",136,101,160,65,35,150,279,154,325,617,"2,879",649,"5,128",788,782,254,210,282,"2,656","4,965","2,413"
2020년08월_계_40~49세,"43,846",236,496,"3,473","6,594","1,730",226,143,229,123,58,250,553,289,432,706,"3,731",905,"7,201",974,"1,114",323,294,435,"2,870","6,965","3,496"
2020년08월_계_50~59세,"49,179",562,934,"3,424","3,192","2,233",491,329,564,303,155,562,986,558,585,897,"4,503","1,167","8,656","1,333","1,756",485,487,559,"3,020","7,600","3,838"
2020년08월_계_60~69세,"33,311",529,896,"1,150","1,167","1,899",631,416,682,296,191,738,"1,108",571,786,833,"3,273","1,061","5,168","1,376","1,584",522,530,563,"2,050","3,776","1,515"
2020년08월_계_70~79세,"18,849",485,716,478,369,"1,193",641,333,648,327,177,642,939,447,559,655,"1,472",590,"1,973",951,"1,059",444,312,433,"1,102","1,455",449
2020년08월_계_80~89세,"10,022",372,520,272,143,662,461,232,468,234,131,409,751,271,267,297,661,264,802,377,413,179,142,173,580,730,211
2020년08월_계_90~99세,"1,554",58,72,27,32,100,71,42,61,36,33,54,104,52,42,36,96,49,122,61,59,36,28,25,104,120,34
2020년08월_계_100세 이상,64,0,1,3,0,1,1,1,0,7,1,3,4,4,4,1,7,4,8,1,0,0,2,5,4,2,0
2020년08월_남_총인구수,"140,794","1,354","2,421","9,165","16,165","6,095","1,494",868,"1,624",785,434,"1,599","2,802","1,450","1,865","2,889","12,371","3,222","22,333","3,912","4,544","1,410","1,271","1,620","9,286","20,028","9,787"
2020년08월_남_연령구간인구수,"140,794","1,354","2,421","9,165","16,165","6,095","1,494",868,"1,624",785,434,"1,599","2,802","1,450","1,865","2,889","12,371","3,222","22,333","3,912","4,544","1,410","1,271","1,620","9,286","20,028","9,787"
2020년08월_남_0~9세,"12,222",35,59,797,"2,999",435,30,18,34,12,17,40,74,36,73,148,985,182,"1,748",216,202,58,35,56,"1,141","1,850",942
