카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년03월_계_총인구수,"42,663","6,830","18,363","8,842","8,628"
2020년03월_계_연령구간인구수,"42,663","6,830","18,363","8,842","8,628"
2020년03월_계_0~9세,"4,053",636,"1,289","1,344",784
2020년03월_계_10~19세,"6,491",895,"2,434","2,030","1,132"
2020년03월_계_20~29세,"4,867",731,"2,384",758,994
2020년03월_계_30~39세,"4,710",697,"1,672","1,402",939
2020년03월_계_40~49세,"8,432","1,116","3,258","2,491","1,567"
2020년03월_계_50~59세,"6,797","1,287","3,435",640,"1,435"
2020년03월_계_60~69세,"4,119",898,"2,021",91,"1,109"
2020년03월_계_70~79세,"1,945",359,"1,097",58,431
2020년03월_계_80~89세,"1,069",168,671,25,205
2020년03월_계_90~99세,170,40,97,3,30
2020년03월_계_100세 이상,10,3,5,0,2
2020년03월_남_총인구수,"21,221","3,317","9,008","4,563","4,333"
2020년03월_남_연령구간인구수,"21,221","3,317","9,008","4,563","4,333"
2020년03월_남_0~9세,"2,065",316,681,676,392
2020년03월_남_10~19세,"3,386",462,"1,283","1,040",601
2020년03월_남_20~29세,"2,715",386,"1,306",439,584
2020년03월_남_30~39세,"2,313",325,849,680,459
2020년03월_남_40~49세,"4,083",517,"1,537","1,286",743
2020년03월_남_50~59세,"3,420",634,"1,679",399,708
2020년03월_남_60~69세,"1,994",446,974,19,555
2020년03월_남_70~79세,873,178,472,15,208
2020년03월_남_80~89세,336,47,207,8,74
2020년03월_남_90~99세,36,6,20,1,9
2020년03월_남_100세 이상,0,0,0,0,0
2020년03월_여_총인구수,"21,442","3,513","9,355","4,279","4,295"
2020년03월_여_연령구간인구수,"21,442","3,513","9,355","4,279","4,295"
2020년03월_여_0~9세,"1,988",320,608,668,392
2020년03월_여_10~19세,"3,105",433,"1,151",990,531
2020년03월_여_20~29세,"2,152",345,"1,078",319,410
2020년03월_여_30~39세,"2,397",372,823,722,480
2020년03월_여_40~49세,"4,349",599,"1,721","1,205",824
2020년03월_여_50~59세,"3,377",653,"1,756",241,727
2020년03월_여_60~69세,"2,125",452,"1,047",72,554
2020년03월_여_70~79세,"1,072",181,625,43,223
2020년03월_여_80~89세,733,121,464,17,131
2020년03월_여_90~99세,134,34,77,2,21
2020년03월_여_100세 이상,10,3,5,0,2
