,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년07월_계_총인구수,"38,614","4,225",240,"5,742",228,220,"1,458",315,"3,206","2,292","3,503","2,479",216,"2,216",441,207,472,317,"1,726","1,540","1,550","2,723",284,985,"2,029"
2021년07월_계_연령구간인구수,"38,614","4,225",240,"5,742",228,220,"1,458",315,"3,206","2,292","3,503","2,479",216,"2,216",441,207,472,317,"1,726","1,540","1,550","2,723",284,985,"2,029"
2021년07월_계_0~9세,"1,491",141,6,207,9,15,38,11,161,75,135,109,9,69,13,11,20,10,64,66,76,113,16,21,96
2021년07월_계_10~19세,"2,010",228,6,289,3,5,43,9,235,103,202,205,6,111,21,17,27,20,98,104,69,100,8,28,73
2021년07월_계_20~29세,"2,665",268,12,455,7,6,99,19,225,137,213,161,9,188,51,13,45,29,120,138,76,203,21,50,120
2021년07월_계_30~39세,"2,585",253,13,420,15,14,81,16,208,134,216,165,14,190,45,15,49,24,111,121,100,176,29,61,115
2021년07월_계_40~49세,"4,204",440,18,612,19,20,171,37,400,217,393,267,27,293,81,23,83,40,191,208,159,219,27,82,177
2021년07월_계_50~59세,"6,924",752,48,"1,087",34,33,298,62,586,431,620,373,59,424,99,40,105,65,311,265,233,444,43,147,365
2021년07월_계_60~69세,"7,847",891,56,"1,284",62,47,260,71,606,495,712,459,44,374,70,44,73,62,322,287,333,570,65,221,439
2021년07월_계_70~79세,"6,264",717,39,816,52,51,268,59,509,397,610,397,30,323,37,23,38,42,286,212,284,477,45,212,340
2021년07월_계_80~89세,"4,093",473,40,497,25,27,182,30,257,279,352,316,16,198,23,18,31,17,197,122,193,358,27,141,274
2021년07월_계_90~99세,519,62,2,74,2,2,17,1,19,23,50,26,2,43,1,3,1,8,26,15,25,62,3,22,30
2021년07월_계_100세 이상,12,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년07월_남_총인구수,"20,633","2,209",126,"3,122",116,128,796,182,"1,706","1,210","1,856","1,266",125,"1,244",280,118,268,189,918,833,821,"1,414",152,490,"1,064"
2021년07월_남_연령구간인구수,"20,633","2,209",126,"3,122",116,128,796,182,"1,706","1,210","1,856","1,266",125,"1,244",280,118,268,189,918,833,821,"1,414",152,490,"1,064"
2021년07월_남_0~9세,766,79,3,112,4,11,16,4,74,43,74,53,7,33,8,5,11,4,31,30,41,57,8,9,49
2021년07월_남_10~19세,"1,032",116,2,139,0,3,24,8,123,50,100,93,3,63,12,11,15,10,54,52,30,56,6,16,46
2021년07월_남_20~29세,"1,612",166,9,276,5,5,60,10,142,80,109,98,4,120,34,7,19,19,72,78,49,122,13,39,76
2021년07월_남_30~39세,"1,627",151,8,263,12,11,58,15,119,91,143,107,6,124,36,11,37,15,63,70,61,103,17,35,71
2021년07월_남_40~49세,"2,806",285,13,401,14,15,127,26,269,141,244,160,22,208,61,18,58,30,126,140,110,148,17,56,117
2021년07월_남_50~59세,"4,240",446,32,629,19,22,198,43,358,247,398,221,39,275,70,25,67,49,198,163,158,273,23,77,210
2021년07월_남_60~69세,"4,325",500,34,715,36,25,137,34,326,259,384,257,24,215,39,28,36,35,178,164,174,319,36,123,247
2021년07월_남_70~79세,"2,879",311,13,393,19,24,115,29,226,186,288,189,17,141,14,10,19,23,140,101,133,212,25,94,157
2021년07월_남_80~89세,"1,243",143,12,182,6,11,58,13,67,107,109,81,3,61,6,2,5,3,52,30,60,109,5,38,80
2021년07월_남_90~99세,99,12,0,12,1,1,3,0,2,6,7,7,0,3,0,1,1,1,4,4,4,14,2,3,11
2021년07월_남_100세 이상,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년07월_여_총인구수,"17,981","2,016",114,"2,620",112,92,662,133,"1,500","1,082","1,647","1,213",91,972,161,89,204,128,808,707,729,"1,309",132,495,965
2021년07월_여_연령구간인구수,"17,981","2,016",114,"2,620",112,92,662,133,"1,500","1,082","1,647","1,213",91,972,161,89,204,128,808,707,729,"1,309",132,495,965
2021년07월_여_0~9세,725,62,3,95,5,4,22,7,87,32,61,56,2,36,5,6,9,6,33,36,35,56,8,12,47
2021년07월_여_10~19세,978,112,4,150,3,2,19,1,112,53,102,112,3,48,9,6,12,10,44,52,39,44,2,12,27
2021년07월_여_20~29세,"1,053",102,3,179,2,1,39,9,83,57,104,63,5,68,17,6,26,10,48,60,27,81,8,11,44
2021년07월_여_30~39세,958,102,5,157,3,3,23,1,89,43,73,58,8,66,9,4,12,9,48,51,39,73,12,26,44
2021년07월_여_40~49세,"1,398",155,5,211,5,5,44,11,131,76,149,107,5,85,20,5,25,10,65,68,49,71,10,26,60
2021년07월_여_50~59세,"2,684",306,16,458,15,11,100,19,228,184,222,152,20,149,29,15,38,16,113,102,75,171,20,70,155
2021년07월_여_60~69세,"3,522",391,22,569,26,22,123,37,280,236,328,202,20,159,31,16,37,27,144,123,159,251,29,98,192
2021년07월_여_70~79세,"3,385",406,26,423,33,27,153,30,283,211,322,208,13,182,23,13,19,19,146,111,151,265,20,118,183
2021년07월_여_80~89세,"2,850",330,28,315,19,16,124,17,190,172,243,235,13,137,17,16,26,14,145,92,133,249,22,103,194
2021년07월_여_90~99세,420,50,2,62,1,1,14,1,17,17,43,19,2,40,1,2,0,7,22,11,21,48,1,19,19
2021년07월_여_100세 이상,8,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
