,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년10월_계_총인구수,"223,384","4,582","24,776","12,075","12,416","8,553","21,987","15,000","10,689","13,776","18,359","20,635","12,070","11,082","14,175","2,422","20,787"
2021년10월_계_연령구간인구수,"223,384","4,582","24,776","12,075","12,416","8,553","21,987","15,000","10,689","13,776","18,359","20,635","12,070","11,082","14,175","2,422","20,787"
2021년10월_계_0~9세,"14,423",115,"2,341",862,763,244,"1,662","1,357",360,774,899,"1,033",855,546,756,56,"1,800"
2021년10월_계_10~19세,"19,687",132,"3,339",874,952,364,"1,840","1,433",766,"1,071","1,727","1,470",921,792,"1,216",131,"2,659"
2021년10월_계_20~29세,"30,372",323,"2,592","1,303","1,455",753,"3,380","1,735","2,849","1,959","2,926","3,992","1,301","2,079","1,475",194,"2,056"
2021년10월_계_30~39세,"25,493",381,"2,735","1,531","1,464",710,"2,997","1,926","1,041","1,400","1,935","3,043","1,437","1,268","1,358",150,"2,117"
2021년10월_계_40~49세,"33,661",474,"4,801","1,747","1,703",982,"3,238","2,384","1,229","2,018","2,608","3,115","1,736","1,517","2,103",237,"3,769"
2021년10월_계_50~59세,"36,401",883,"3,615","1,936","2,149","1,454","3,616","2,356","1,547","2,311","3,314","3,308","2,049","1,842","2,500",456,"3,065"
2021년10월_계_60~69세,"34,191","1,141","3,002","2,000","2,016","1,951","3,091","2,044","1,559","2,279","2,776","2,726","2,002","1,715","2,478",581,"2,830"
2021년10월_계_70~79세,"19,136",765,"1,600","1,212","1,216","1,286","1,460","1,130",902,"1,309","1,444","1,347","1,181",860,"1,511",324,"1,589"
2021년10월_계_80~89세,"8,814",326,645,547,617,704,612,553,387,589,647,534,503,415,696,250,789
2021년10월_계_90~99세,"1,164",40,104,61,79,104,86,79,46,62,79,65,82,48,81,43,105
2021년10월_계_100세 이상,42,2,2,2,2,1,5,3,3,4,4,2,3,0,1,0,8
2021년10월_남_총인구수,"112,624","2,568","12,205","5,903","6,083","4,191","11,077","7,512","5,659","7,093","9,225","10,604","5,987","5,597","7,218","1,255","10,447"
2021년10월_남_연령구간인구수,"112,624","2,568","12,205","5,903","6,083","4,191","11,077","7,512","5,659","7,093","9,225","10,604","5,987","5,597","7,218","1,255","10,447"
2021년10월_남_0~9세,"7,500",55,"1,175",442,428,123,877,714,181,381,468,536,461,307,375,24,953
