카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년10월_계_총인구수,"1,037,709","263,161","20,166","43,200","7,226","51,059","38,143","42,740","30,434","30,193","215,523","42,173","22,979","28,364","45,936","41,365","26,711","7,995","174,830","4,343","12,399","3,574","4,009","14,386",646,"33,810","11,395","15,056","9,380","10,992","15,127","19,877","7,011","12,825","191,697","65,241","10,591","9,170","17,281","6,370","11,331","32,015","9,537","7,847","9,182","9,734","3,398","192,498","17,412","8,815","5,124","11,442","7,528","17,451","8,578","21,551","10,191","26,191","12,650","6,493","39,072"
2020년10월_계_연령구간인구수,"1,037,709","263,161","20,166","43,200","7,226","51,059","38,143","42,740","30,434","30,193","215,523","42,173","22,979","28,364","45,936","41,365","26,711","7,995","174,830","4,343","12,399","3,574","4,009","14,386",646,"33,810","11,395","15,056","9,380","10,992","15,127","19,877","7,011","12,825","191,697","65,241","10,591","9,170","17,281","6,370","11,331","32,015","9,537","7,847","9,182","9,734","3,398","192,498","17,412","8,815","5,124","11,442","7,528","17,451","8,578","21,551","10,191","26,191","12,650","6,493","39,072"
2020년10월_계_0~9세,"84,174","21,737","1,187","6,573",251,"4,456","3,134","2,450","1,538","2,148","16,799","3,309","1,248","2,158","3,603","3,768","2,212",501,"12,527",119,"1,167",74,64,"2,278",32,"3,023",517,956,417,519,"1,116","1,128",349,768,"13,567","5,307",421,524,"1,151",156,602,"3,258",675,307,460,543,163,"19,544","1,558",359,194,"1,105",569,"1,536",388,"2,472","1,065","3,617","1,821",552,"4,308"
2020년10월_계_10~19세,"100,175","23,764","1,924","3,606",406,"4,739","3,928","4,098","2,281","2,782","23,320","5,375","1,461","3,470","4,888","4,147","3,185",794,"13,744",171,"1,034",161,148,"1,214",27,"3,328",772,"1,377",794,925,"1,221","1,170",420,982,"18,364","8,215",644,729,"1,258",353,854,"3,498",627,476,658,830,222,"20,983","1,858",688,295,"1,022",750,"2,426",548,"2,244","1,215","3,210",930,711,"5,086"
2020년10월_계_20~29세,"130,685","36,292","2,327","4,034",668,"7,163","5,773","6,751","4,846","4,730","32,564","5,783","4,458","4,244","6,641","6,263","4,181",994,"18,941",312,"1,089",292,255,"1,218",65,"4,365","1,685","1,641","1,154","1,233","1,481","2,024",646,"1,481","22,462","8,362",975,"1,026","1,912",606,"1,361","3,459","1,141",998,981,"1,299",342,"20,426","2,186",865,516,"1,158",778,"2,200","1,024","2,361","1,142","2,309","1,247",602,"4,038"
2020년10월_계_30~39세,"135,010","35,667","1,834","8,160",657,"7,225","5,526","4,367","3,810","4,088","29,622","4,667","4,299","3,552","6,469","6,224","3,402","1,009","20,412",310,"1,555",203,173,"2,651",59,"4,297","1,187","1,580",875,"1,026","1,765","2,386",773,"1,572","22,029","6,857",992,"1,090","2,377",572,"1,309","4,202","1,331",836,918,"1,136",409,"27,280","2,264",719,383,"1,631",831,"2,191","1,014","3,307","1,365","4,157","2,503",740,"6,175"
2020년10월_계_40~49세,"168,292","41,188","3,242","7,086",808,"7,943","6,377","6,683","4,322","4,727","36,083","7,512","3,668","4,802","7,840","6,617","4,371","1,273","25,576",399,"1,948",329,316,"2,454",80,"5,294","1,432","2,311","1,271","1,494","2,268","3,064","1,014","1,902","30,401","11,649","1,411","1,247","2,387",756,"1,635","5,631","1,349","1,113","1,244","1,438",541,"35,044","2,973","1,234",630,"1,761","1,272","3,423","1,304","3,776","1,710","5,017","2,034","1,105","8,805"
2020년10월_계_50~59세,"186,784","50,705","3,941","6,128","1,361","9,762","7,667","9,350","6,235","6,261","43,585","8,445","4,164","6,083","9,163","8,375","5,904","1,451","29,474",793,"2,045",741,742,"1,907",106,"5,823","1,913","2,518","1,769","2,007","2,427","3,306","1,186","2,191","34,681","12,475","1,808","1,516","2,965","1,211","1,989","5,381","1,676","1,437","1,830","1,737",656,"28,339","2,252","1,425",920,"1,822","1,179","2,717","1,533","3,420","1,412","3,461","1,724","1,074","5,400"
2020년10월_계_60~69세,"140,053","34,090","3,133","4,734","1,586","6,370","3,984","5,893","4,819","3,571","23,364","4,833","2,539","2,902","5,100","4,215","2,586","1,189","29,651","1,150","1,992",873,977,"1,627",159,"4,627","2,057","2,405","1,712","2,124","2,655","3,654","1,405","2,234","29,664","7,496","2,285","1,714","2,996","1,460","2,179","4,187","1,567","1,582","1,883","1,682",633,"23,284","2,122","1,572","1,023","1,673","1,153","1,900","1,633","2,519","1,286","2,804","1,376",971,"3,252"
2020년10월_계_70~79세,"62,959","13,246","1,656","1,820",923,"2,369","1,205","2,205","1,779","1,289","6,803","1,571",781,736,"1,461","1,161",571,522,"16,522",696,"1,029",531,741,738,72,"2,210","1,222","1,511",907,"1,167","1,525","2,150",800,"1,223","14,675","3,359","1,426",944,"1,660",842,"1,033","1,744",857,834,867,803,306,"11,713","1,429","1,241",749,864,642,740,786,965,668,"1,085",641,460,"1,443"
