카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년02월_계_총인구수,"563,066","242,107","13,174","21,699","16,807","7,253","13,245","19,702","16,046","11,144","17,616","20,116","32,368","13,976","15,635","23,326","320,959","22,125","11,255","23,191","17,905","11,330","37,428","19,400","27,530","15,523","24,379","17,044","8,152","22,963","22,199","15,740","13,411","11,384"
2020년02월_계_연령구간인구수,"563,066","242,107","13,174","21,699","16,807","7,253","13,245","19,702","16,046","11,144","17,616","20,116","32,368","13,976","15,635","23,326","320,959","22,125","11,255","23,191","17,905","11,330","37,428","19,400","27,530","15,523","24,379","17,044","8,152","22,963","22,199","15,740","13,411","11,384"
2020년02월_계_0~9세,"42,032","16,415","1,018","1,245",948,303,602,"1,096","1,799",534,"1,061","1,518","2,272","1,003",791,"2,225","25,617","1,942",838,"1,298","1,590",829,"2,405","1,326","2,533","1,461","2,598","1,519",971,"1,585","1,682","1,239",989,812
2020년02월_계_10~19세,"54,982","19,725","1,173","1,591","1,355",503,982,"1,259","1,360",746,"1,362","1,620","2,705","1,460","1,243","2,366","35,257","2,346","1,158","1,942","2,338",796,"3,096","1,496","2,542","1,798","3,824","3,424",759,"1,979","2,158","2,375","1,678","1,548"
2020년02월_계_20~29세,"80,174","35,058","1,997","3,394","2,495","1,070","1,818","2,915","2,086","1,700","2,592","2,673","4,635","1,998","2,198","3,487","45,116","2,999","1,624","3,677","2,156","1,444","6,039","2,973","3,665","2,264","2,665","1,957",959,"3,734","3,314","2,068","2,014","1,564"
2020년02월_계_30~39세,"79,771","34,063","2,080","3,095","2,305",948,"1,670","3,237","2,853","1,589","2,194","2,822","4,328","1,655","1,753","3,534","45,708","2,912","1,432","2,973","2,316","2,494","5,045","3,140","5,914","1,914","3,390","1,284","1,624","3,479","3,077","1,919","1,625","1,170"
2020년02월_계_40~49세,"91,376","36,141","2,060","3,101","2,377","1,075","1,894","2,952","2,644","1,546","2,339","3,092","4,870","2,211","2,390","3,590","55,235","3,664","1,788","3,162","3,446","1,926","5,361","3,035","5,216","2,718","5,406","4,099","1,440","3,186","3,401","3,120","2,265","2,002"
2020년02월_계_50~59세,"100,349","44,457","2,276","4,005","3,136","1,329","2,474","3,462","2,679","2,080","3,417","3,589","6,187","2,622","3,185","4,016","55,892","4,004","2,162","4,748","2,754","1,711","7,146","3,522","3,949","3,000","3,424","2,631","1,216","4,335","4,275","2,534","2,513","1,968"
2020년02월_계_60~69세,"67,453","32,624","1,538","3,036","2,495","1,030","2,078","2,790","1,654","1,770","2,683","2,774","4,188","1,769","2,242","2,577","34,829","2,678","1,366","3,233","1,945","1,172","4,843","2,227","2,181","1,421","1,794","1,192",746,"3,007","2,852","1,327","1,502","1,343"
2020년02월_계_70~79세,"30,933","15,923",701,"1,545","1,178",640,"1,116","1,339",670,815,"1,327","1,357","2,161",826,"1,243","1,005","15,010","1,050",603,"1,347",871,568,"2,322","1,115",999,573,770,597,281,"1,102",951,700,556,605
2020년02월_계_80~89세,"13,812","6,698",281,594,458,309,545,580,237,310,560,565,896,393,515,455,"7,114",434,233,688,432,341,"1,020",500,474,335,435,291,127,468,411,378,234,313
2020년02월_계_90~99세,"2,015",922,49,83,52,46,61,58,57,50,72,101,118,38,68,69,"1,093",78,41,117,55,48,144,62,53,35,70,49,24,80,71,78,35,53
