,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2021년11월_계_총인구수,"269,086","33,613","43,850","15,741","26,767","17,241","18,612","21,458","16,295","20,638","9,432","24,850","20,589"
2021년11월_계_연령구간인구수,"269,086","33,613","43,850","15,741","26,767","17,241","18,612","21,458","16,295","20,638","9,432","24,850","20,589"
2021년11월_계_0~9세,"18,794","1,882","3,476",602,"2,027",737,"1,049","1,712",951,"1,691",613,"1,565","2,489"
2021년11월_계_10~19세,"25,570","2,562","4,890",778,"2,738","1,119","1,354","2,015","1,504","3,014",939,"2,628","2,029"
2021년11월_계_20~29세,"36,962","5,408","6,009","2,460","3,556","2,710","2,636","2,700","1,973","2,486","1,115","3,579","2,330"
2021년11월_계_30~39세,"37,186","4,703","5,705","2,175","3,402","2,336","3,044","3,635","2,078","2,122","1,088","3,177","3,721"
2021년11월_계_40~49세,"42,626","4,850","7,181","1,958","4,294","2,394","2,633","3,564","2,545","3,944","1,531","4,009","3,723"
2021년11월_계_50~59세,"47,529","6,513","7,883","2,927","4,683","3,384","3,088","3,461","2,893","3,638","1,773","4,421","2,865"
2021년11월_계_60~69세,"36,037","4,846","5,546","2,760","3,825","2,916","2,679","2,495","2,240","2,119","1,382","2,999","2,230"
2021년11월_계_70~79세,"15,124","1,906","2,048","1,364","1,392","1,101","1,279","1,112","1,193",907,650,"1,353",819
2021년11월_계_80~89세,"7,974",807,958,609,726,470,739,672,807,633,281,944,328
2021년11월_계_90~99세,"1,237",130,148,102,122,72,106,91,110,81,56,166,53
2021년11월_계_100세 이상,47,6,6,6,2,2,5,1,1,3,4,9,2
2021년11월_남_총인구수,"133,458","17,733","21,779","7,940","12,955","8,972","8,822","10,418","7,760","10,104","4,736","12,061","10,178"
2021년11월_남_연령구간인구수,"133,458","17,733","21,779","7,940","12,955","8,972","8,822","10,418","7,760","10,104","4,736","12,061","10,178"
2021년11월_남_0~9세,"9,598",965,"1,770",313,"1,034",387,538,874,451,906,310,783,"1,267"
2021년11월_남_10~19세,"13,262","1,344","2,555",419,"1,400",583,687,"1,057",769,"1,539",499,"1,383","1,027"
2021년11월_남_20~29세,"19,231","2,958","3,116","1,343","1,828","1,450","1,334","1,378","1,008","1,308",579,"1,785","1,144"
2021년11월_남_30~39세,"19,406","2,708","2,894","1,254","1,652","1,322","1,597","1,822","1,061","1,034",557,"1,619","1,886"
2021년11월_남_40~49세,"21,085","2,601","3,507","1,072","2,031","1,307","1,239","1,714","1,224","1,819",787,"1,877","1,907"
2021년11월_남_50~59세,"23,169","3,409","3,775","1,386","2,169","1,750","1,438","1,623","1,378","1,796",869,"2,243","1,333"
2021년11월_남_60~69세,"17,654","2,501","2,802","1,314","1,902","1,442","1,211","1,180","1,033","1,036",710,"1,444","1,079"
2021년11월_남_70~79세,"6,852",899,973,614,642,552,505,471,501,407,309,575,404
2021년11월_남_80~89세,"2,858",315,348,201,264,165,245,270,293,227,102,309,119
2021년11월_남_90~99세,332,32,37,23,32,14,26,29,41,32,12,42,12
2021년11월_남_100세 이상,11,1,2,1,1,0,2,0,1,0,2,1,0
2021년11월_여_총인구수,"135,628","15,880","22,071","7,801","13,812","8,269","9,790","11,040","8,535","10,534","4,696","12,789","10,411"
2021년11월_여_연령구간인구수,"135,628","15,880","22,071","7,801","13,812","8,269","9,790","11,040","8,535","10,534","4,696","12,789","10,411"
2021년11월_여_0~9세,"9,196",917,"1,706",289,993,350,511,838,500,785,303,782,"1,222"
2021년11월_여_10~19세,"12,308","1,218","2,335",359,"1,338",536,667,958,735,"1,475",440,"1,245","1,002"
2021년11월_여_20~29세,"17,731","2,450","2,893","1,117","1,728","1,260","1,302","1,322",965,"1,178",536,"1,794","1,186"
2021년11월_여_30~39세,"17,780","1,995","2,811",921,"1,750","1,014","1,447","1,813","1,017","1,088",531,"1,558","1,835"
2021년11월_여_40~49세,"21,541","2,249","3,674",886,"2,263","1,087","1,394","1,850","1,321","2,125",744,"2,132","1,816"
2021년11월_여_50~59세,"24,360","3,104","4,108","1,541","2,514","1,634","1,650","1,838","1,515","1,842",904,"2,178","1,532"
2021년11월_여_60~69세,"18,383","2,345","2,744","1,446","1,923","1,474","1,468","1,315","1,207","1,083",672,"1,555","1,151"
2021년11월_여_70~79세,"8,272","1,007","1,075",750,750,549,774,641,692,500,341,778,415
2021년11월_여_80~89세,"5,116",492,610,408,462,305,494,402,514,406,179,635,209
2021년11월_여_90~99세,905,98,111,79,90,58,80,62,69,49,44,124,41
2021년11월_여_100세 이상,36,5,4,5,1,2,3,1,0,3,2,8,2
