카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년05월_계_총인구수,"427,436","16,643","15,505","16,524","18,920","23,583","11,682","20,558","18,975","12,369","15,413","24,590","11,391","11,817","16,947","13,184","14,364","22,954","19,543","11,877","15,825","31,946","28,169","34,657"
2020년05월_계_연령구간인구수,"427,436","16,643","15,505","16,524","18,920","23,583","11,682","20,558","18,975","12,369","15,413","24,590","11,391","11,817","16,947","13,184","14,364","22,954","19,543","11,877","15,825","31,946","28,169","34,657"
2020년05월_계_0~9세,"30,834","1,420","1,006","1,994","1,549","1,966",543,"1,418","1,363","1,193",917,"2,107",586,748,"1,081","1,081",970,"1,106","1,148",400,"1,127","2,373","2,077","2,661"
2020년05월_계_10~19세,"52,621","2,192","1,776","2,045","4,247","2,612","1,242","4,050","2,235","1,785","1,511","4,317",924,810,"1,356","1,010","1,200","2,025","1,930",754,"1,843","4,885","3,460","4,412"
2020년05월_계_20~29세,"55,844","2,056","2,385","2,098","1,859","2,996","1,926","2,476","2,271","1,254","2,154","2,740","1,799","1,497","2,106","1,279","2,231","3,320","2,605","1,446","1,969","4,497","3,889","4,991"
2020년05월_계_30~39세,"43,913","1,617","1,984","2,199","1,329","2,491","1,210","1,495","1,713","1,225","1,553","2,051","1,416","1,561","2,117","1,660","1,895","2,341","2,033",982,"1,561","2,877","2,997","3,606"
2020년05월_계_40~49세,"74,206","3,004","2,577","3,269","4,678","3,835","1,778","4,614","3,260","2,505","2,318","4,992","1,809","1,909","2,536","1,974","2,367","3,345","2,958","1,407","2,649","5,833","4,712","5,877"
2020년05월_계_50~59세,"75,455","2,925","2,633","2,594","2,704","4,128","2,160","3,356","3,215","1,824","2,954","4,195","1,965","2,038","2,930","2,085","2,739","4,300","3,697","2,278","2,893","5,921","5,159","6,762"
2020년05월_계_60~69세,"50,657","1,714","1,727","1,234","1,303","2,922","1,517","1,647","2,307","1,363","2,076","2,351","1,491","1,684","2,541","2,137","1,773","3,389","2,873","2,342","2,338","3,177","3,292","3,459"
2020년05월_계_70~79세,"28,426","1,125",963,712,841,"1,707",836,"1,003","1,650",832,"1,229","1,180",965,"1,023","1,495","1,320",806,"2,050","1,413","1,440",959,"1,497","1,620","1,760"
2020년05월_계_80~89세,"13,631",529,406,325,362,828,425,447,857,351,614,561,384,486,672,551,334,943,785,725,420,777,839,"1,010"
2020년05월_계_90~99세,"1,752",56,46,46,47,96,43,50,99,31,80,90,52,58,106,79,45,130,99,99,63,105,120,112
2020년05월_계_100세 이상,97,5,2,8,1,2,2,2,5,6,7,6,0,3,7,8,4,5,2,4,3,4,4,7
2020년05월_남_총인구수,"207,205","7,944","7,539","7,903","9,251","11,507","5,873","10,764","8,814","6,018","7,250","11,818","5,468","5,847","8,204","6,390","6,993","10,935","9,269","5,433","7,671","15,494","14,012","16,808"
2020년05월_남_연령구간인구수,"207,205","7,944","7,539","7,903","9,251","11,507","5,873","10,764","8,814","6,018","7,250","11,818","5,468","5,847","8,204","6,390","6,993","10,935","9,269","5,433","7,671","15,494","14,012","16,808"
2020년05월_남_0~9세,"15,836",712,511,988,830,"1,006",289,827,659,635,457,"1,059",292,391,577,544,487,573,595,192,577,"1,200","1,034","1,401"
2020년05월_남_10~19세,"27,873","1,062",941,"1,009","2,208","1,360",704,"2,643","1,075",900,751,"2,210",459,426,695,562,607,"1,151",995,389,970,"2,525","1,908","2,323"
2020년05월_남_20~29세,"30,146","1,095","1,218","1,081","1,016","1,654","1,082","1,471","1,205",668,"1,119","1,492",880,789,"1,101",719,"1,192","1,781","1,386",777,"1,086","2,415","2,204","2,715"
2020년05월_남_30~39세,"21,260",731,937,969,582,"1,194",646,651,823,558,767,913,706,801,"1,079",825,942,"1,213",998,515,775,"1,383","1,512","1,740"
2020년05월_남_40~49세,"33,855","1,372","1,192","1,535","2,096","1,769",827,"2,000","1,492","1,213",996,"2,211",879,964,"1,216",983,"1,107","1,520","1,346",677,"1,203","2,540","2,134","2,583"
2020년05월_남_50~59세,"36,651","1,443","1,281","1,290","1,428","2,005","1,067","1,797","1,536",922,"1,400","2,091",965,"1,032","1,423",966,"1,315","1,988","1,683","1,032","1,337","2,870","2,524","3,256"
2020년05월_남_60~69세,"23,838",799,832,584,601,"1,394",712,775,"1,003",626,954,"1,112",691,786,"1,195",937,833,"1,526","1,338","1,066","1,107","1,604","1,625","1,738"
2020년05월_남_70~79세,"12,385",483,451,307,341,772,387,423,669,362,532,525,425,446,675,636,377,846,618,574,471,648,728,689
2020년05월_남_80~89세,"4,927",227,165,125,136,328,149,165,323,126,243,186,160,196,229,201,122,310,279,189,133,282,313,340
2020년05월_남_90~99세,408,19,11,12,12,25,9,11,28,7,30,16,11,16,14,16,10,27,30,21,11,25,28,19
2020년05월_남_100세 이상,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020년05월_여_총인구수,"220,231","8,699","7,966","8,621","9,669","12,076","5,809","9,794","10,161","6,351","8,163","12,772","5,923","5,970","8,743","6,794","7,371","12,019","10,274","6,444","8,154","16,452","14,157","17,849"
2020년05월_여_연령구간인구수,"220,231","8,699","7,966","8,621","9,669","12,076","5,809","9,794","10,161","6,351","8,163","12,772","5,923","5,970","8,743","6,794","7,371","12,019","10,274","6,444","8,154","16,452","14,157","17,849"
2020년05월_여_0~9세,"14,998",708,495,"1,006",719,960,254,591,704,558,460,"1,048",294,357,504,537,483,533,553,208,550,"1,173","1,043","1,260"
2020년05월_여_10~19세,"24,748","1,130",835,"1,036","2,039","1,252",538,"1,407","1,160",885,760,"2,107",465,384,661,448,593,874,935,365,873,"2,360","1,552","2,089"
2020년05월_여_20~29세,"25,698",961,"1,167","1,017",843,"1,342",844,"1,005","1,066",586,"1,035","1,248",919,708,"1,005",560,"1,039","1,539","1,219",669,883,"2,082","1,685","2,276"
2020년05월_여_30~39세,"22,653",886,"1,047","1,230",747,"1,297",564,844,890,667,786,"1,138",710,760,"1,038",835,953,"1,128","1,035",467,786,"1,494","1,485","1,866"
2020년05월_여_40~49세,"40,351","1,632","1,385","1,734","2,582","2,066",951,"2,614","1,768","1,292","1,322","2,781",930,945,"1,320",991,"1,260","1,825","1,612",730,"1,446","3,293","2,578","3,294"
2020년05월_여_50~59세,"38,804","1,482","1,352","1,304","1,276","2,123","1,093","1,559","1,679",902,"1,554","2,104","1,000","1,006","1,507","1,119","1,424","2,312","2,014","1,246","1,556","3,051","2,635","3,506"
2020년05월_여_60~69세,"26,819",915,895,650,702,"1,528",805,872,"1,304",737,"1,122","1,239",800,898,"1,346","1,200",940,"1,863","1,535","1,276","1,231","1,573","1,667","1,721"
2020년05월_여_70~79세,"16,041",642,512,405,500,935,449,580,981,470,697,655,540,577,820,684,429,"1,204",795,866,488,849,892,"1,071"
2020년05월_여_80~89세,"8,704",302,241,200,226,500,276,282,534,225,371,375,224,290,443,350,212,633,506,536,287,495,526,670
2020년05월_여_90~99세,"1,344",37,35,34,35,71,34,39,71,24,50,74,41,42,92,63,35,103,69,78,52,80,92,93
2020년05월_여_100세 이상,71,4,2,5,0,2,1,1,4,5,6,3,0,3,7,7,3,5,1,3,2,2,2,3
