카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년07월_계_총인구수,"377,408","21,168","28,810","33,324","20,408","37,234","17,876","32,848","18,067","22,320","17,208","16,693","12,306","10,798","19,123","19,975","14,658","12,135","22,457"
2021년07월_계_연령구간인구수,"377,408","21,168","28,810","33,324","20,408","37,234","17,876","32,848","18,067","22,320","17,208","16,693","12,306","10,798","19,123","19,975","14,658","12,135","22,457"
2021년07월_계_0~9세,"25,350","1,360","1,206","2,798","1,086","2,773",940,"3,318","1,301","1,579",545,"1,146",860,813,"1,154","2,073",877,409,"1,112"
2021년07월_계_10~19세,"23,880","1,218",864,"2,895",956,"2,252",930,"2,939","1,013","1,518",841,"1,121",818,727,"1,234","1,719",849,571,"1,415"
2021년07월_계_20~29세,"59,104","2,857","7,268","3,748","3,490","7,198","2,695","3,723","2,887","3,812","3,363","2,180","1,552","1,315","3,227","2,690","2,113","1,888","3,098"
2021년07월_계_30~39세,"69,179","3,206","7,290","4,970","4,229","8,173","3,175","6,081","4,584","5,248","3,016","2,500","1,858","1,546","3,086","3,351","1,976","1,648","3,242"
2021년07월_계_40~49세,"55,875","3,051","3,559","5,395","2,802","5,250","2,655","5,983","2,911","3,275","2,381","2,393","1,884","1,623","2,675","3,344","2,043","1,620","3,031"
2021년07월_계_50~59세,"56,096","3,580","3,511","5,128","2,991","4,763","2,919","4,209","2,066","3,021","2,492","2,868","2,012","1,830","3,025","2,991","2,509","2,130","4,051"
2021년07월_계_60~69세,"47,844","3,272","3,006","4,157","2,690","3,824","2,403","3,583","1,730","2,239","2,324","2,478","1,876","1,689","2,651","2,200","2,195","1,881","3,646"
2021년07월_계_70~79세,"26,877","1,817","1,445","2,558","1,419","1,975","1,414","2,023","1,062","1,077","1,493","1,399",973,881,"1,409","1,093","1,470","1,381","1,988"
2021년07월_계_80~89세,"11,641",706,576,"1,473",658,884,659,861,448,480,677,535,420,327,593,455,551,551,787
