카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년07월_계_총인구수,"473,673","48,375","13,462","10,522","29,996","9,507","13,410","11,256","3,865","7,507",0,0,715,0,0,"22,138","33,031","27,624","43,610","50,098","63,180","85,377"
2021년07월_계_연령구간인구수,"473,673","48,375","13,462","10,522","29,996","9,507","13,410","11,256","3,865","7,507",0,0,715,0,0,"22,138","33,031","27,624","43,610","50,098","63,180","85,377"
2021년07월_계_0~9세,"43,461","4,743",626,320,"1,691",182,634,444,89,562,0,0,22,0,0,"1,081","3,161","2,212","3,904","5,188","8,829","9,773"
2021년07월_계_10~19세,"49,559","4,798",831,697,"2,708",271,981,618,185,510,0,0,45,0,0,"1,466","4,209","2,722","5,529","6,212","7,688","10,089"
2021년07월_계_20~29세,"58,318","5,655","1,563","1,279","3,684","2,283","1,491","1,223",427,972,0,0,55,0,0,"3,433","4,230","3,857","5,230","6,247","6,511","10,178"
2021년07월_계_30~39세,"67,284","7,528","1,359",873,"2,934","2,245","1,481",987,230,870,0,0,58,0,0,"2,840","4,315","3,560","5,605","7,376","11,425","13,598"
2021년07월_계_40~49세,"81,524","7,525","1,744","1,139","4,454","1,006","2,076","1,271",341,794,0,0,84,0,0,"3,185","5,976","4,340","8,325","9,558","12,595","17,111"
2021년07월_계_50~59세,"74,944","7,019","2,555","2,076","5,870","1,339","2,616","2,295",745,"1,157",0,0,141,0,0,"4,138","5,320","4,840","7,184","7,595","7,839","12,215"
2021년07월_계_60~69세,"52,725","5,572","2,411","2,099","4,748","1,201","2,155","2,317",833,"1,287",0,0,128,0,0,"3,281","3,033","3,352","4,285","4,541","4,496","6,986"
2021년07월_계_70~79세,"28,782","3,439","1,383","1,256","2,456",585,"1,153","1,237",578,880,0,0,113,0,0,"1,724","1,774","1,730","2,225","2,198","2,505","3,546"
2021년07월_계_80~89세,"14,876","1,851",854,684,"1,279",340,702,716,366,398,0,0,62,0,0,864,889,889,"1,140","1,028","1,130","1,684"
2021년07월_계_90~99세,"2,127",236,128,99,161,55,113,144,67,74,0,0,7,0,0,123,122,121,179,150,157,191
2021년07월_계_100세 이상,73,9,8,0,11,0,8,4,4,3,0,0,0,0,0,3,2,1,4,5,5,6
2021년07월_남_총인구수,"240,306","24,762","7,178","5,627","15,230","6,254","7,308","6,149","2,037","4,074",0,0,366,0,0,"11,761","16,131","14,190","22,081","24,599","30,831","41,728"
2021년07월_남_연령구간인구수,"240,306","24,762","7,178","5,627","15,230","6,254","7,308","6,149","2,037","4,074",0,0,366,0,0,"11,761","16,131","14,190","22,081","24,599","30,831","41,728"
2021년07월_남_0~9세,"22,196","2,393",334,169,849,86,338,233,52,286,0,0,9,0,0,552,"1,608","1,100","1,993","2,663","4,519","5,012"
2021년07월_남_10~19세,"25,432","2,469",430,375,"1,356",153,511,339,99,295,0,0,19,0,0,776,"2,165","1,448","2,892","3,095","3,862","5,148"
2021년07월_남_20~29세,"31,181","3,142",949,804,"1,993","1,541",878,762,284,627,0,0,27,0,0,"1,944","2,131","2,124","2,802","3,048","3,114","5,011"
2021년07월_남_30~39세,"35,527","4,158",765,501,"1,598","1,819",885,595,137,501,0,0,29,0,0,"1,660","2,177","1,910","2,870","3,687","5,627","6,608"
2021년07월_남_40~49세,"41,756","4,017","1,014",658,"2,298",727,"1,186",745,198,451,0,0,51,0,0,"1,750","2,857","2,248","4,106","4,711","6,292","8,447"
2021년07월_남_50~59세,"39,159","3,645","1,451","1,138","3,063",839,"1,484","1,294",421,633,0,0,78,0,0,"2,322","2,727","2,510","3,824","3,774","3,908","6,048"
2021년07월_남_60~69세,"26,372","2,720","1,282","1,124","2,413",678,"1,182","1,296",431,695,0,0,70,0,0,"1,677","1,390","1,675","2,189","2,228","2,031","3,291"
2021년07월_남_70~79세,"12,700","1,485",617,595,"1,128",286,556,607,265,407,0,0,51,0,0,753,729,798,965,966,"1,018","1,474"
2021년07월_남_80~89세,"5,428",648,300,230,491,111,263,246,134,158,0,0,28,0,0,297,320,348,407,394,415,638
2021년07월_남_90~99세,538,82,34,33,38,14,25,31,13,21,0,0,4,0,0,30,26,28,33,33,43,50
2021년07월_남_100세 이상,17,3,2,0,3,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,2,1
2021년07월_여_총인구수,"233,367","23,613","6,284","4,895","14,766","3,253","6,102","5,107","1,828","3,433",0,0,349,0,0,"10,377","16,900","13,434","21,529","25,499","32,349","43,649"
2021년07월_여_연령구간인구수,"233,367","23,613","6,284","4,895","14,766","3,253","6,102","5,107","1,828","3,433",0,0,349,0,0,"10,377","16,900","13,434","21,529","25,499","32,349","43,649"
2021년07월_여_0~9세,"21,265","2,350",292,151,842,96,296,211,37,276,0,0,13,0,0,529,"1,553","1,112","1,911","2,525","4,310","4,761"
2021년07월_여_10~19세,"24,127","2,329",401,322,"1,352",118,470,279,86,215,0,0,26,0,0,690,"2,044","1,274","2,637","3,117","3,826","4,941"
2021년07월_여_20~29세,"27,137","2,513",614,475,"1,691",742,613,461,143,345,0,0,28,0,0,"1,489","2,099","1,733","2,428","3,199","3,397","5,167"
2021년07월_여_30~39세,"31,757","3,370",594,372,"1,336",426,596,392,93,369,0,0,29,0,0,"1,180","2,138","1,650","2,735","3,689","5,798","6,990"
2021년07월_여_40~49세,"39,768","3,508",730,481,"2,156",279,890,526,143,343,0,0,33,0,0,"1,435","3,119","2,092","4,219","4,847","6,303","8,664"
2021년07월_여_50~59세,"35,785","3,374","1,104",938,"2,807",500,"1,132","1,001",324,524,0,0,63,0,0,"1,816","2,593","2,330","3,360","3,821","3,931","6,167"
2021년07월_여_60~69세,"26,353","2,852","1,129",975,"2,335",523,973,"1,021",402,592,0,0,58,0,0,"1,604","1,643","1,677","2,096","2,313","2,465","3,695"
2021년07월_여_70~79세,"16,082","1,954",766,661,"1,328",299,597,630,313,473,0,0,62,0,0,971,"1,045",932,"1,260","1,232","1,487","2,072"
2021년07월_여_80~89세,"9,448","1,203",554,454,788,229,439,470,232,240,0,0,34,0,0,567,569,541,733,634,715,"1,046"
2021년07월_여_90~99세,"1,589",154,94,66,123,41,88,113,54,53,0,0,3,0,0,93,96,93,146,117,114,141
2021년07월_여_100세 이상,56,6,6,0,8,0,8,3,1,3,0,0,0,0,0,3,1,0,4,5,3,5
