카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년12월_계_총인구수,"230,359","26,431","5,969","7,004","11,948","10,442","5,377","50,369","9,800","27,180","27,726","48,113"
2020년12월_계_연령구간인구수,"230,359","26,431","5,969","7,004","11,948","10,442","5,377","50,369","9,800","27,180","27,726","48,113"
2020년12월_계_0~9세,"19,940","1,409",151,387,618,500,207,"4,923",645,"1,943","2,317","6,840"
2020년12월_계_10~19세,"24,057","2,553",326,419,870,540,272,"7,086",763,"2,681","3,510","5,037"
2020년12월_계_20~29세,"27,449","3,266",672,805,"1,290","1,095",585,"5,421","1,546","3,544","3,941","5,284"
2020년12월_계_30~39세,"28,048","2,338",454,781,"1,159","1,080",450,"5,456","1,193","2,863","3,022","9,252"
2020년12월_계_40~49세,"39,444","3,925",686,805,"1,701","1,163",632,"10,367","1,380","4,410","5,130","9,245"
2020년12월_계_50~59세,"38,089","5,207","1,278","1,265","2,479","1,802","1,083","7,311","1,812","5,438","4,683","5,731"
2020년12월_계_60~69세,"28,860","4,227","1,350","1,395","2,155","2,196","1,094","5,050","1,338","3,613","2,489","3,953"
2020년12월_계_70~79세,"16,287","2,260",667,706,"1,080","1,297",674,"3,343",741,"1,844","1,663","2,012"
2020년12월_계_80~89세,"7,099","1,091",326,365,514,625,328,"1,244",329,747,874,656
2020년12월_계_90~99세,"1,021",148,56,72,77,136,48,161,41,92,93,97
2020년12월_계_100세 이상,65,7,3,4,5,8,4,7,12,5,4,6
2020년12월_남_총인구수,"116,916","13,348","3,397","3,915","6,436","5,358","2,822","24,628","5,167","13,799","13,756","24,290"
2020년12월_남_연령구간인구수,"116,916","13,348","3,397","3,915","6,436","5,358","2,822","24,628","5,167","13,799","13,756","24,290"
2020년12월_남_0~9세,"10,178",695,77,181,313,271,107,"2,497",328,"1,005","1,200","3,504"
2020년12월_남_10~19세,"12,224","1,302",176,219,462,298,149,"3,552",384,"1,389","1,798","2,495"
2020년12월_남_20~29세,"14,756","1,792",408,523,747,652,320,"2,745",905,"1,886","2,065","2,713"
2020년12월_남_30~39세,"14,464","1,255",290,471,656,598,255,"2,617",648,"1,516","1,489","4,669"
2020년12월_남_40~49세,"20,345","2,004",430,485,972,627,360,"5,124",739,"2,280","2,540","4,784"
2020년12월_남_50~59세,"19,961","2,705",781,750,"1,374",893,572,"3,809",985,"2,784","2,402","2,906"
2020년12월_남_60~69세,"14,497","2,144",757,782,"1,169","1,088",605,"2,248",688,"1,830","1,215","1,971"
2020년12월_남_70~79세,"7,537","1,033",342,351,520,645,316,"1,504",346,813,671,996
2020년12월_남_80~89세,"2,704",393,122,137,202,250,129,489,130,274,341,237
2020년12월_남_90~99세,238,25,14,14,21,32,8,43,12,22,32,15
2020년12월_남_100세 이상,12,0,0,2,0,4,1,0,2,0,3,0
2020년12월_여_총인구수,"113,443","13,083","2,572","3,089","5,512","5,084","2,555","25,741","4,633","13,381","13,970","23,823"
2020년12월_여_연령구간인구수,"113,443","13,083","2,572","3,089","5,512","5,084","2,555","25,741","4,633","13,381","13,970","23,823"
2020년12월_여_0~9세,"9,762",714,74,206,305,229,100,"2,426",317,938,"1,117","3,336"
2020년12월_여_10~19세,"11,833","1,251",150,200,408,242,123,"3,534",379,"1,292","1,712","2,542"
2020년12월_여_20~29세,"12,693","1,474",264,282,543,443,265,"2,676",641,"1,658","1,876","2,571"
2020년12월_여_30~39세,"13,584","1,083",164,310,503,482,195,"2,839",545,"1,347","1,533","4,583"
2020년12월_여_40~49세,"19,099","1,921",256,320,729,536,272,"5,243",641,"2,130","2,590","4,461"
2020년12월_여_50~59세,"18,128","2,502",497,515,"1,105",909,511,"3,502",827,"2,654","2,281","2,825"
2020년12월_여_60~69세,"14,363","2,083",593,613,986,"1,108",489,"2,802",650,"1,783","1,274","1,982"
2020년12월_여_70~79세,"8,750","1,227",325,355,560,652,358,"1,839",395,"1,031",992,"1,016"
2020년12월_여_80~89세,"4,395",698,204,228,312,375,199,755,199,473,533,419
2020년12월_여_90~99세,783,123,42,58,56,104,40,118,29,70,61,82
2020년12월_여_100세 이상,53,7,3,2,5,4,3,7,10,5,1,6
