카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년01월_계_총인구수,"166,189","9,077","30,173","5,463","9,696","2,425","3,674","3,568","5,102","5,182","15,756","11,888","24,659","21,204","18,322"
2021년01월_계_연령구간인구수,"166,189","9,077","30,173","5,463","9,696","2,425","3,674","3,568","5,102","5,182","15,756","11,888","24,659","21,204","18,322"
2021년01월_계_0~9세,"15,408",315,"3,972",183,422,62,109,100,172,188,"1,470","1,167","2,568","2,561","2,119"
2021년01월_계_10~19세,"15,670",584,"2,566",277,482,95,188,190,313,340,"1,802",994,"2,553","2,548","2,738"
2021년01월_계_20~29세,"16,035",695,"2,341",379,932,140,290,245,356,409,"1,410","1,029","3,446","2,222","2,141"
2021년01월_계_30~39세,"22,713",704,"5,476",312,"1,134",123,214,232,287,315,"1,675","1,972","4,551","3,180","2,538"
2021년01월_계_40~49세,"26,712","1,121","5,363",550,"1,349",211,329,371,533,584,"2,607","1,998","4,301","3,804","3,591"
2021년01월_계_50~59세,"25,951","1,563","4,423",936,"1,915",348,618,654,975,860,"2,493","1,860","3,418","3,113","2,775"
2021년01월_계_60~69세,"21,168","1,818","3,209","1,229","1,731",605,840,804,"1,059","1,058","2,096","1,381","2,090","1,989","1,259"
2021년01월_계_70~79세,"13,304","1,323","1,686",857,"1,020",509,609,557,777,824,"1,322",875,"1,149","1,088",708
2021년01월_계_80~89세,"8,000",820,"1,001",631,617,285,409,351,538,528,768,533,507,618,394
2021년01월_계_90~99세,"1,157",118,130,105,89,43,67,62,87,74,105,73,75,71,58
2021년01월_계_100세 이상,71,16,6,4,5,4,1,2,5,2,8,6,1,10,1
2021년01월_남_총인구수,"88,211","4,752","16,707","2,779","5,709","1,208","1,875","1,829","2,574","2,616","8,021","6,780","13,133","10,776","9,452"
2021년01월_남_연령구간인구수,"88,211","4,752","16,707","2,779","5,709","1,208","1,875","1,829","2,574","2,616","8,021","6,780","13,133","10,776","9,452"
2021년01월_남_0~9세,"7,873",171,"2,055",90,220,40,47,49,81,91,720,580,"1,309","1,325","1,095"
2021년01월_남_10~19세,"8,232",325,"1,348",143,256,52,100,96,167,185,939,499,"1,336","1,330","1,456"
2021년01월_남_20~29세,"9,340",416,"1,351",216,641,81,179,152,200,252,813,666,"1,964","1,209","1,200"
2021년01월_남_30~39세,"12,975",426,"3,086",176,797,75,127,135,168,172,859,"1,284","2,690","1,659","1,321"
2021년01월_남_40~49세,"15,048",678,"3,287",323,920,133,182,228,319,340,"1,399","1,246","2,294","1,927","1,772"
2021년01월_남_50~59세,"14,550",894,"2,655",542,"1,212",175,337,349,534,468,"1,354","1,132","1,778","1,627","1,493"
2021년01월_남_60~69세,"10,821",878,"1,719",619,935,299,432,403,519,535,"1,052",756,"1,059",985,630
2021년01월_남_70~79세,"6,223",616,822,410,478,243,299,283,376,360,595,400,506,499,336
2021년01월_남_80~89세,"2,847",314,343,234,225,98,162,119,187,187,266,198,181,203,130
2021년01월_남_90~99세,288,32,41,26,23,11,10,13,22,25,22,19,16,10,18
2021년01월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2021년01월_여_총인구수,"77,978","4,325","13,466","2,684","3,987","1,217","1,799","1,739","2,528","2,566","7,735","5,108","11,526","10,428","8,870"
2021년01월_여_연령구간인구수,"77,978","4,325","13,466","2,684","3,987","1,217","1,799","1,739","2,528","2,566","7,735","5,108","11,526","10,428","8,870"
2021년01월_여_0~9세,"7,535",144,"1,917",93,202,22,62,51,91,97,750,587,"1,259","1,236","1,024"
2021년01월_여_10~19세,"7,438",259,"1,218",134,226,43,88,94,146,155,863,495,"1,217","1,218","1,282"
2021년01월_여_20~29세,"6,695",279,990,163,291,59,111,93,156,157,597,363,"1,482","1,013",941
2021년01월_여_30~39세,"9,738",278,"2,390",136,337,48,87,97,119,143,816,688,"1,861","1,521","1,217"
2021년01월_여_40~49세,"11,664",443,"2,076",227,429,78,147,143,214,244,"1,208",752,"2,007","1,877","1,819"
2021년01월_여_50~59세,"11,401",669,"1,768",394,703,173,281,305,441,392,"1,139",728,"1,640","1,486","1,282"
2021년01월_여_60~69세,"10,347",940,"1,490",610,796,306,408,401,540,523,"1,044",625,"1,031","1,004",629
2021년01월_여_70~79세,"7,081",707,864,447,542,266,310,274,401,464,727,475,643,589,372
2021년01월_여_80~89세,"5,153",506,658,397,392,187,247,232,351,341,502,335,326,415,264
2021년01월_여_90~99세,869,86,89,79,66,32,57,49,65,49,83,54,59,61,40
2021년01월_여_100세 이상,57,14,6,4,3,3,1,0,4,1,6,6,1,8,0
