카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년01월_계_총인구수,"231,959","5,836","9,741","11,465","8,208","8,564","16,836","16,132","13,190","17,771","27,301","2,423","10,042","29,581","19,975","33,805","1,089"
2021년01월_계_연령구간인구수,"231,959","5,836","9,741","11,465","8,208","8,564","16,836","16,132","13,190","17,771","27,301","2,423","10,042","29,581","19,975","33,805","1,089"
2021년01월_계_0~9세,"12,934",108,334,345,267,300,872,"1,164",526,909,"2,642",77,518,"1,227","1,354","2,220",71
2021년01월_계_10~19세,"17,617",274,482,560,359,459,"1,430","1,330",830,"1,168","2,459",110,699,"2,084","1,948","3,310",115
2021년01월_계_20~29세,"33,036",557,"1,147","1,249",839,896,"2,517","2,272","1,566","5,544","3,419",214,"1,099","4,566","2,599","4,468",84
2021년01월_계_30~39세,"25,055",475,944,"1,104",817,804,"1,804","1,986","1,448","1,965","3,744",210,945,"3,038","2,266","3,428",77
2021년01월_계_40~49세,"32,059",748,"1,179","1,351",983,"1,117","2,404","2,265","1,774","2,210","4,715",238,"1,248","3,679","3,036","4,937",175
2021년01월_계_50~59세,"40,419","1,145","1,957","2,319","1,599","1,464","2,978","2,809","2,285","2,268","3,775",499,"1,789","5,598","3,659","6,106",169
2021년01월_계_60~69세,"38,921","1,339","2,179","2,450","1,906","1,786","2,682","2,453","2,664","1,987","3,370",540,"1,950","5,118","2,934","5,338",225
2021년01월_계_70~79세,"21,689",809,"1,075","1,460","1,054","1,220","1,428","1,175","1,526","1,151","2,039",350,"1,208","2,949","1,487","2,649",109
2021년01월_계_80~89세,"8,812",335,381,560,334,464,628,587,504,501,865,164,511,"1,168",605,"1,154",51
2021년01월_계_90~99세,"1,216",34,49,57,46,51,86,86,64,57,174,18,71,148,79,185,11
2021년01월_계_100세 이상,201,12,14,10,4,3,7,5,3,11,99,3,4,6,8,10,2
2021년01월_남_총인구수,"113,238","2,982","4,859","5,730","4,338","4,111","8,080","7,707","6,331","9,121","13,124","1,286","4,926","14,471","9,497","16,146",529
