,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년01월_계_총인구수,"115,855","12,024","2,662","2,923","1,459","2,335","2,509","3,585","1,966","4,677","4,333","3,418","1,904","4,254","7,657","2,686","4,959","8,865","3,343","3,489","36,807"
2021년01월_계_연령구간인구수,"115,855","12,024","2,662","2,923","1,459","2,335","2,509","3,585","1,966","4,677","4,333","3,418","1,904","4,254","7,657","2,686","4,959","8,865","3,343","3,489","36,807"
2021년01월_계_0~9세,"10,079","1,111",46,62,16,84,45,62,35,98,125,86,30,105,614,147,230,738,114,119,"6,212"
2021년01월_계_10~19세,"9,496",774,149,131,54,126,83,159,50,168,205,135,52,201,861,217,359,921,268,208,"4,375"
2021년01월_계_20~29세,"12,375","1,181",200,262,100,145,180,239,124,346,394,317,115,312,"1,160",333,529,"1,299",273,388,"4,478"
2021년01월_계_30~39세,"14,532","1,592",126,168,68,127,122,196,87,264,313,248,96,239,940,260,381,922,217,298,"7,868"
2021년01월_계_40~49세,"16,559","1,709",222,255,124,227,191,308,157,393,446,362,157,366,"1,206",384,610,"1,373",318,417,"7,334"
2021년01월_계_50~59세,"17,283","1,972",477,532,252,361,388,600,349,898,773,669,383,732,"1,293",450,841,"1,459",637,618,"3,599"
2021년01월_계_60~69세,"16,267","1,904",577,629,325,514,577,830,437,"1,086",874,722,444,909,814,408,865,"1,051",646,677,"1,978"
2021년01월_계_70~79세,"11,542","1,126",491,486,282,433,520,661,383,780,756,504,365,822,478,296,747,719,524,473,696
