카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021년08월_계_총인구수,"319,211","24,905","29,245","13,960","26,764","24,728","21,180","27,005","21,458","18,825","16,501","18,786","28,742","19,756","27,356"
2021년08월_계_연령구간인구수,"319,211","24,905","29,245","13,960","26,764","24,728","21,180","27,005","21,458","18,825","16,501","18,786","28,742","19,756","27,356"
2021년08월_계_0~9세,"17,579","1,481","1,673",715,"1,676","1,486",824,"1,536","1,121",965,762,"1,154","1,475",858,"1,853"
2021년08월_계_10~19세,"24,652","2,078","2,175","1,051","2,563","1,901","1,129","1,624","1,580","1,329","1,020","1,941","2,136","1,452","2,673"
2021년08월_계_20~29세,"42,271","3,274","4,133","1,746","3,617","3,628","2,573","3,218","2,913","2,502","2,462","2,477","3,891","2,581","3,256"
2021년08월_계_30~39세,"39,469","3,332","3,973","1,644","3,339","3,460","2,269","3,468","2,506","2,486","2,258","2,251","3,259","2,138","3,086"
2021년08월_계_40~49세,"46,759","3,952","4,467","2,089","4,259","3,460","2,848","3,658","3,140","2,690","2,360","2,852","4,141","2,743","4,100"
2021년08월_계_50~59세,"55,997","4,199","5,095","2,516","4,847","4,296","3,720","4,416","3,679","3,253","2,831","3,377","5,295","3,736","4,737"
2021년08월_계_60~69세,"51,019","3,530","4,296","2,230","3,674","3,785","3,967","4,885","3,442","3,094","2,509","2,886","4,756","3,407","4,558"
2021년08월_계_70~79세,"27,475","1,962","2,311","1,371","1,703","1,770","2,684","2,809","2,044","1,615","1,586","1,156","2,645","1,919","1,900"
2021년08월_계_80~89세,"12,214",972,"1,010",546,925,819,"1,050","1,173",905,762,630,596,991,816,"1,019"
2021년08월_계_90~99세,"1,654",117,108,45,151,120,114,193,113,109,77,94,148,98,167
2021년08월_계_100세 이상,122,8,4,7,10,3,2,25,15,20,6,2,5,8,7
2021년08월_남_총인구수,"155,523","11,832","14,240","6,993","12,865","11,842","10,705","13,198","10,360","9,040","8,010","8,875","14,277","9,981","13,305"
