카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년03월_계_총인구수,"404,175","14,690","14,447","16,525","17,160","17,931","7,419","48,051","30,873","18,879","23,161","32,237","20,635","16,540","8,906","13,889","17,310","22,216","12,830","21,259","15,332","13,885"
2021년03월_계_연령구간인구수,"404,175","14,690","14,447","16,525","17,160","17,931","7,419","48,051","30,873","18,879","23,161","32,237","20,635","16,540","8,906","13,889","17,310","22,216","12,830","21,259","15,332","13,885"
2021년03월_계_0~9세,"26,995","1,094","1,105","1,050",631,"1,302",286,"4,086","2,137","1,095","1,603","3,122","1,266",873,443,577,807,"1,960",587,"1,226","1,002",743
2021년03월_계_10~19세,"31,617",933,853,"1,281",963,"1,313",345,"4,898","3,433","1,754","1,554","2,524",900,"1,081",681,870,"1,136","1,772",953,"1,902","1,313","1,158"
2021년03월_계_20~29세,"56,929","1,930","2,156","2,158","3,945","2,663",859,"6,931","4,052","2,394","3,258","3,882","4,240","2,057","1,178","1,663","2,415","2,838","1,531","2,823","2,039","1,917"
2021년03월_계_30~39세,"55,581","2,203","2,431","2,168","1,791","2,789",861,"6,431","3,160","2,148","3,527","5,734","4,326","2,024",984,"1,536","2,421","3,424","1,344","2,508","1,898","1,873"
2021년03월_계_40~49세,"63,344","2,195","2,070","2,504","2,062","2,593",954,"8,368","5,395","2,927","3,564","5,222","3,145","2,346","1,356","1,900","2,593","3,826","1,923","3,304","2,273","2,824"
2021년03월_계_50~59세,"66,797","2,406","2,305","2,695","2,583","2,762","1,287","7,843","5,513","3,384","3,786","4,708","3,111","2,832","1,513","2,333","3,063","3,291","2,286","3,888","2,685","2,523"
2021년03월_계_60~69세,"56,597","2,072","1,896","2,445","2,561","2,373","1,414","5,477","4,112","2,761","3,162","4,109","2,236","2,847","1,443","2,578","2,676","2,903","2,257","3,194","2,423","1,658"
2021년03월_계_70~79세,"31,228","1,216","1,037","1,500","1,796","1,481",917,"2,713","2,124","1,605","1,833","1,999",953,"1,666",908,"1,656","1,441","1,451","1,299","1,660","1,153",820
2021년03월_계_80~89세,"13,028",552,503,632,709,547,435,"1,143",832,695,758,812,395,704,345,677,652,645,559,664,460,309
