카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년02월_계_총인구수,"9,736,962","151,309","126,259","229,677","299,797","351,032","346,072","396,314","442,483","313,289","332,083","531,840","479,005","311,327","374,315","457,332","590,419","406,245","232,827","370,108","395,201","499,587","431,336","546,436","675,782","446,887"
2020년02월_계_연령구간인구수,"9,736,962","151,309","126,259","229,677","299,797","351,032","346,072","396,314","442,483","313,289","332,083","531,840","479,005","311,327","374,315","457,332","590,419","406,245","232,827","370,108","395,201","499,587","431,336","546,436","675,782","446,887"
2020년02월_계_0~9세,"658,355","8,130","7,261","14,093","21,541","21,314","21,824","24,271","30,617","17,167","20,270","35,587","31,174","20,553","26,225","33,210","43,273","30,117","13,529","25,451","26,170","24,462","35,952","38,979","53,345","33,840"
2020년02월_계_10~19세,"813,563","11,652","7,281","16,314","21,223","27,246","25,097","28,144","38,918","23,313","27,194","56,205","40,161","24,635","29,566","52,165","46,816","31,132","15,545","24,741","29,185","30,422","45,825","60,254","61,102","39,427"
2020년02월_계_20~29세,"1,455,903","23,436","18,492","33,036","45,723","61,890","55,144","56,093","66,407","43,320","44,762","73,959","65,999","49,059","60,842","60,393","87,203","55,517","36,391","57,153","66,339","107,757","56,281","75,503","95,425","59,779"
2020년02월_계_30~39세,"1,505,729","20,325","20,510","38,197","50,517","57,843","51,255","59,121","61,677","40,466","42,866","67,047","69,081","45,105","65,400","59,409","102,315","64,375","35,652","66,436","63,626","88,518","66,448","85,434","114,492","69,614"
2020년02월_계_40~49세,"1,563,968","23,051","18,573","36,233","46,926","54,467","52,345","59,204","72,270","48,827","50,736","89,654","78,112","48,319","62,640","80,817","93,333","64,374","34,115","55,973","60,407","70,617","78,925","100,856","110,851","72,343"
2020년02월_계_50~59세,"1,539,385","25,703","20,982","36,688","48,430","55,523","54,489","70,626","69,979","53,524","58,370","88,754","77,142","49,616","54,357","76,968","88,711","63,852","41,174","56,422","59,170","69,370","62,999","80,301","104,278","71,957"
2020년02월_계_60~69세,"1,200,518","19,383","17,070","27,716","35,466","40,854","45,144","55,554","53,374","44,543","47,872","65,544","61,682","37,186","38,360","54,969","74,245","53,863","31,805","44,918","47,785","57,838","46,770","58,212","81,252","59,113"
2020년02월_계_70~79세,"688,818","12,597","10,420","17,207","20,466","22,062","28,024","30,507","33,382","29,674","27,197","36,778","38,333","24,282","24,407","27,350","37,872","30,758","17,593","26,493","29,238","36,421","26,766","33,177","38,845","28,969"
2020년02월_계_80~89세,"263,939","5,747","4,627","8,276","8,150","8,408","10,916","11,056","13,556","10,791","11,058","15,742","14,880","10,730","10,637","10,275","14,082","10,676","6,068","10,753","11,279","12,272","9,371","11,234","13,506","9,849"
2020년02월_계_90~99세,"40,404","1,026",848,"1,555","1,120","1,222","1,547","1,545","1,937","1,428","1,592","2,309","2,034","1,561","1,558","1,608","2,347","1,419",785,"1,495","1,701","1,600","1,784","2,213","2,410","1,760"
2020년02월_계_100세 이상,"6,380",259,195,362,235,203,287,193,366,236,166,261,407,281,323,168,222,162,170,273,301,310,215,273,276,236
2020년02월_남_총인구수,"4,745,133","73,729","61,964","110,773","146,688","170,000","171,835","196,483","214,078","152,857","162,327","257,265","230,767","149,432","176,889","224,702","285,619","200,854","118,145","183,468","191,433","250,822","206,193","261,466","326,880","220,464"
