,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년02월_계_총인구수,"48,460","14,013","2,833","6,635",708,"2,758","2,530","1,745","6,448","7,507","1,269","2,014"
2021년02월_계_연령구간인구수,"48,460","14,013","2,833","6,635",708,"2,758","2,530","1,745","6,448","7,507","1,269","2,014"
2021년02월_계_0~9세,"2,859","1,085",64,774,6,105,48,47,303,359,23,45
2021년02월_계_10~19세,"3,693","1,621",231,461,26,118,92,60,395,566,41,82
2021년02월_계_20~29세,"4,427","1,571",175,712,50,212,189,110,668,613,35,92
2021년02월_계_30~39세,"4,244","1,388",153,"1,121",25,170,116,60,555,537,40,79
2021년02월_계_40~49세,"6,173","2,316",230,949,62,282,156,146,821,942,109,160
2021년02월_계_50~59세,"8,566","2,424",464,"1,009",143,497,426,273,"1,271","1,407",302,350
2021년02월_계_60~69세,"8,325","1,741",545,809,150,578,576,393,"1,233","1,558",307,435
2021년02월_계_70~79세,"5,655","1,091",521,460,126,389,451,328,706,994,224,365
2021년02월_계_80~89세,"3,852",662,382,294,106,345,392,283,429,453,168,338
2021년02월_계_90~99세,650,111,67,43,14,61,83,45,64,77,18,67
2021년02월_계_100세 이상,16,3,1,3,0,1,1,0,3,1,2,1
2021년02월_남_총인구수,"24,303","7,078","1,364","3,498",367,"1,381","1,198",853,"3,308","3,686",624,946
2021년02월_남_연령구간인구수,"24,303","7,078","1,364","3,498",367,"1,381","1,198",853,"3,308","3,686",624,946
2021년02월_남_0~9세,"1,461",572,36,387,4,57,23,21,147,182,12,20
2021년02월_남_10~19세,"2,001",849,168,250,12,59,42,35,220,303,22,41
2021년02월_남_20~29세,"2,643",898,101,434,30,122,127,69,414,370,23,55
2021년02월_남_30~39세,"2,307",722,83,597,18,103,73,37,319,279,25,51
2021년02월_남_40~49세,"3,395","1,169",136,544,43,174,92,78,478,519,55,107
2021년02월_남_50~59세,"4,624","1,280",256,576,92,283,231,164,673,706,162,201
2021년02월_남_60~69세,"4,122",874,241,406,84,302,285,199,622,729,168,212
2021년02월_남_70~79세,"2,456",472,207,218,48,156,194,145,316,441,100,159
2021년02월_남_80~89세,"1,187",228,121,84,35,114,118,96,107,145,47,92
2021년02월_남_90~99세,105,14,15,2,1,11,13,9,11,12,9,8
2021년02월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2021년02월_여_총인구수,"24,157","6,935","1,469","3,137",341,"1,377","1,332",892,"3,140","3,821",645,"1,068"
2021년02월_여_연령구간인구수,"24,157","6,935","1,469","3,137",341,"1,377","1,332",892,"3,140","3,821",645,"1,068"
2021년02월_여_0~9세,"1,398",513,28,387,2,48,25,26,156,177,11,25
2021년02월_여_10~19세,"1,692",772,63,211,14,59,50,25,175,263,19,41
2021년02월_여_20~29세,"1,784",673,74,278,20,90,62,41,254,243,12,37
2021년02월_여_30~39세,"1,937",666,70,524,7,67,43,23,236,258,15,28
2021년02월_여_40~49세,"2,778","1,147",94,405,19,108,64,68,343,423,54,53
2021년02월_여_50~59세,"3,942","1,144",208,433,51,214,195,109,598,701,140,149
2021년02월_여_60~69세,"4,203",867,304,403,66,276,291,194,611,829,139,223
2021년02월_여_70~79세,"3,199",619,314,242,78,233,257,183,390,553,124,206
2021년02월_여_80~89세,"2,665",434,261,210,71,231,274,187,322,308,121,246
2021년02월_여_90~99세,545,97,52,41,13,50,70,36,53,65,9,59
2021년02월_여_100세 이상,14,3,1,3,0,1,1,0,2,1,1,1
