카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년01월_계_총인구수,"23,821","8,402","2,306","3,838","2,046","2,135","2,480","1,246","1,368"
2020년01월_계_연령구간인구수,"23,821","8,402","2,306","3,838","2,046","2,135","2,480","1,246","1,368"
2020년01월_계_0~9세,752,465,38,96,39,28,46,23,17
2020년01월_계_10~19세,"1,033",605,52,130,63,61,70,27,25
2020년01월_계_20~29세,"1,689",780,122,282,151,126,126,36,66
2020년01월_계_30~39세,"1,497",724,115,206,108,102,125,59,58
2020년01월_계_40~49세,"2,293","1,117",154,324,157,173,185,94,89
2020년01월_계_50~59세,"4,532","1,560",450,767,417,401,434,231,272
2020년01월_계_60~69세,"5,133","1,408",525,938,474,503,598,307,380
2020년01월_계_70~79세,"4,045","1,063",458,669,370,415,506,274,290
2020년01월_계_80~89세,"2,540",593,347,394,231,301,351,176,147
2020년01월_계_90~99세,293,80,43,31,36,22,38,19,24
2020년01월_계_100세 이상,14,7,2,1,0,3,1,0,0
2020년01월_남_총인구수,"12,150","4,352","1,170","1,960","1,054","1,061","1,206",630,717
2020년01월_남_연령구간인구수,"12,150","4,352","1,170","1,960","1,054","1,061","1,206",630,717
2020년01월_남_0~9세,404,254,20,52,24,13,15,14,12
2020년01월_남_10~19세,571,340,28,63,38,33,40,14,15
2020년01월_남_20~29세,995,463,68,170,91,71,74,20,38
2020년01월_남_30~39세,846,392,64,104,70,64,75,39,38
2020년01월_남_40~49세,"1,367",620,102,208,95,110,117,62,53
2020년01월_남_50~59세,"2,529",854,259,419,244,217,238,140,158
2020년01월_남_60~69세,"2,664",714,270,503,240,262,295,160,220
2020년01월_남_70~79세,"1,845",489,216,308,165,185,221,119,142
2020년01월_남_80~89세,868,207,133,127,78,100,124,59,40
2020년01월_남_90~99세,60,18,10,6,9,6,7,3,1
2020년01월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년01월_여_총인구수,"11,671","4,050","1,136","1,878",992,"1,074","1,274",616,651
2020년01월_여_연령구간인구수,"11,671","4,050","1,136","1,878",992,"1,074","1,274",616,651
2020년01월_여_0~9세,348,211,18,44,15,15,31,9,5
2020년01월_여_10~19세,462,265,24,67,25,28,30,13,10
2020년01월_여_20~29세,694,317,54,112,60,55,52,16,28
2020년01월_여_30~39세,651,332,51,102,38,38,50,20,20
2020년01월_여_40~49세,926,497,52,116,62,63,68,32,36
2020년01월_여_50~59세,"2,003",706,191,348,173,184,196,91,114
2020년01월_여_60~69세,"2,469",694,255,435,234,241,303,147,160
2020년01월_여_70~79세,"2,200",574,242,361,205,230,285,155,148
2020년01월_여_80~89세,"1,672",386,214,267,153,201,227,117,107
2020년01월_여_90~99세,233,62,33,25,27,16,31,16,23
2020년01월_여_100세 이상,13,6,2,1,0,3,1,0,0
