,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년12월_계_총인구수,"3,314,183","1,032,741","218,027","251,562","181,322","186,881","194,949","347,097","125,383","109,953","537,673","103,525","241,216","354,726","26,322","62,547","60,129","50,478","42,266","43,449","34,360","38,310","61,073","42,935"
2021년12월_계_연령구간인구수,"3,314,183","1,032,741","218,027","251,562","181,322","186,881","194,949","347,097","125,383","109,953","537,673","103,525","241,216","354,726","26,322","62,547","60,129","50,478","42,266","43,449","34,360","38,310","61,073","42,935"
2021년12월_계_0~9세,"250,669","78,953","17,098","18,293","13,189","12,175","18,198","26,794","8,547","7,638","45,854","5,235","24,145","32,841",986,"3,586","2,865","2,277","1,512","1,633","1,175","1,695","3,496","1,437"
2021년12월_계_10~19세,"319,461","98,134","19,331","25,685","14,271","17,589","21,258","34,686","12,671","10,123","60,101","7,470","27,952","34,631","1,444","5,756","4,016","4,058","2,831","2,673","2,006","2,786","5,818","2,305"
2021년12월_계_20~29세,"362,661","125,367","27,854","36,742","18,856","21,079","20,836","44,515","10,479","10,300","66,584","8,620","22,796","39,334","1,826","5,058","4,443","3,688","3,033","3,037","2,261","2,892","5,667","2,761"
2021년12월_계_30~39세,"379,886","129,935","28,250","34,408","21,324","20,252","25,701","40,721","12,323","11,135","66,222","8,397","32,802","47,338","1,620","5,011","4,672","3,408","2,302","2,529","1,935","2,427","4,755","2,354"
2021년12월_계_40~49세,"527,396","166,304","33,887","40,443","26,814","29,306","35,854","53,267","20,816","17,382","96,078","12,627","47,254","61,525","2,685","8,880","6,842","6,031","4,341","4,549","3,291","4,100","7,444","3,980"
2021년12월_계_50~59세,"579,779","184,802","41,180","51,029","29,467","33,657","29,469","57,288","21,988","18,340","98,718","18,230","40,041","59,617","4,488","11,003","10,635","8,946","7,121","8,031","6,304","6,742","10,294","7,191"
2021년12월_계_60~69세,"494,113","151,447","32,055","31,621","31,732","31,035","25,004","48,836","21,449","17,273","63,217","21,960","28,798","46,636","5,813","11,710","12,791","10,190","8,602","9,375","7,797","7,726","10,845","9,648"
2021년12월_계_70~79세,"249,720","65,921","12,278","9,049","17,049","15,312","12,233","25,856","11,343","10,768","27,140","12,837","11,361","22,013","3,805","6,646","7,956","6,763","6,604","6,293","5,162","5,348","6,923","6,981"
2021년12월_계_80~89세,"131,422","28,070","5,335","3,700","7,542","5,834","5,659","13,220","5,082","6,078","12,216","7,196","5,213","9,554","3,144","4,266","5,181","4,398","4,971","4,525","3,809","3,958","5,015","5,526"
2021년12월_계_90~99세,"18,682","3,743",741,584,"1,062",631,725,"1,860",673,895,"1,513",932,833,"1,210",504,623,712,704,936,790,606,624,792,732
2021년12월_계_100세 이상,394,65,18,8,16,11,12,54,12,21,30,21,21,27,7,8,16,15,13,14,14,12,24,20
2021년12월_남_총인구수,"1,668,338","523,223","110,998","128,346","90,141","93,661","100,077","171,601","62,928","55,433","271,899","50,849","126,291","177,759","12,966","31,816","29,948","25,297","20,450","21,696","16,931","18,531","29,955","20,765"
2021년12월_남_연령구간인구수,"1,668,338","523,223","110,998","128,346","90,141","93,661","100,077","171,601","62,928","55,433","271,899","50,849","126,291","177,759","12,966","31,816","29,948","25,297","20,450","21,696","16,931","18,531","29,955","20,765"
2021년12월_남_0~9세,"128,993","40,798","8,723","9,427","6,833","6,286","9,529","13,872","4,299","3,958","23,430","2,690","12,495","16,819",515,"1,818","1,491","1,148",778,853,601,858,"1,827",743
2021년12월_남_10~19세,"166,472","51,201","10,169","13,512","7,355","9,183","10,982","18,251","6,531","5,215","31,096","3,892","14,569","17,667",758,"3,055","2,147","2,206","1,555","1,452","1,083","1,459","3,125","1,210"
2021년12월_남_20~29세,"202,593","70,239","15,581","20,618","10,394","11,714","11,932","24,457","5,863","6,167","36,374","5,043","12,926","21,154","1,060","2,992","2,569","2,181","1,870","1,806","1,296","1,650","3,347","1,599"
2021년12월_남_30~39세,"198,989","68,959","14,947","18,424","11,258","10,744","13,586","21,008","6,317","6,054","34,264","4,428","17,068","24,314",874,"2,568","2,566","1,885","1,208","1,390","1,048","1,242","2,485","1,311"
2021년12월_남_40~49세,"271,358","84,833","17,415","19,491","14,158","14,962","18,807","26,502","11,141","9,167","47,783","6,672","25,564","31,359","1,522","4,780","3,807","3,323","2,296","2,535","1,816","2,224","3,787","2,247"
2021년12월_남_50~59세,"296,690","91,651","20,227","24,584","14,705","16,753","15,382","28,316","11,426","9,775","50,538","9,259","21,713","29,985","2,505","6,061","5,745","4,918","3,867","4,420","3,452","3,639","5,389","4,031"
2021년12월_남_60~69세,"245,713","74,838","16,197","16,664","14,989","14,834","12,154","23,308","10,425","8,373","32,282","10,809","14,731","22,871","3,102","6,140","6,407","5,094","4,244","4,885","4,068","3,887","5,328","4,921"
2021년12월_남_70~79세,"112,084","30,477","5,894","4,419","7,665","6,966","5,533","11,348","5,189","4,661","12,018","5,695","5,458","9,971","1,611","2,996","3,512","3,054","2,942","2,792","2,312","2,230","2,888","2,930"
2021년12월_남_80~89세,"41,890","9,528","1,714","1,109","2,570","2,106","2,029","4,184","1,612","1,913","3,837","2,177","1,638","3,362",915,"1,290","1,578","1,364","1,520","1,401","1,133","1,219","1,593","1,626"
