,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년09월_계_총인구수,"36,742","15,009","4,842","3,316","2,313","2,804","1,220","2,058","1,049","1,398","2,733"
2021년09월_계_연령구간인구수,"36,742","15,009","4,842","3,316","2,313","2,804","1,220","2,058","1,049","1,398","2,733"
2021년09월_계_0~9세,"1,862","1,223",144,125,77,79,31,36,13,33,101
2021년09월_계_10~19세,"2,639","1,527",281,200,115,124,46,92,29,65,160
2021년09월_계_20~29세,"2,887","1,545",307,202,121,182,62,131,59,87,191
2021년09월_계_30~39세,"2,567","1,471",261,170,127,154,61,86,47,47,143
2021년09월_계_40~49세,"3,872","2,032",397,304,199,250,86,147,86,120,251
2021년09월_계_50~59세,"6,151","2,440",812,570,341,480,203,369,239,248,449
2021년09월_계_60~69세,"6,725","2,209","1,004",680,521,587,273,391,255,246,559
2021년09월_계_70~79세,"5,347","1,473",880,560,400,477,204,395,176,253,529
2021년09월_계_80~89세,"3,998",914,650,433,339,379,226,366,124,246,321
2021년09월_계_90~99세,669,163,102,71,70,91,26,44,21,52,29
2021년09월_계_100세 이상,25,12,4,1,3,1,2,1,0,1,0
2021년09월_남_총인구수,"17,856","7,326","2,344","1,596","1,120","1,361",588,973,530,688,"1,330"
2021년09월_남_연령구간인구수,"17,856","7,326","2,344","1,596","1,120","1,361",588,973,530,688,"1,330"
2021년09월_남_0~9세,926,600,80,47,43,49,12,18,3,20,54
2021년09월_남_10~19세,"1,400",802,158,103,62,72,24,42,18,31,88
2021년09월_남_20~29세,"1,629",851,178,117,78,101,31,75,34,47,117
2021년09월_남_30~39세,"1,358",730,143,91,77,96,35,51,30,24,81
2021년09월_남_40~49세,"2,134","1,023",226,190,122,144,56,99,53,72,149
2021년09월_남_50~59세,"3,393","1,292",444,325,190,274,125,210,143,155,235
2021년09월_남_60~69세,"3,337","1,057",510,341,273,296,139,201,131,133,256
2021년09월_남_70~79세,"2,293",644,366,237,168,207,93,160,78,106,234
2021년09월_남_80~89세,"1,254",297,214,129,95,108,66,108,35,90,112
2021년09월_남_90~99세,127,28,24,16,12,14,6,9,5,9,4
2021년09월_남_100세 이상,5,2,1,0,0,0,1,0,0,1,0
2021년09월_여_총인구수,"18,886","7,683","2,498","1,720","1,193","1,443",632,"1,085",519,710,"1,403"
2021년09월_여_연령구간인구수,"18,886","7,683","2,498","1,720","1,193","1,443",632,"1,085",519,710,"1,403"
2021년09월_여_0~9세,936,623,64,78,34,30,19,18,10,13,47
2021년09월_여_10~19세,"1,239",725,123,97,53,52,22,50,11,34,72
2021년09월_여_20~29세,"1,258",694,129,85,43,81,31,56,25,40,74
2021년09월_여_30~39세,"1,209",741,118,79,50,58,26,35,17,23,62
2021년09월_여_40~49세,"1,738","1,009",171,114,77,106,30,48,33,48,102
2021년09월_여_50~59세,"2,758","1,148",368,245,151,206,78,159,96,93,214
2021년09월_여_60~69세,"3,388","1,152",494,339,248,291,134,190,124,113,303
2021년09월_여_70~79세,"3,054",829,514,323,232,270,111,235,98,147,295
2021년09월_여_80~89세,"2,744",617,436,304,244,271,160,258,89,156,209
2021년09월_여_90~99세,542,135,78,55,58,77,20,35,16,43,25
2021년09월_여_100세 이상,20,10,3,1,3,1,1,1,0,0,0
