,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년07월_계_총인구수,"51,072","11,089","13,441","4,829","2,259","1,623","2,492","1,471","1,257","1,246","2,120","2,025","2,880","4,340"
2021년07월_계_연령구간인구수,"51,072","11,089","13,441","4,829","2,259","1,623","2,492","1,471","1,257","1,246","2,120","2,025","2,880","4,340"
2021년07월_계_0~9세,"2,194",528,955,144,48,24,63,45,32,29,37,51,41,197
2021년07월_계_10~19세,"3,377",852,"1,472",214,58,63,107,64,45,26,66,78,95,237
2021년07월_계_20~29세,"3,690","1,046","1,285",268,86,79,119,79,53,34,82,91,183,285
2021년07월_계_30~39세,"3,256",865,"1,054",272,116,51,102,74,57,44,83,98,131,309
2021년07월_계_40~49세,"5,589","1,482","1,892",475,155,135,211,92,72,97,146,143,231,458
2021년07월_계_50~59세,"8,270","1,923","2,277",758,304,222,367,200,181,169,311,303,497,758
2021년07월_계_60~69세,"10,463","2,043","2,128","1,091",519,386,539,358,292,322,556,500,739,990
2021년07월_계_70~79세,"8,012","1,469","1,402",922,470,338,501,285,244,287,436,405,564,689
2021년07월_계_80~89세,"5,325",773,820,586,432,269,417,232,243,208,347,299,335,364
2021년07월_계_90~99세,872,103,151,98,70,55,65,41,36,30,54,55,63,51
2021년07월_계_100세 이상,24,5,5,1,1,1,1,1,2,0,2,2,1,2
2021년07월_남_총인구수,"25,223","5,556","6,569","2,417","1,091",795,"1,176",699,604,632,"1,029",974,"1,421","2,260"
2021년07월_남_연령구간인구수,"25,223","5,556","6,569","2,417","1,091",795,"1,176",699,604,632,"1,029",974,"1,421","2,260"
2021년07월_남_0~9세,"1,113",261,483,72,29,9,32,21,17,20,18,27,28,96
2021년07월_남_10~19세,"1,733",447,770,109,36,30,48,29,21,14,31,34,47,117
2021년07월_남_20~29세,"2,127",584,717,152,57,47,64,53,31,21,46,59,118,178
2021년07월_남_30~39세,"1,823",459,518,168,71,30,65,43,33,27,50,62,84,213
2021년07월_남_40~49세,"3,044",785,912,287,96,87,114,54,45,68,85,79,143,289
2021년07월_남_50~59세,"4,532","1,090","1,192",436,156,127,204,108,105,101,161,175,261,416
2021년07월_남_60~69세,"5,124",980,"1,000",557,265,192,253,178,151,153,284,252,359,500
2021년07월_남_70~79세,"3,602",633,638,403,210,155,226,135,109,141,212,187,259,294
2021년07월_남_80~89세,"1,913",292,295,211,155,104,152,71,82,83,131,85,108,144
2021년07월_남_90~99세,211,25,43,22,16,14,18,7,10,4,11,14,14,13
2021년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"25,849","5,533","6,872","2,412","1,168",828,"1,316",772,653,614,"1,091","1,051","1,459","2,080"
2021년07월_여_연령구간인구수,"25,849","5,533","6,872","2,412","1,168",828,"1,316",772,653,614,"1,091","1,051","1,459","2,080"
2021년07월_여_0~9세,"1,081",267,472,72,19,15,31,24,15,9,19,24,13,101
2021년07월_여_10~19세,"1,644",405,702,105,22,33,59,35,24,12,35,44,48,120
2021년07월_여_20~29세,"1,563",462,568,116,29,32,55,26,22,13,36,32,65,107
2021년07월_여_30~39세,"1,433",406,536,104,45,21,37,31,24,17,33,36,47,96
2021년07월_여_40~49세,"2,545",697,980,188,59,48,97,38,27,29,61,64,88,169
2021년07월_여_50~59세,"3,738",833,"1,085",322,148,95,163,92,76,68,150,128,236,342
2021년07월_여_60~69세,"5,339","1,063","1,128",534,254,194,286,180,141,169,272,248,380,490
2021년07월_여_70~79세,"4,410",836,764,519,260,183,275,150,135,146,224,218,305,395
2021년07월_여_80~89세,"3,412",481,525,375,277,165,265,161,161,125,216,214,227,220
2021년07월_여_90~99세,661,78,108,76,54,41,47,34,26,26,43,41,49,38
2021년07월_여_100세 이상,23,5,4,1,1,1,1,1,2,0,2,2,1,2
