,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년06월_계_총인구수,"284,217","7,056","8,006","7,306","2,328","1,601","1,963","2,675","3,143","3,026","3,424","5,380","4,453","4,596","2,651","1,600","3,552","4,970","7,174","22,421","9,297","11,856","38,759","8,723","23,789","14,561","25,264","15,692","6,772","32,179"
2020년06월_계_연령구간인구수,"284,217","7,056","8,006","7,306","2,328","1,601","1,963","2,675","3,143","3,026","3,424","5,380","4,453","4,596","2,651","1,600","3,552","4,970","7,174","22,421","9,297","11,856","38,759","8,723","23,789","14,561","25,264","15,692","6,772","32,179"
2020년06월_계_0~9세,"20,021",384,566,291,66,31,35,76,113,92,196,332,91,193,72,23,110,351,334,"1,678",436,517,"3,791",942,"1,641","1,347","2,400",660,583,"2,670"
2020년06월_계_10~19세,"28,561",602,625,527,140,69,107,154,150,136,178,375,203,294,116,87,165,351,433,"2,247",685,867,"4,362",959,"2,809","2,145","3,526","1,201",691,"4,357"
2020년06월_계_20~29세,"36,512",640,706,683,181,99,131,184,225,149,335,703,270,410,266,109,369,504,904,"2,557","1,363","1,385","4,894",887,"3,465","2,285","3,463","4,023",746,"4,576"
2020년06월_계_30~39세,"29,343",560,834,535,128,63,101,151,206,166,288,475,239,354,158,70,344,580,800,"2,431",875,"1,055","4,568","1,227","2,463","1,702","3,135","1,460",878,"3,497"
2020년06월_계_40~49세,"42,642",836,"1,075",846,227,146,187,235,329,264,337,600,415,536,260,155,437,743,881,"3,466","1,213","1,523","6,289","1,454","3,704","2,870","4,991","1,743","1,061","5,819"
2020년06월_계_50~59세,"49,461","1,242","1,427","1,354",443,275,372,385,568,540,575,947,768,854,558,242,579,942,"1,160","4,022","1,873","1,970","6,410","1,267","4,612","2,446","4,354","2,310","1,099","5,867"
2020년06월_계_60~69세,"39,325","1,382","1,390","1,364",449,370,444,605,655,698,627,977,996,904,510,362,726,823,"1,289","3,292","1,604","2,124","4,657","1,064","3,124",944,"2,033","2,029",856,"3,027"
2020년06월_계_70~79세,"24,007",843,812,978,398,284,332,520,532,563,516,617,817,563,387,312,565,450,901,"1,792",850,"1,696","2,455",645,"1,290",552,898,"1,439",508,"1,492"
2020년06월_계_80~89세,"12,372",494,493,617,247,219,214,313,326,367,327,312,548,413,269,206,213,192,420,831,342,634,"1,156",245,578,240,405,695,276,780
2020년06월_계_90~99세,"1,868",67,76,101,45,43,37,52,38,47,43,40,98,74,51,31,39,31,50,95,54,82,173,31,101,30,56,120,71,92
2020년06월_계_100세 이상,105,6,2,10,4,2,3,0,1,4,2,2,8,1,4,3,5,3,2,10,2,3,4,2,2,0,3,12,3,2
2020년06월_남_총인구수,"141,545","3,454","3,964","3,686","1,147",820,"1,002","1,346","1,658","1,485","1,709","2,841","2,292","2,375","1,366",786,"1,890","2,627","3,667","11,047","4,736","6,015","18,777","4,353","11,745","7,121","12,304","7,908","3,491","15,933"
2020년06월_남_연령구간인구수,"141,545","3,454","3,964","3,686","1,147",820,"1,002","1,346","1,658","1,485","1,709","2,841","2,292","2,375","1,366",786,"1,890","2,627","3,667","11,047","4,736","6,015","18,777","4,353","11,745","7,121","12,304","7,908","3,491","15,933"
2020년06월_남_0~9세,"10,216",199,284,150,28,15,27,38,51,40,87,175,57,105,41,11,66,190,178,825,246,274,"1,947",465,833,685,"1,242",329,302,"1,326"
2020년06월_남_10~19세,"14,638",274,315,266,66,44,56,79,93,64,98,183,118,164,66,47,98,165,228,"1,191",382,481,"2,149",514,"1,448","1,118","1,788",584,350,"2,209"
2020년06월_남_20~29세,"19,852",368,365,400,107,52,75,102,130,90,193,478,150,233,152,62,209,281,466,"1,385",746,757,"2,536",477,"1,894","1,179","1,835","2,263",419,"2,448"
2020년06월_남_30~39세,"15,373",292,456,295,72,42,58,100,115,111,165,267,162,203,106,35,219,310,473,"1,272",499,599,"2,213",621,"1,265",833,"1,536",836,484,"1,734"
2020년06월_남_40~49세,"21,786",462,581,486,132,94,124,156,215,153,199,348,267,322,171,104,259,420,492,"1,805",658,838,"3,101",760,"1,762","1,301","2,284",931,555,"2,806"
2020년06월_남_50~59세,"25,097",642,722,734,241,164,220,215,329,290,315,488,432,482,300,126,299,521,631,"1,972",901,994,"3,062",642,"2,205","1,244","2,200","1,127",587,"3,012"
2020년06월_남_60~69세,"19,470",683,691,702,237,191,223,300,365,345,313,500,523,477,266,185,373,431,593,"1,573",788,"1,006","2,258",502,"1,565",463,954,964,438,"1,561"
2020년06월_남_70~79세,"10,641",368,363,438,173,128,146,241,233,255,235,285,369,253,171,137,272,232,437,724,392,770,"1,078",277,586,211,341,659,248,619
2020년06월_남_80~89세,"4,007",154,166,189,80,79,65,103,117,124,92,106,176,118,79,72,82,70,156,273,112,268,387,86,166,81,112,197,91,206
2020년06월_남_90~99세,442,11,19,23,11,11,7,12,10,12,11,11,35,18,13,7,13,6,13,24,12,26,46,8,21,6,12,17,16,11
2020년06월_남_100세 이상,23,1,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년06월_여_총인구수,"142,672","3,602","4,042","3,620","1,181",781,961,"1,329","1,485","1,541","1,715","2,539","2,161","2,221","1,285",814,"1,662","2,343","3,507","11,374","4,561","5,841","19,982","4,370","12,044","7,440","12,960","7,784","3,281","16,246"
2020년06월_여_연령구간인구수,"142,672","3,602","4,042","3,620","1,181",781,961,"1,329","1,485","1,541","1,715","2,539","2,161","2,221","1,285",814,"1,662","2,343","3,507","11,374","4,561","5,841","19,982","4,370","12,044","7,440","12,960","7,784","3,281","16,246"
2020년06월_여_0~9세,"9,805",185,282,141,38,16,8,38,62,52,109,157,34,88,31,12,44,161,156,853,190,243,"1,844",477,808,662,"1,158",331,281,"1,344"
2020년06월_여_10~19세,"13,923",328,310,261,74,25,51,75,57,72,80,192,85,130,50,40,67,186,205,"1,056",303,386,"2,213",445,"1,361","1,027","1,738",617,341,"2,148"
2020년06월_여_20~29세,"16,660",272,341,283,74,47,56,82,95,59,142,225,120,177,114,47,160,223,438,"1,172",617,628,"2,358",410,"1,571","1,106","1,628","1,760",327,"2,128"
2020년06월_여_30~39세,"13,970",268,378,240,56,21,43,51,91,55,123,208,77,151,52,35,125,270,327,"1,159",376,456,"2,355",606,"1,198",869,"1,599",624,394,"1,763"
2020년06월_여_40~49세,"20,856",374,494,360,95,52,63,79,114,111,138,252,148,214,89,51,178,323,389,"1,661",555,685,"3,188",694,"1,942","1,569","2,707",812,506,"3,013"
2020년06월_여_50~59세,"24,364",600,705,620,202,111,152,170,239,250,260,459,336,372,258,116,280,421,529,"2,050",972,976,"3,348",625,"2,407","1,202","2,154","1,183",512,"2,855"
2020년06월_여_60~69세,"19,855",699,699,662,212,179,221,305,290,353,314,477,473,427,244,177,353,392,696,"1,719",816,"1,118","2,399",562,"1,559",481,"1,079","1,065",418,"1,466"
2020년06월_여_70~79세,"13,366",475,449,540,225,156,186,279,299,308,281,332,448,310,216,175,293,218,464,"1,068",458,926,"1,377",368,704,341,557,780,260,873
2020년06월_여_80~89세,"8,365",340,327,428,167,140,149,210,209,243,235,206,372,295,190,134,131,122,264,558,230,366,769,159,412,159,293,498,185,574
2020년06월_여_90~99세,"1,426",56,57,78,34,32,30,40,28,35,32,29,63,56,38,24,26,25,37,71,42,56,127,23,80,24,44,103,55,81
2020년06월_여_100세 이상,82,5,0,7,4,2,2,0,1,3,1,2,5,1,3,3,5,2,2,7,2,1,4,1,2,0,3,11,2,1
