카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년02월_계_총인구수,"208,743","29,640","12,608","10,169","10,761","16,414","20,986","7,399","16,733","16,516","17,029","14,424","36,064"
2021년02월_계_연령구간인구수,"208,743","29,640","12,608","10,169","10,761","16,414","20,986","7,399","16,733","16,516","17,029","14,424","36,064"
2021년02월_계_0~9세,"14,487","2,555","1,085",470,733,"1,217","1,973",219,703,763,"1,048","1,245","2,476"
2021년02월_계_10~19세,"16,438","3,583","1,579",687,979,"1,246","1,327",377,897,684,"1,004","1,125","2,950"
2021년02월_계_20~29세,"25,868","3,202","1,327","1,165","1,235","1,837","2,529",799,"2,372","3,414","1,861","1,601","4,526"
2021년02월_계_30~39세,"26,843","3,048","1,277","1,091","1,158","2,121","3,632",729,"2,030","3,105","2,324","1,847","4,481"
2021년02월_계_40~49세,"31,890","5,580","2,350","1,329","1,629","2,505","3,053",949,"2,263","2,350","2,275","2,251","5,356"
2021년02월_계_50~59세,"34,100","4,779","1,983","1,652","1,884","2,645","3,131","1,315","2,802","2,357","2,658","2,445","6,449"
2021년02월_계_60~69세,"32,837","3,645","1,676","1,824","1,790","2,798","2,898","1,580","3,206","2,147","3,088","2,309","5,876"
2021년02월_계_70~79세,"18,231","2,243",917,"1,256",910,"1,466","1,678","1,018","1,733","1,210","1,906","1,172","2,722"
2021년02월_계_80~89세,"7,099",894,369,604,381,522,671,368,643,441,769,376,"1,061"
2021년02월_계_90~99세,859,107,35,84,60,49,86,39,80,36,84,45,154
2021년02월_계_100세 이상,91,4,10,7,2,8,8,6,4,9,12,8,13
2021년02월_남_총인구수,"100,450","14,333","6,021","4,805","5,286","8,013","10,057","3,523","8,017","7,856","8,226","7,043","17,270"
2021년02월_남_연령구간인구수,"100,450","14,333","6,021","4,805","5,286","8,013","10,057","3,523","8,017","7,856","8,226","7,043","17,270"
2021년02월_남_0~9세,"7,333","1,331",510,252,371,633,992,115,329,380,536,646,"1,238"
2021년02월_남_10~19세,"8,458","1,880",761,366,536,667,651,191,452,360,527,570,"1,497"
2021년02월_남_20~29세,"13,081","1,681",695,569,680,981,"1,256",412,"1,128","1,424",994,861,"2,400"
2021년02월_남_30~39세,"13,444","1,432",607,554,619,"1,077","1,786",400,"1,053","1,552","1,206",889,"2,269"
2021년02월_남_40~49세,"15,598","2,586","1,110",669,770,"1,229","1,520",466,"1,148","1,224","1,194","1,141","2,541"
2021년02월_남_50~59세,"16,149","2,358",971,776,891,"1,216","1,469",621,"1,367","1,133","1,286","1,169","2,892"
2021년02월_남_60~69세,"15,069","1,662",793,814,846,"1,296","1,305",725,"1,446","1,019","1,345","1,078","2,740"
2021년02월_남_70~79세,"8,329",982,426,546,422,684,797,447,809,566,825,544,"1,281"
2021년02월_남_80~89세,"2,767",393,138,228,141,213,259,137,262,188,289,136,383
2021년02월_남_90~99세,202,27,8,29,9,15,19,8,22,8,22,7,28
2021년02월_남_100세 이상,20,1,2,2,1,2,3,1,1,2,2,2,1
2021년02월_여_총인구수,"108,293","15,307","6,587","5,364","5,475","8,401","10,929","3,876","8,716","8,660","8,803","7,381","18,794"
2021년02월_여_연령구간인구수,"108,293","15,307","6,587","5,364","5,475","8,401","10,929","3,876","8,716","8,660","8,803","7,381","18,794"
2021년02월_여_0~9세,"7,154","1,224",575,218,362,584,981,104,374,383,512,599,"1,238"
2021년02월_여_10~19세,"7,980","1,703",818,321,443,579,676,186,445,324,477,555,"1,453"
2021년02월_여_20~29세,"12,787","1,521",632,596,555,856,"1,273",387,"1,244","1,990",867,740,"2,126"
2021년02월_여_30~39세,"13,399","1,616",670,537,539,"1,044","1,846",329,977,"1,553","1,118",958,"2,212"
2021년02월_여_40~49세,"16,292","2,994","1,240",660,859,"1,276","1,533",483,"1,115","1,126","1,081","1,110","2,815"
2021년02월_여_50~59세,"17,951","2,421","1,012",876,993,"1,429","1,662",694,"1,435","1,224","1,372","1,276","3,557"
2021년02월_여_60~69세,"17,768","1,983",883,"1,010",944,"1,502","1,593",855,"1,760","1,128","1,743","1,231","3,136"
2021년02월_여_70~79세,"9,902","1,261",491,710,488,782,881,571,924,644,"1,081",628,"1,441"
2021년02월_여_80~89세,"4,332",501,231,376,240,309,412,231,381,253,480,240,678
2021년02월_여_90~99세,657,80,27,55,51,34,67,31,58,28,62,38,126
2021년02월_여_100세 이상,71,3,8,5,1,6,5,5,3,7,10,6,12
