,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년05월_계_총인구수,"3,367,334","41,209","106,556","88,080","111,574","356,706","268,616","264,679","283,138","399,222","308,036","229,704","140,215","206,547","176,062","210,579","176,411"
2021년05월_계_연령구간인구수,"3,367,334","41,209","106,556","88,080","111,574","356,706","268,616","264,679","283,138","399,222","308,036","229,704","140,215","206,547","176,062","210,579","176,411"
2021년05월_계_0~9세,"226,629","1,232","5,529","4,040","5,024","20,831","19,186","17,383","18,695","27,921","19,122","12,637","19,956","14,158","10,217","11,826","18,872"
2021년05월_계_10~19세,"268,529","1,969","7,219","4,972","7,213","24,452","24,708","22,759","22,782","37,464","24,881","17,357","12,280","16,310","11,643","14,775","17,745"
2021년05월_계_20~29세,"425,129","5,694","13,420","10,382","11,790","52,524","32,112","34,812","36,736","48,048","39,111","32,664","12,551","25,471","24,095","28,571","17,148"
2021년05월_계_30~39세,"412,056","4,458","10,928","10,411","10,390","47,638","32,391","29,144","33,579","46,074","35,840","24,565","27,202","26,292","23,749","24,697","24,698"
2021년05월_계_40~49세,"506,123","5,304","14,389","11,683","14,841","50,924","42,801","41,275","40,135","64,989","45,226","31,618","24,608","31,479","25,217","28,920","32,714"
2021년05월_계_50~59세,"559,326","6,919","17,419","14,395","18,919","57,442","43,711","42,317","52,846","69,556","53,865","39,586","16,971","33,611","27,265","40,002","24,502"
2021년05월_계_60~69세,"540,745","7,978","19,196","16,150","22,229","56,661","41,555","41,115","47,100","59,097","52,298","39,385","16,459","32,921","28,888","37,680","22,033"
2021년05월_계_70~79세,"294,051","5,096","12,255","10,646","14,442","31,489","22,431","24,909","21,648","30,903","26,399","21,642","6,970","18,252","17,082","17,315","12,572"
2021년05월_계_80~89세,"119,162","2,170","5,502","4,767","5,980","13,217","8,577","9,760","8,518","13,365","9,923","9,031","2,748","7,179","6,978","6,089","5,358"
2021년05월_계_90~99세,"14,830",368,672,569,693,"1,466","1,071","1,139","1,062","1,733","1,330","1,154",448,835,893,660,737
2021년05월_계_100세 이상,754,21,27,65,53,62,73,66,37,72,41,65,22,39,35,44,32
2021년05월_남_총인구수,"1,648,965","20,065","51,591","43,109","55,016","172,228","130,672","129,523","140,032","192,102","153,413","112,308","72,541","99,464","83,210","106,324","87,367"
2021년05월_남_연령구간인구수,"1,648,965","20,065","51,591","43,109","55,016","172,228","130,672","129,523","140,032","192,102","153,413","112,308","72,541","99,464","83,210","106,324","87,367"
2021년05월_남_0~9세,"116,268",638,"2,898","2,128","2,541","10,558","9,904","8,869","9,658","14,402","9,818","6,487","10,300","7,150","5,257","6,031","9,629"
2021년05월_남_10~19세,"138,490",980,"3,650","2,555","3,711","12,394","12,876","11,735","11,862","19,339","12,896","8,957","6,245","8,399","5,990","7,686","9,215"
2021년05월_남_20~29세,"221,156","2,785","6,560","5,254","6,488","25,605","16,778","18,420","19,739","25,093","20,948","17,683","6,806","12,948","11,697","15,269","9,083"
2021년05월_남_30~39세,"211,072","2,418","5,635","5,545","5,610","24,279","16,266","14,976","17,463","22,517","19,067","12,792","13,885","13,177","11,841","13,304","12,297"
2021년05월_남_40~49세,"255,182","2,913","7,450","6,267","7,761","25,817","20,957","20,726","19,961","30,842","23,201","15,749","13,714","15,418","12,437","15,246","16,723"
2021년05월_남_50~59세,"272,092","3,482","8,912","7,382","9,713","27,902","20,770","20,705","25,076","33,182","26,443","18,832","8,757","15,926","12,629","19,930","12,451"
2021년05월_남_60~69세,"255,579","3,750","8,977","7,605","10,661","26,601","19,271","18,920","23,176","27,904","25,155","18,369","8,326","15,125","12,804","18,671","10,264"
2021년05월_남_70~79세,"132,747","2,200","5,340","4,591","6,295","13,970","10,333","11,177","9,984","13,644","12,133","9,862","3,494","8,328","7,642","8,030","5,724"
2021년05월_남_80~89세,"43,098",796,"2,022","1,624","2,096","4,794","3,271","3,744","2,903","4,769","3,492","3,307",934,"2,793","2,675","2,042","1,836"
2021년05월_남_90~99세,"3,134",99,141,139,135,296,233,238,206,389,250,261,74,189,230,111,143
2021년05월_남_100세 이상,147,4,6,19,5,12,13,13,4,21,10,9,6,11,8,4,2
2021년05월_여_총인구수,"1,718,369","21,144","54,965","44,971","56,558","184,478","137,944","135,156","143,106","207,120","154,623","117,396","67,674","107,083","92,852","104,255","89,044"
2021년05월_여_연령구간인구수,"1,718,369","21,144","54,965","44,971","56,558","184,478","137,944","135,156","143,106","207,120","154,623","117,396","67,674","107,083","92,852","104,255","89,044"
2021년05월_여_0~9세,"110,361",594,"2,631","1,912","2,483","10,273","9,282","8,514","9,037","13,519","9,304","6,150","9,656","7,008","4,960","5,795","9,243"
2021년05월_여_10~19세,"130,039",989,"3,569","2,417","3,502","12,058","11,832","11,024","10,920","18,125","11,985","8,400","6,035","7,911","5,653","7,089","8,530"
2021년05월_여_20~29세,"203,973","2,909","6,860","5,128","5,302","26,919","15,334","16,392","16,997","22,955","18,163","14,981","5,745","12,523","12,398","13,302","8,065"
2021년05월_여_30~39세,"200,984","2,040","5,293","4,866","4,780","23,359","16,125","14,168","16,116","23,557","16,773","11,773","13,317","13,115","11,908","11,393","12,401"
2021년05월_여_40~49세,"250,941","2,391","6,939","5,416","7,080","25,107","21,844","20,549","20,174","34,147","22,025","15,869","10,894","16,061","12,780","13,674","15,991"
2021년05월_여_50~59세,"287,234","3,437","8,507","7,013","9,206","29,540","22,941","21,612","27,770","36,374","27,422","20,754","8,214","17,685","14,636","20,072","12,051"
2021년05월_여_60~69세,"285,166","4,228","10,219","8,545","11,568","30,060","22,284","22,195","23,924","31,193","27,143","21,016","8,133","17,796","16,084","19,009","11,769"
2021년05월_여_70~79세,"161,304","2,896","6,915","6,055","8,147","17,519","12,098","13,732","11,664","17,259","14,266","11,780","3,476","9,924","9,440","9,285","6,848"
2021년05월_여_80~89세,"76,064","1,374","3,480","3,143","3,884","8,423","5,306","6,016","5,615","8,596","6,431","5,724","1,814","4,386","4,303","4,047","3,522"
2021년05월_여_90~99세,"11,696",269,531,430,558,"1,170",838,901,856,"1,344","1,080",893,374,646,663,549,594
2021년05월_여_100세 이상,607,17,21,46,48,50,60,53,33,51,31,56,16,28,27,40,30
