카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년07월_계_총인구수,"46,402","20,791","4,472","3,125","5,863","2,353","2,447","3,498","2,128","1,725"
2020년07월_계_연령구간인구수,"46,402","20,791","4,472","3,125","5,863","2,353","2,447","3,498","2,128","1,725"
2020년07월_계_0~9세,"2,223","1,503",132,68,258,38,38,80,68,38
2020년07월_계_10~19세,"3,642","2,053",209,581,388,80,71,126,68,66
2020년07월_계_20~29세,"3,863","2,270",368,132,402,122,139,217,125,88
2020년07월_계_30~39세,"3,513","2,084",253,122,441,121,90,192,132,78
2020년07월_계_40~49세,"5,133","2,984",418,185,637,174,175,273,158,129
2020년07월_계_50~59세,"8,837","3,649",921,575,"1,230",451,532,726,404,349
2020년07월_계_60~69세,"9,878","3,198","1,091",754,"1,326",699,727,942,629,512
2020년07월_계_70~79세,"5,637","1,834",658,431,728,400,403,551,310,322
2020년07월_계_80~89세,"3,134","1,019",363,230,395,233,233,329,198,134
2020년07월_계_90~99세,510,186,53,43,56,32,37,59,35,9
2020년07월_계_100세 이상,32,11,6,4,2,3,2,3,1,0
2020년07월_남_총인구수,"23,779","10,450","2,332","1,609","3,073","1,210","1,239","1,824","1,135",907
2020년07월_남_연령구간인구수,"23,779","10,450","2,332","1,609","3,073","1,210","1,239","1,824","1,135",907
2020년07월_남_0~9세,"1,165",780,71,38,135,21,15,41,41,23
2020년07월_남_10~19세,"1,903","1,060",111,304,210,36,44,65,32,41
2020년07월_남_20~29세,"2,189","1,225",233,82,235,64,78,135,76,61
2020년07월_남_30~39세,"1,856","1,053",133,59,257,65,49,115,82,43
2020년07월_남_40~49세,"2,854","1,613",241,104,354,100,99,173,95,75
2020년07월_남_50~59세,"4,681","1,915",494,302,662,229,278,392,219,190
2020년07월_남_60~69세,"5,141","1,608",575,406,693,379,394,493,340,253
2020년07월_남_70~79세,"2,715",781,333,220,362,210,204,282,162,161
2020년07월_남_80~89세,"1,144",362,128,86,156,96,69,115,76,56
2020년07월_남_90~99세,120,50,13,7,9,8,8,10,11,4
2020년07월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년07월_여_총인구수,"22,623","10,341","2,140","1,516","2,790","1,143","1,208","1,674",993,818
2020년07월_여_연령구간인구수,"22,623","10,341","2,140","1,516","2,790","1,143","1,208","1,674",993,818
2020년07월_여_0~9세,"1,058",723,61,30,123,17,23,39,27,15
2020년07월_여_10~19세,"1,739",993,98,277,178,44,27,61,36,25
2020년07월_여_20~29세,"1,674","1,045",135,50,167,58,61,82,49,27
2020년07월_여_30~39세,"1,657","1,031",120,63,184,56,41,77,50,35
2020년07월_여_40~49세,"2,279","1,371",177,81,283,74,76,100,63,54
2020년07월_여_50~59세,"4,156","1,734",427,273,568,222,254,334,185,159
2020년07월_여_60~69세,"4,737","1,590",516,348,633,320,333,449,289,259
2020년07월_여_70~79세,"2,922","1,053",325,211,366,190,199,269,148,161
2020년07월_여_80~89세,"1,990",657,235,144,239,137,164,214,122,78
2020년07월_여_90~99세,390,136,40,36,47,24,29,49,24,5
2020년07월_여_100세 이상,21,8,6,3,2,1,1,0,0,0
