,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년08월_계_총인구수,"1,190,074","274,984","23,721","43,078","29,960","30,328","43,105","20,314","19,847","29,020","19,230","16,381","370,337","10,554","23,720","19,562","41,155","38,399","25,031","45,946","46,490","24,862","49,986","27,675","16,957","175,063","5,973","10,779","9,086","23,340","26,975","11,462","20,745","17,353","38,378","10,972","369,690","18,624","15,321","36,466","22,154","39,225","36,259","27,036","32,989","31,776","28,449","53,230","28,161"
2020년08월_계_연령구간인구수,"1,190,074","274,984","23,721","43,078","29,960","30,328","43,105","20,314","19,847","29,020","19,230","16,381","370,337","10,554","23,720","19,562","41,155","38,399","25,031","45,946","46,490","24,862","49,986","27,675","16,957","175,063","5,973","10,779","9,086","23,340","26,975","11,462","20,745","17,353","38,378","10,972","369,690","18,624","15,321","36,466","22,154","39,225","36,259","27,036","32,989","31,776","28,449","53,230","28,161"
2020년08월_계_0~9세,"99,782","18,887","1,418","3,186","2,586","2,060","3,789",869,"1,184","1,583","1,488",724,"33,405",923,"1,142","1,001","3,215","2,512","1,499","5,085","7,251","1,370","5,891","1,751","1,765","9,762",244,433,365,"1,554","2,056",452,955,"1,236","2,192",275,"37,728","1,240",979,"3,004","1,448","4,644","3,752","2,688","2,745","3,585","4,415","5,796","3,432"
2020년08월_계_10~19세,"119,718","29,034","1,914","4,139","3,580","3,253","7,052","1,240","1,790","2,874","2,101","1,091","33,806",621,"1,650","1,589","3,664","3,241","2,114","5,028","4,483","1,748","5,475","2,343","1,850","14,132",317,497,597,"2,235","3,079",728,"1,501","1,871","2,829",478,"42,746","1,981","1,564","4,520","2,343","3,525","5,001","2,217","4,372","4,148","3,239","6,908","2,928"
2020년08월_계_20~29세,"186,891","44,070","3,422","10,075","4,176","4,368","6,272","2,712","3,064","4,386","2,996","2,599","54,840","1,540","3,588","2,794","6,365","5,913","3,999","6,255","5,128","4,981","6,912","5,309","2,056","28,758",915,"1,940","1,109","3,178","4,167","1,365","3,246","3,654","7,651","1,533","59,223","3,177","2,509","6,510","3,760","6,574","4,948","5,805","6,413","4,586","3,452","8,401","3,088"
2020년08월_계_30~39세,"181,054","33,184","2,970","5,873","3,534","3,768","4,518","2,491","2,746","3,338","2,097","1,849","59,220","1,730","3,575","2,632","5,842","5,424","3,343","6,805","9,526","4,454","8,155","5,428","2,306","24,711",901,"1,683","1,084","2,715","3,505","1,246","2,965","2,248","7,063","1,301","63,939","2,486","1,989","5,585","3,217","7,739","5,634","6,859","4,514","5,041","5,967","9,603","5,305"
2020년08월_계_40~49세,"204,192","46,090","3,776","6,585","5,501","5,151","9,216","3,013","3,112","4,569","2,950","2,217","61,834","1,484","3,713","3,144","6,240","6,103","3,787","8,154","8,222","3,729","8,991","4,999","3,268","27,569",865,"1,460","1,328","3,906","4,590","1,695","3,098","2,768","6,354","1,505","68,699","3,118","2,496","6,856","3,818","7,197","7,237","4,287","6,200","5,945","5,427","10,793","5,325"
2020년08월_계_50~59세,"196,509","49,329","4,429","6,801","5,308","5,467","7,415","3,992","3,700","5,520","3,848","2,849","62,455","1,916","4,319","3,471","7,645","6,865","4,911","7,657","5,956","4,267","8,014","4,614","2,820","30,698","1,103","1,974","1,769","4,161","5,156","2,147","3,765","2,726","5,692","2,205","54,027","3,296","2,805","5,535","3,773","4,718","5,686","3,080","5,332","5,155","3,642","7,062","3,943"
2020년08월_계_60~69세,"117,078","30,027","3,278","3,659","2,948","3,304","2,707","3,436","2,452","3,654","1,987","2,602","38,847","1,325","3,325","2,801","4,885","4,913","3,187","4,030","3,635","2,702","4,296","1,997","1,751","21,961",883,"1,582","1,480","3,087","2,531","2,026","2,863","1,659","3,888","1,962","26,243","2,037","1,735","2,666","2,280","2,913","2,346","1,188","2,076","2,106","1,484","2,914","2,498"
2020년08월_계_70~79세,"56,151","15,685","1,664","1,729","1,484","1,969","1,337","1,765","1,190","2,001","1,006","1,540","17,317",668,"1,633","1,485","2,181","2,381","1,442","1,903","1,543","1,071","1,487",755,768,"11,864",509,822,947,"1,752","1,220","1,223","1,642",790,"1,809","1,150","11,285",899,830,"1,163",982,"1,288","1,056",595,798,823,535,"1,190","1,126"
2020년08월_계_80~89세,"24,530","7,381",727,889,713,853,693,673,518,934,642,739,"7,385",288,669,549,938,910,654,892,660,464,640,397,324,"4,799",205,331,342,651,585,495,622,346,765,457,"4,965",325,353,547,460,531,518,273,464,322,248,476,448
2020년08월_계_90~99세,"3,864","1,211",115,131,122,129,105,103,86,155,113,152,"1,138",48,96,84,163,127,89,135,81,73,117,77,48,719,24,51,51,89,82,74,82,54,118,94,796,59,55,76,70,93,76,41,74,62,38,87,65
2020년08월_계_100세 이상,305,86,8,11,8,6,1,20,5,6,2,19,90,11,10,12,17,10,6,2,5,3,8,5,1,90,7,6,14,12,4,11,6,1,17,12,39,6,6,4,3,3,5,3,1,3,2,0,3
2020년08월_남_총인구수,"599,101","138,427","11,953","22,713","14,748","14,869","21,534","10,379","9,886","14,597","9,294","8,454","186,899","5,280","12,217","9,833","20,870","19,550","12,611","22,717","23,114","12,646","24,634","14,862","8,565","88,225","3,165","5,730","4,658","11,347","13,270","5,843","10,325","8,640","19,391","5,856","185,550","9,379","7,625","18,915","10,936","19,902","17,887","14,272","16,809","15,983","14,218","26,003","13,621"
2020년08월_남_연령구간인구수,"599,101","138,427","11,953","22,713","14,748","14,869","21,534","10,379","9,886","14,597","9,294","8,454","186,899","5,280","12,217","9,833","20,870","19,550","12,611","22,717","23,114","12,646","24,634","14,862","8,565","88,225","3,165","5,730","4,658","11,347","13,270","5,843","10,325","8,640","19,391","5,856","185,550","9,379","7,625","18,915","10,936","19,902","17,887","14,272","16,809","15,983","14,218","26,003","13,621"
2020년08월_남_0~9세,"51,442","9,768",733,"1,635","1,316","1,030","2,017",461,612,816,771,377,"17,152",484,589,466,"1,663","1,244",744,"2,597","3,776",706,"3,080",910,893,"4,967",126,226,196,767,"1,067",240,497,606,"1,104",138,"19,555",623,514,"1,585",779,"2,395","1,945","1,367","1,383","1,881","2,313","3,026","1,744"
2020년08월_남_10~19세,"61,917","15,140","1,006","2,159","1,911","1,664","3,636",646,957,"1,515","1,065",581,"17,587",330,871,830,"1,910","1,722","1,086","2,647","2,229",931,"2,881","1,203",947,"7,240",170,249,294,"1,100","1,551",395,775,"1,023","1,433",250,"21,950","1,022",822,"2,307","1,213","1,828","2,599","1,141","2,298","2,108","1,658","3,448","1,506"
2020년08월_남_20~29세,"98,454","24,076","1,877","6,185","2,212","2,275","3,228","1,396","1,557","2,303","1,549","1,494","28,583",784,"1,907","1,495","3,443","3,129","2,090","3,206","2,532","2,491","3,583","2,836","1,087","14,959",494,"1,072",596,"1,619","2,147",759,"1,718","1,998","3,783",773,"30,836","1,765","1,256","3,670","2,009","3,411","2,539","3,267","3,465","2,458","1,696","3,814","1,486"
2020년08월_남_30~39세,"93,925","17,272","1,580","3,112","1,725","1,925","2,161","1,398","1,450","1,835","1,004","1,082","30,928",927,"2,059","1,438","3,052","2,999","1,811","3,372","4,693","2,407","3,895","3,114","1,161","13,357",485,947,623,"1,392","1,727",683,"1,660","1,160","3,903",777,"32,368","1,320","1,067","3,030","1,689","3,926","2,711","3,838","2,345","2,471","2,907","4,525","2,539"
2020년08월_남_40~49세,"102,866","22,823","1,930","3,287","2,636","2,516","4,344","1,645","1,565","2,302","1,353","1,245","31,931",771,"1,963","1,652","3,179","3,224","1,947","4,051","4,360","1,936","4,368","2,792","1,688","14,237",504,848,735,"1,916","2,189",929,"1,617","1,301","3,302",896,"33,875","1,506","1,250","3,430","1,785","3,792","3,452","2,177","2,942","2,885","2,727","5,240","2,689"
2020년08월_남_50~59세,"98,157","24,661","2,204","3,424","2,635","2,696","3,874","2,013","1,811","2,760","1,782","1,462","30,774",922,"2,183","1,703","3,782","3,430","2,425","3,710","2,850","2,133","3,777","2,445","1,414","15,617",615,"1,044",922,"2,053","2,547","1,148","1,859","1,314","2,854","1,261","27,105","1,622","1,342","2,843","1,810","2,391","2,807","1,566","2,750","2,573","1,841","3,713","1,847"
2020년08월_남_60~69세,"57,823","14,796","1,629","1,827","1,390","1,561","1,446","1,688","1,189","1,801","1,042","1,223","19,219",635,"1,582","1,348","2,460","2,389","1,584","1,985","1,776","1,383","2,119","1,076",882,"10,666",452,814,687,"1,469","1,281",965,"1,295",790,"1,898","1,015","13,142",986,883,"1,349","1,083","1,399","1,199",585,"1,125","1,140",749,"1,510","1,134"
2020년08월_남_70~79세,"25,021","6,931",726,739,650,854,562,821,535,907,453,684,"7,905",306,759,673,"1,017","1,084",686,815,677,497,685,334,372,"5,269",230,385,440,762,550,531,683,322,836,530,"4,916",417,370,524,404,566,424,223,333,351,245,548,511
2020년08월_남_80~89세,"8,537","2,652",244,302,244,317,247,287,187,315,241,268,"2,541",110,266,205,331,299,215,303,202,144,223,138,105,"1,714",75,124,144,246,189,176,202,115,257,186,"1,630",106,111,162,146,174,192,96,157,104,75,159,148
2020년08월_남_90~99세,879,287,22,39,26,30,19,18,21,43,33,36,253,9,34,23,29,26,21,31,16,16,20,12,16,175,10,18,14,21,21,15,17,11,19,29,164,10,9,15,17,19,16,11,11,12,7,20,17
2020년08월_남_100세 이상,80,21,2,4,3,1,0,6,2,0,1,2,26,2,4,0,4,4,2,0,3,2,3,2,0,24,4,3,7,2,1,2,2,0,2,1,9,2,1,0,1,1,3,1,0,0,0,0,0
2020년08월_여_총인구수,"590,973","136,557","11,768","20,365","15,212","15,459","21,571","9,935","9,961","14,423","9,936","7,927","183,438","5,274","11,503","9,729","20,285","18,849","12,420","23,229","23,376","12,216","25,352","12,813","8,392","86,838","2,808","5,049","4,428","11,993","13,705","5,619","10,420","8,713","18,987","5,116","184,140","9,245","7,696","17,551","11,218","19,323","18,372","12,764","16,180","15,793","14,231","27,227","14,540"
2020년08월_여_연령구간인구수,"590,973","136,557","11,768","20,365","15,212","15,459","21,571","9,935","9,961","14,423","9,936","7,927","183,438","5,274","11,503","9,729","20,285","18,849","12,420","23,229","23,376","12,216","25,352","12,813","8,392","86,838","2,808","5,049","4,428","11,993","13,705","5,619","10,420","8,713","18,987","5,116","184,140","9,245","7,696","17,551","11,218","19,323","18,372","12,764","16,180","15,793","14,231","27,227","14,540"
2020년08월_여_0~9세,"48,340","9,119",685,"1,551","1,270","1,030","1,772",408,572,767,717,347,"16,253",439,553,535,"1,552","1,268",755,"2,488","3,475",664,"2,811",841,872,"4,795",118,207,169,787,989,212,458,630,"1,088",137,"18,173",617,465,"1,419",669,"2,249","1,807","1,321","1,362","1,704","2,102","2,770","1,688"
2020년08월_여_10~19세,"57,801","13,894",908,"1,980","1,669","1,589","3,416",594,833,"1,359","1,036",510,"16,219",291,779,759,"1,754","1,519","1,028","2,381","2,254",817,"2,594","1,140",903,"6,892",147,248,303,"1,135","1,528",333,726,848,"1,396",228,"20,796",959,742,"2,213","1,130","1,697","2,402","1,076","2,074","2,040","1,581","3,460","1,422"
2020년08월_여_20~29세,"88,437","19,994","1,545","3,890","1,964","2,093","3,044","1,316","1,507","2,083","1,447","1,105","26,257",756,"1,681","1,299","2,922","2,784","1,909","3,049","2,596","2,490","3,329","2,473",969,"13,799",421,868,513,"1,559","2,020",606,"1,528","1,656","3,868",760,"28,387","1,412","1,253","2,840","1,751","3,163","2,409","2,538","2,948","2,128","1,756","4,587","1,602"
2020년08월_여_30~39세,"87,129","15,912","1,390","2,761","1,809","1,843","2,357","1,093","1,296","1,503","1,093",767,"28,292",803,"1,516","1,194","2,790","2,425","1,532","3,433","4,833","2,047","4,260","2,314","1,145","11,354",416,736,461,"1,323","1,778",563,"1,305","1,088","3,160",524,"31,571","1,166",922,"2,555","1,528","3,813","2,923","3,021","2,169","2,570","3,060","5,078","2,766"
2020년08월_여_40~49세,"101,326","23,267","1,846","3,298","2,865","2,635","4,872","1,368","1,547","2,267","1,597",972,"29,903",713,"1,750","1,492","3,061","2,879","1,840","4,103","3,862","1,793","4,623","2,207","1,580","13,332",361,612,593,"1,990","2,401",766,"1,481","1,467","3,052",609,"34,824","1,612","1,246","3,426","2,033","3,405","3,785","2,110","3,258","3,060","2,700","5,553","2,636"
