카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년11월_계_총인구수,"62,495","19,503","9,577","14,085","5,623","9,792","3,915"
2020년11월_계_연령구간인구수,"62,495","19,503","9,577","14,085","5,623","9,792","3,915"
2020년11월_계_0~9세,"3,376","1,171",539,625,156,731,154
2020년11월_계_10~19세,"4,693","1,685",796,"1,004",339,661,208
2020년11월_계_20~29세,"6,215","2,192",868,"1,352",528,"1,041",234
2020년11월_계_30~39세,"5,771","1,928",818,"1,197",377,"1,170",281
2020년11월_계_40~49세,"7,928","2,653","1,139","1,948",566,"1,221",401
2020년11월_계_50~59세,"11,397","3,450","1,741","2,687","1,128","1,672",719
2020년11월_계_60~69세,"12,053","3,251","2,000","2,690","1,379","1,766",967
2020년11월_계_70~79세,"6,852","1,928",989,"1,653",729,981,572
2020년11월_계_80~89세,"3,635","1,081",574,807,368,479,326
2020년11월_계_90~99세,526,148,109,112,48,60,49
2020년11월_계_100세 이상,49,16,4,10,5,10,4
2020년11월_남_총인구수,"32,192","9,920","4,918","7,199","2,932","5,211","2,012"
2020년11월_남_연령구간인구수,"32,192","9,920","4,918","7,199","2,932","5,211","2,012"
2020년11월_남_0~9세,"1,672",589,254,316,78,368,67
2020년11월_남_10~19세,"2,483",916,395,536,177,348,111
2020년11월_남_20~29세,"3,562","1,199",483,765,340,642,133
2020년11월_남_30~39세,"3,130","1,021",454,646,207,645,157
2020년11월_남_40~49세,"4,267","1,419",598,"1,028",317,666,239
2020년11월_남_50~59세,"6,056","1,823",934,"1,437",585,883,394
2020년11월_남_60~69세,"6,220","1,639","1,041","1,355",711,978,496
2020년11월_남_70~79세,"3,239",864,501,766,368,465,275
2020년11월_남_80~89세,"1,402",402,231,316,135,194,124
2020년11월_남_90~99세,142,44,25,29,11,18,15
2020년11월_남_100세 이상,19,4,2,5,3,4,1
2020년11월_여_총인구수,"30,303","9,583","4,659","6,886","2,691","4,581","1,903"
2020년11월_여_연령구간인구수,"30,303","9,583","4,659","6,886","2,691","4,581","1,903"
2020년11월_여_0~9세,"1,704",582,285,309,78,363,87
2020년11월_여_10~19세,"2,210",769,401,468,162,313,97
2020년11월_여_20~29세,"2,653",993,385,587,188,399,101
2020년11월_여_30~39세,"2,641",907,364,551,170,525,124
2020년11월_여_40~49세,"3,661","1,234",541,920,249,555,162
2020년11월_여_50~59세,"5,341","1,627",807,"1,250",543,789,325
2020년11월_여_60~69세,"5,833","1,612",959,"1,335",668,788,471
2020년11월_여_70~79세,"3,613","1,064",488,887,361,516,297
2020년11월_여_80~89세,"2,233",679,343,491,233,285,202
2020년11월_여_90~99세,384,104,84,83,37,42,34
2020년11월_여_100세 이상,30,12,2,5,2,6,3
