카테고리,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년10월_계_총인구수,"278,798","6,752","7,733","6,997","2,273","1,519","1,907","2,626","3,015","2,968","3,293","5,224","4,312","4,430","2,581","1,546","3,245","4,712","6,916","22,329","9,267","11,408","38,798","8,519","22,855","14,064","24,734","15,646","6,569","32,560"
2021년10월_계_연령구간인구수,"278,798","6,752","7,733","6,997","2,273","1,519","1,907","2,626","3,015","2,968","3,293","5,224","4,312","4,430","2,581","1,546","3,245","4,712","6,916","22,329","9,267","11,408","38,798","8,519","22,855","14,064","24,734","15,646","6,569","32,560"
2021년10월_계_0~9세,"17,763",313,478,256,55,18,35,66,104,78,167,333,89,159,59,25,82,281,283,"1,547",417,429,"3,515",813,"1,358","1,161","2,031",558,499,"2,554"
2021년10월_계_10~19세,"27,165",567,607,459,123,58,92,134,132,146,157,334,172,257,93,74,113,326,397,"2,173",667,878,"4,417",957,"2,640","1,942","3,243","1,141",637,"4,229"
2021년10월_계_20~29세,"35,270",567,649,625,169,88,123,173,205,136,299,603,271,389,217,82,358,459,872,"2,396","1,343","1,256","4,610",918,"3,207","2,305","3,472","4,245",738,"4,495"
2021년10월_계_30~39세,"27,517",482,710,496,112,62,75,140,190,139,259,471,200,315,159,74,294,458,756,"2,317",872,939,"4,374","1,129","2,279","1,521","2,902","1,461",778,"3,553"
2021년10월_계_40~49세,"40,446",761,996,717,213,122,171,210,294,256,315,572,375,474,229,124,366,678,779,"3,345","1,235","1,401","6,303","1,407","3,438","2,603","4,686","1,636","1,034","5,706"
2021년10월_계_50~59세,"48,566","1,162","1,323","1,293",412,241,342,369,527,472,530,853,728,813,532,233,519,916,"1,111","3,990","1,799","1,854","6,325","1,285","4,360","2,573","4,618","2,218","1,091","6,077"
2021년10월_계_60~69세,"42,231","1,423","1,500","1,446",481,389,470,619,667,749,667,"1,070","1,024",929,566,371,725,884,"1,308","3,609","1,656","2,132","5,150","1,121","3,493","1,089","2,278","2,074",914,"3,427"
2021년10월_계_70~79세,"24,916",889,876,992,406,285,340,519,528,571,516,618,820,592,396,317,528,484,918,"1,947",869,"1,711","2,668",609,"1,373",587,"1,011","1,455",514,"1,577"
2021년10월_계_80~89세,"12,786",508,511,604,245,212,211,334,324,364,333,324,523,420,269,210,214,205,433,888,361,714,"1,243",249,592,239,437,716,280,823
2021년10월_계_90~99세,"2,091",78,82,105,55,43,48,62,43,55,50,46,106,81,59,34,44,21,59,113,48,93,188,31,113,43,54,138,81,118
2021년10월_계_100세 이상,47,2,1,4,2,1,0,0,1,2,0,0,4,1,2,2,2,0,0,4,0,1,5,0,2,1,2,4,3,1
2021년10월_남_총인구수,"138,850","3,311","3,827","3,534","1,134",772,959,"1,314","1,587","1,467","1,671","2,731","2,217","2,288","1,343",759,"1,738","2,506","3,548","10,970","4,706","5,852","18,749","4,224","11,268","6,885","12,081","7,860","3,400","16,149"
2021년10월_남_연령구간인구수,"138,850","3,311","3,827","3,534","1,134",772,959,"1,314","1,587","1,467","1,671","2,731","2,217","2,288","1,343",759,"1,738","2,506","3,548","10,970","4,706","5,852","18,749","4,224","11,268","6,885","12,081","7,860","3,400","16,149"
2021년10월_남_0~9세,"9,117",166,238,141,24,4,21,33,43,32,78,174,57,84,36,13,48,158,158,768,243,217,"1,819",394,699,589,"1,067",287,257,"1,269"
2021년10월_남_10~19세,"13,929",267,301,239,57,40,44,63,83,69,82,165,100,148,53,41,69,153,209,"1,140",367,538,"2,181",510,"1,358","1,012","1,650",530,323,"2,137"
2021년10월_남_20~29세,"19,176",325,354,350,100,46,70,104,125,85,170,397,154,239,133,51,194,258,433,"1,324",715,722,"2,374",490,"1,757","1,205","1,837","2,301",424,"2,439"
2021년10월_남_30~39세,"14,393",250,389,278,68,39,42,88,105,91,160,260,126,168,100,39,180,239,450,"1,206",488,535,"2,102",554,"1,168",753,"1,432",861,432,"1,790"
2021년10월_남_40~49세,"20,645",421,529,400,121,83,113,135,184,153,199,313,253,287,153,80,223,378,442,"1,733",679,783,"3,121",730,"1,643","1,166","2,191",887,539,"2,706"
