카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년04월_계_총인구수,"1,034,705","260,623","19,881","43,444","7,149","50,736","37,605","41,822","30,238","29,748","212,662","41,492","22,910","27,927","45,259","40,848","26,398","7,828","179,434","4,249","12,215","3,469","3,934","14,171",980,"40,073","11,136","14,675","9,136","10,637","15,969","19,549","6,816","12,425","189,134","64,005","10,326","10,077","17,027","6,187","11,128","31,528","9,373","7,641","9,010","9,522","3,310","192,852","17,066","8,602","4,922","11,260","7,496","17,355","8,559","21,456","10,181","25,885","12,862","6,431","40,777"
2021년04월_계_연령구간인구수,"1,034,705","260,623","19,881","43,444","7,149","50,736","37,605","41,822","30,238","29,748","212,662","41,492","22,910","27,927","45,259","40,848","26,398","7,828","179,434","4,249","12,215","3,469","3,934","14,171",980,"40,073","11,136","14,675","9,136","10,637","15,969","19,549","6,816","12,425","189,134","64,005","10,326","10,077","17,027","6,187","11,128","31,528","9,373","7,641","9,010","9,522","3,310","192,852","17,066","8,602","4,922","11,260","7,496","17,355","8,559","21,456","10,181","25,885","12,862","6,431","40,777"
2021년04월_계_0~9세,"81,826","20,939","1,125","6,435",242,"4,252","3,043","2,311","1,432","2,099","15,972","3,177","1,164","2,039","3,372","3,602","2,160",458,"13,189",113,"1,079",64,52,"2,140",47,"4,232",487,848,406,470,"1,193","1,024",315,719,"12,863","4,922",376,656,"1,114",152,553,"3,125",654,265,397,502,147,"18,863","1,482",335,169,"1,023",540,"1,449",357,"2,371","1,041","3,412","1,806",491,"4,387"
2021년04월_계_10~19세,"98,578","23,203","1,831","3,802",379,"4,610","3,810","3,902","2,202","2,667","22,544","5,228","1,442","3,333","4,751","4,002","3,037",751,"14,017",150,"1,035",138,138,"1,230",38,"3,878",697,"1,356",708,846,"1,306","1,153",405,939,"17,870","7,928",603,787,"1,236",324,836,"3,422",584,466,665,801,218,"20,944","1,818",645,278,996,744,"2,407",538,"2,242","1,198","3,239",970,687,"5,182"
2021년04월_계_20~29세,"128,424","35,182","2,252","3,826",626,"6,975","5,580","6,421","4,877","4,625","31,792","5,535","4,527","4,117","6,512","6,039","4,060","1,002","19,167",288,"1,055",260,221,"1,188",130,"4,908","1,704","1,589","1,090","1,165","1,560","1,999",621,"1,389","21,820","8,138",922,"1,127","1,804",573,"1,318","3,330","1,126",943,955,"1,265",319,"20,463","2,100",821,474,"1,138",783,"2,160","1,052","2,287","1,169","2,286","1,250",609,"4,334"
2021년04월_계_30~39세,"132,474","34,874","1,782","7,911",645,"7,054","5,444","4,273","3,754","4,011","28,919","4,493","4,262","3,451","6,264","6,183","3,332",934,"21,222",277,"1,435",199,177,"2,394",105,"5,877","1,100","1,470",842,930,"1,960","2,253",730,"1,473","21,136","6,429",918,"1,318","2,308",536,"1,277","4,018","1,254",766,860,"1,069",383,"26,323","2,169",688,367,"1,501",798,"2,114",989,"3,188","1,289","3,835","2,467",713,"6,205"
2021년04월_계_40~49세,"167,133","40,571","3,123","7,337",776,"7,984","6,162","6,391","4,201","4,597","35,089","7,301","3,574","4,683","7,605","6,441","4,252","1,233","26,342",391,"1,947",315,289,"2,503",116,"6,358","1,349","2,227","1,201","1,436","2,426","2,974",982,"1,828","29,762","11,330","1,360","1,368","2,359",703,"1,580","5,576","1,322","1,089","1,190","1,367",518,"35,369","2,931","1,171",601,"1,741","1,259","3,388","1,280","3,791","1,725","5,063","2,085","1,090","9,244"
2021년04월_계_50~59세,"185,191","49,953","3,896","6,141","1,318","9,665","7,596","9,126","6,079","6,132","42,992","8,331","4,124","5,948","9,042","8,264","5,860","1,423","29,534",766,"1,989",699,713,"1,922",155,"6,370","1,862","2,451","1,712","1,925","2,500","3,235","1,147","2,088","34,075","12,421","1,734","1,594","2,872","1,145","1,920","5,279","1,624","1,377","1,765","1,705",639,"28,637","2,201","1,379",851,"1,819","1,160","2,767","1,519","3,433","1,413","3,471","1,767","1,072","5,785"
2021년04월_계_60~69세,"145,903","35,703","3,234","5,056","1,654","6,662","4,183","6,165","5,024","3,725","24,816","5,067","2,643","3,173","5,391","4,519","2,793","1,230","30,774","1,158","2,058",887,990,"1,720",219,"5,182","2,082","2,455","1,764","2,149","2,750","3,706","1,404","2,250","30,431","7,815","2,320","1,830","3,026","1,475","2,178","4,297","1,626","1,592","1,926","1,708",638,"24,179","2,132","1,579","1,035","1,749","1,199","1,969","1,664","2,628","1,325","2,934","1,472",996,"3,497"
2021년04월_계_70~79세,"64,385","13,535","1,664","1,861",917,"2,457","1,227","2,279","1,837","1,293","7,069","1,648",817,759,"1,533","1,181",602,529,"16,829",702,"1,067",533,744,750,113,"2,329","1,231","1,506",911,"1,189","1,578","2,146",781,"1,249","15,003","3,436","1,437",981,"1,700",854,"1,068","1,771",854,863,906,816,317,"11,949","1,420","1,239",728,879,657,758,801,"1,016",685,"1,106",648,473,"1,539"
