,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년11월_계_총인구수,"62,253","19,374","9,642","13,971","5,677","9,707","3,882"
2021년11월_계_연령구간인구수,"62,253","19,374","9,642","13,971","5,677","9,707","3,882"
2021년11월_계_0~9세,"3,164","1,067",515,605,153,691,133
2021년11월_계_10~19세,"4,486","1,664",770,948,262,656,186
2021년11월_계_20~29세,"6,127","2,155",878,"1,274",530,"1,046",244
2021년11월_계_30~39세,"5,520","1,788",824,"1,129",387,"1,138",254
2021년11월_계_40~49세,"7,763","2,620","1,088","1,863",564,"1,236",392
2021년11월_계_50~59세,"11,106","3,370","1,699","2,661","1,115","1,572",689
2021년11월_계_60~69세,"12,968","3,526","2,138","2,890","1,478","1,899","1,037"
2021년11월_계_70~79세,"6,727","1,868","1,019","1,602",749,939,550
2021년11월_계_80~89세,"3,835","1,148",597,881,386,477,346
2021년11월_계_90~99세,521,151,112,113,52,48,45
2021년11월_계_100세 이상,36,17,2,5,1,5,6
2021년11월_남_총인구수,"32,147","9,882","4,954","7,143","2,998","5,171","1,999"
2021년11월_남_연령구간인구수,"32,147","9,882","4,954","7,143","2,998","5,171","1,999"
2021년11월_남_0~9세,"1,586",551,249,306,75,351,54
2021년11월_남_10~19세,"2,336",893,374,482,147,340,100
2021년11월_남_20~29세,"3,565","1,198",475,737,369,639,147
2021년11월_남_30~39세,"3,022",937,469,610,215,642,149
2021년11월_남_40~49세,"4,191","1,405",561,"1,004",315,678,228
2021년11월_남_50~59세,"5,889","1,792",917,"1,421",565,819,375
2021년11월_남_60~69세,"6,708","1,777","1,112","1,471",774,"1,045",529
2021년11월_남_70~79세,"3,205",849,523,736,374,449,274
2021년11월_남_80~89세,"1,493",435,240,344,151,194,129
2021년11월_남_90~99세,139,40,33,30,12,12,12
2021년11월_남_100세 이상,13,5,1,2,1,2,2
2021년11월_여_총인구수,"30,106","9,492","4,688","6,828","2,679","4,536","1,883"
2021년11월_여_연령구간인구수,"30,106","9,492","4,688","6,828","2,679","4,536","1,883"
2021년11월_여_0~9세,"1,578",516,266,299,78,340,79
2021년11월_여_10~19세,"2,150",771,396,466,115,316,86
2021년11월_여_20~29세,"2,562",957,403,537,161,407,97
2021년11월_여_30~39세,"2,498",851,355,519,172,496,105
2021년11월_여_40~49세,"3,572","1,215",527,859,249,558,164
2021년11월_여_50~59세,"5,217","1,578",782,"1,240",550,753,314
2021년11월_여_60~69세,"6,260","1,749","1,026","1,419",704,854,508
2021년11월_여_70~79세,"3,522","1,019",496,866,375,490,276
2021년11월_여_80~89세,"2,342",713,357,537,235,283,217
2021년11월_여_90~99세,382,111,79,83,40,36,33
2021년11월_여_100세 이상,23,12,1,3,0,3,4
