,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년08월_계_총인구수,"229,052","26,443","6,096","7,090","12,035","10,360","5,426","50,196","9,829","27,101","27,533","46,943"
2020년08월_계_연령구간인구수,"229,052","26,443","6,096","7,090","12,035","10,360","5,426","50,196","9,829","27,101","27,533","46,943"
2020년08월_계_0~9세,"20,127","1,456",159,394,650,505,211,"5,064",651,"1,955","2,351","6,731"
2020년08월_계_10~19세,"24,167","2,581",345,408,908,550,283,"7,117",756,"2,729","3,649","4,841"
2020년08월_계_20~29세,"27,138","3,284",704,831,"1,303","1,070",592,"5,252","1,586","3,533","3,729","5,254"
2020년08월_계_30~39세,"28,147","2,344",492,811,"1,180","1,089",462,"5,570","1,180","2,870","2,985","9,164"
2020년08월_계_40~49세,"39,411","3,957",696,803,"1,746","1,180",638,"10,428","1,395","4,429","5,204","8,935"
2020년08월_계_50~59세,"37,802","5,199","1,319","1,303","2,507","1,780","1,107","7,188","1,822","5,445","4,596","5,536"
2020년08월_계_60~69세,"28,113","4,159","1,336","1,370","2,071","2,153","1,080","4,940","1,319","3,484","2,386","3,815"
2020년08월_계_70~79세,"16,192","2,257",666,719,"1,082","1,285",676,"3,303",743,"1,839","1,686","1,936"
2020년08월_계_80~89세,"6,884","1,050",319,371,514,607,330,"1,165",327,722,848,631
2020년08월_계_90~99세,999,149,57,74,69,134,42,160,37,88,95,94
2020년08월_계_100세 이상,72,7,3,6,5,7,5,9,13,7,4,6
2020년08월_남_총인구수,"116,194","13,347","3,445","3,957","6,503","5,308","2,826","24,574","5,185","13,744","13,636","23,669"
2020년08월_남_연령구간인구수,"116,194","13,347","3,445","3,957","6,503","5,308","2,826","24,574","5,185","13,744","13,636","23,669"
2020년08월_남_0~9세,"10,246",712,87,188,335,273,107,"2,583",336,"1,005","1,195","3,425"
2020년08월_남_10~19세,"12,341","1,327",187,211,492,299,157,"3,590",381,"1,414","1,879","2,404"
2020년08월_남_20~29세,"14,534","1,780",416,536,748,631,320,"2,658",929,"1,866","1,962","2,688"
2020년08월_남_30~39세,"14,535","1,259",310,493,671,607,253,"2,669",648,"1,523","1,465","4,637"
2020년08월_남_40~49세,"20,305","2,019",431,489,"1,004",633,369,"5,154",732,"2,284","2,584","4,606"
2020년08월_남_50~59세,"19,803","2,695",797,768,"1,393",890,581,"3,742",995,"2,778","2,341","2,823"
2020년08월_남_60~69세,"14,089","2,108",746,760,"1,123","1,061",588,"2,194",675,"1,774","1,172","1,888"
2020년08월_남_70~79세,"7,484","1,031",339,359,519,636,315,"1,495",348,810,672,960
2020년08월_남_80~89세,"2,603",384,116,136,199,243,127,447,127,270,332,222
2020년08월_남_90~99세,243,32,16,15,19,31,8,42,12,20,32,16
2020년08월_남_100세 이상,11,0,0,2,0,4,1,0,2,0,2,0
2020년08월_여_총인구수,"112,858","13,096","2,651","3,133","5,532","5,052","2,600","25,622","4,644","13,357","13,897","23,274"
2020년08월_여_연령구간인구수,"112,858","13,096","2,651","3,133","5,532","5,052","2,600","25,622","4,644","13,357","13,897","23,274"
2020년08월_여_0~9세,"9,881",744,72,206,315,232,104,"2,481",315,950,"1,156","3,306"
2020년08월_여_10~19세,"11,826","1,254",158,197,416,251,126,"3,527",375,"1,315","1,770","2,437"
2020년08월_여_20~29세,"12,604","1,504",288,295,555,439,272,"2,594",657,"1,667","1,767","2,566"
2020년08월_여_30~39세,"13,612","1,085",182,318,509,482,209,"2,901",532,"1,347","1,520","4,527"
2020년08월_여_40~49세,"19,106","1,938",265,314,742,547,269,"5,274",663,"2,145","2,620","4,329"
2020년08월_여_50~59세,"17,999","2,504",522,535,"1,114",890,526,"3,446",827,"2,667","2,255","2,713"
2020년08월_여_60~69세,"14,024","2,051",590,610,948,"1,092",492,"2,746",644,"1,710","1,214","1,927"
2020년08월_여_70~79세,"8,708","1,226",327,360,563,649,361,"1,808",395,"1,029","1,014",976
2020년08월_여_80~89세,"4,281",666,203,235,315,364,203,718,200,452,516,409
2020년08월_여_90~99세,756,117,41,59,50,103,34,118,25,68,63,78
2020년08월_여_100세 이상,61,7,3,4,5,3,4,9,11,7,2,6
