카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년11월_계_총인구수,"291,411","3,727","4,581","10,884","4,936","8,123","11,019","30,344","24,773","23,868","15,551","20,607","10,057","15,414","5,814","20,056","28,597","36,811","16,249"
2021년11월_계_연령구간인구수,"291,411","3,727","4,581","10,884","4,936","8,123","11,019","30,344","24,773","23,868","15,551","20,607","10,057","15,414","5,814","20,056","28,597","36,811","16,249"
2021년11월_계_0~9세,"20,263",103,367,555,169,540,834,"2,109","1,557","1,122",791,"2,274",500,"1,002",392,"1,198","2,489","2,757","1,504"
2021년11월_계_10~19세,"30,018",143,338,611,231,565,"1,239","2,904","2,378","1,653","1,059","2,465",979,"1,528",391,"2,031","4,141","4,946","2,416"
2021년11월_계_20~29세,"44,594",387,457,"1,604",822,"1,034","1,742","5,543","4,695","4,426","3,044","2,287","1,536","2,108",709,"2,829","4,063","5,390","1,918"
2021년11월_계_30~39세,"35,080",322,539,"1,503",620,960,"1,440","4,155","3,479","2,939","2,322","2,809","1,058","1,639",668,"1,977","3,010","3,997","1,643"
2021년11월_계_40~49세,"47,028",405,721,"1,484",641,"1,235","1,923","4,817","3,881","3,165","2,160","3,735","1,355","2,147",705,"2,887","5,376","7,102","3,289"
2021년11월_계_50~59세,"49,418",582,645,"1,745",822,"1,511","1,909","5,401","4,005","3,947","2,329","2,854","1,683","2,563","1,203","3,842","5,276","6,495","2,606"
2021년11월_계_60~69세,"35,758",748,784,"1,577",818,"1,230","1,017","3,017","2,736","3,483","1,893","2,448","1,624","2,662",969,"3,077","2,490","3,438","1,747"
2021년11월_계_70~79세,"19,426",690,512,"1,208",527,708,580,"1,495","1,440","2,088","1,231","1,242",869,"1,195",478,"1,453","1,161","1,752",797
2021년11월_계_80~89세,"8,587",317,192,531,250,297,292,809,521,918,629,427,384,488,248,676,505,829,274
2021년11월_계_90~99세,"1,202",29,26,64,35,41,43,90,79,123,91,64,66,78,50,85,82,102,54
2021년11월_계_100세 이상,37,1,0,2,1,2,0,4,2,4,2,2,3,4,1,1,4,3,1
2021년11월_남_총인구수,"142,783","1,860","2,230","5,386","2,583","4,162","5,615","14,507","12,398","11,636","7,413","10,290","4,952","7,421","3,003","9,525","13,985","18,129","7,688"
2021년11월_남_연령구간인구수,"142,783","1,860","2,230","5,386","2,583","4,162","5,615","14,507","12,398","11,636","7,413","10,290","4,952","7,421","3,003","9,525","13,985","18,129","7,688"
2021년11월_남_0~9세,"10,478",57,196,278,91,293,458,"1,042",772,589,397,"1,198",275,534,211,635,"1,287","1,407",758
2021년11월_남_10~19세,"15,822",75,191,343,144,279,638,"1,506","1,172",864,569,"1,455",531,843,203,"1,108","2,087","2,615","1,199"
