,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년05월_계_총인구수,"22,942","8,102","2,283","3,735","2,021","1,963","2,351","1,161","1,326"
2021년05월_계_연령구간인구수,"22,942","8,102","2,283","3,735","2,021","1,963","2,351","1,161","1,326"
2021년05월_계_0~9세,639,401,37,84,38,14,37,14,14
2021년05월_계_10~19세,927,564,47,127,42,37,66,23,21
2021년05월_계_20~29세,"1,439",696,96,248,134,97,87,32,49
2021년05월_계_30~39세,"1,249",602,100,176,101,74,105,43,48
2021년05월_계_40~49세,"2,076","1,077",134,290,134,126,163,66,86
2021년05월_계_50~59세,"4,143","1,474",435,680,396,344,384,195,235
2021년05월_계_60~69세,"5,483","1,529",576,998,530,518,609,321,402
2021년05월_계_70~79세,"3,986","1,041",444,678,357,418,507,253,288
2021년05월_계_80~89세,"2,653",635,368,404,250,300,350,190,156
2021년05월_계_90~99세,333,77,44,49,39,34,39,24,27
2021년05월_계_100세 이상,14,6,2,1,0,1,4,0,0
2021년05월_남_총인구수,"11,737","4,189","1,180","1,916","1,042",990,"1,138",586,696
2021년05월_남_연령구간인구수,"11,737","4,189","1,180","1,916","1,042",990,"1,138",586,696
2021년05월_남_0~9세,342,221,17,45,23,5,13,9,9
2021년05월_남_10~19세,507,320,27,61,30,14,33,10,12
2021년05월_남_20~29세,878,414,58,150,89,61,47,24,35
2021년05월_남_30~39세,717,332,55,92,66,48,62,29,33
2021년05월_남_40~49세,"1,219",577,88,184,83,89,105,43,50
2021년05월_남_50~59세,"2,340",812,256,378,213,196,222,127,136
2021년05월_남_60~69세,"2,908",789,315,555,282,275,294,169,229
2021년05월_남_70~79세,"1,853",486,214,317,159,196,233,109,139
2021년05월_남_80~89세,902,220,139,126,89,98,119,59,52
2021년05월_남_90~99세,70,17,11,8,8,8,10,7,1
2021년05월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"11,205","3,913","1,103","1,819",979,973,"1,213",575,630
2021년05월_여_연령구간인구수,"11,205","3,913","1,103","1,819",979,973,"1,213",575,630
2021년05월_여_0~9세,297,180,20,39,15,9,24,5,5
2021년05월_여_10~19세,420,244,20,66,12,23,33,13,9
2021년05월_여_20~29세,561,282,38,98,45,36,40,8,14
2021년05월_여_30~39세,532,270,45,84,35,26,43,14,15
2021년05월_여_40~49세,857,500,46,106,51,37,58,23,36
2021년05월_여_50~59세,"1,803",662,179,302,183,148,162,68,99
2021년05월_여_60~69세,"2,575",740,261,443,248,243,315,152,173
2021년05월_여_70~79세,"2,133",555,230,361,198,222,274,144,149
2021년05월_여_80~89세,"1,751",415,229,278,161,202,231,131,104
2021년05월_여_90~99세,263,60,33,41,31,26,29,17,26
2021년05월_여_100세 이상,13,5,2,1,0,1,4,0,0
